nQuality	nHpStage	szDropConfig	tbArrival	tbArrival2
1	0	Setting/Npc/DropFile/yunbiao/yunbiao_white_hp60.tab	Energy|8000	Energy|10000
1	10	Setting/Npc/DropFile/yunbiao/yunbiao_white_hp60.tab	Energy|9600	Energy|10000
1	30	Setting/Npc/DropFile/yunbiao/yunbiao_white_hp60.tab	Energy|11200	Energy|12000
1	50	Setting/Npc/DropFile/yunbiao/yunbiao_white_hp60.tab	Energy|12800	Energy|14000
1	60	Setting/Npc/DropFile/yunbiao/yunbiao_white_hp70.tab	Energy|12800	Energy|16000
1	70	Setting/Npc/DropFile/yunbiao/yunbiao_white_hp80.tab	Energy|14400	Energy|16000
1	80	Setting/Npc/DropFile/yunbiao/yunbiao_white_hp90.tab	Energy|14400	Energy|18000
1	90	Setting/Npc/DropFile/yunbiao/yunbiao_white_hp100.tab	Energy|16000	Energy|20000
2	0	Setting/Npc/DropFile/yunbiao/yunbiao_green_hp60.tab	Energy|10000	Energy|12500
2	10	Setting/Npc/DropFile/yunbiao/yunbiao_green_hp60.tab	Energy|12000	Energy|12500
2	30	Setting/Npc/DropFile/yunbiao/yunbiao_green_hp60.tab	Energy|14000	Energy|15000
2	50	Setting/Npc/DropFile/yunbiao/yunbiao_green_hp60.tab	Energy|16000	Energy|17500
2	60	Setting/Npc/DropFile/yunbiao/yunbiao_green_hp70.tab	Energy|16000	Energy|20000
2	70	Setting/Npc/DropFile/yunbiao/yunbiao_green_hp80.tab	Energy|18000	Energy|20000
2	80	Setting/Npc/DropFile/yunbiao/yunbiao_green_hp90.tab	Energy|18000	Energy|22500
2	90	Setting/Npc/DropFile/yunbiao/yunbiao_green_hp100.tab	Energy|20000	Energy|25000
3	0	Setting/Npc/DropFile/yunbiao/yunbiao_blue_hp60.tab	Energy|15000	Energy|18700
3	10	Setting/Npc/DropFile/yunbiao/yunbiao_blue_hp60.tab	Energy|18000	Energy|18700
3	30	Setting/Npc/DropFile/yunbiao/yunbiao_blue_hp60.tab	Energy|21000	Energy|22500
3	50	Setting/Npc/DropFile/yunbiao/yunbiao_blue_hp60.tab	Energy|24000	Energy|26300
3	60	Setting/Npc/DropFile/yunbiao/yunbiao_blue_hp70.tab	Energy|24000	Energy|30000
3	70	Setting/Npc/DropFile/yunbiao/yunbiao_blue_hp80.tab	Energy|27000	Energy|30000
3	80	Setting/Npc/DropFile/yunbiao/yunbiao_blue_hp90.tab	Energy|27000	Energy|33760
3	90	Setting/Npc/DropFile/yunbiao/yunbiao_blue_hp100.tab	Energy|30000	Energy|37500
4	0	Setting/Npc/DropFile/yunbiao/yunbiao_purple_hp60.tab	Energy|20000	Energy|25000
4	10	Setting/Npc/DropFile/yunbiao/yunbiao_purple_hp60.tab	Energy|24000	Energy|25000
4	30	Setting/Npc/DropFile/yunbiao/yunbiao_purple_hp60.tab	Energy|28000	Energy|30000
4	50	Setting/Npc/DropFile/yunbiao/yunbiao_purple_hp60.tab	Energy|32000	Energy|35000
4	60	Setting/Npc/DropFile/yunbiao/yunbiao_purple_hp70.tab	Energy|32000	Energy|40000
4	70	Setting/Npc/DropFile/yunbiao/yunbiao_purple_hp80.tab	Energy|36000	Energy|40000
4	80	Setting/Npc/DropFile/yunbiao/yunbiao_purple_hp90.tab	Energy|36000	Energy|45000
4	90	Setting/Npc/DropFile/yunbiao/yunbiao_purple_hp100.tab	Energy|40000	Energy|50000
5	0	Setting/Npc/DropFile/yunbiao/yunbiao_orange_hp60.tab	Energy|30000	Energy|37500
5	10	Setting/Npc/DropFile/yunbiao/yunbiao_orange_hp60.tab	Energy|36000	Energy|37500
5	30	Setting/Npc/DropFile/yunbiao/yunbiao_orange_hp60.tab	Energy|42000	Energy|45000
5	50	Setting/Npc/DropFile/yunbiao/yunbiao_orange_hp60.tab	Energy|48000	Energy|52500
5	60	Setting/Npc/DropFile/yunbiao/yunbiao_orange_hp70.tab	Energy|48000	Energy|60000
5	70	Setting/Npc/DropFile/yunbiao/yunbiao_orange_hp80.tab	Energy|54000	Energy|60000
5	80	Setting/Npc/DropFile/yunbiao/yunbiao_orange_hp90.tab	Energy|54000	Energy|67500
5	90	Setting/Npc/DropFile/yunbiao/yunbiao_orange_hp100.tab	Energy|60000	Energy|75000
