nId	szQuestion	nUpper	nAnswerId	szA1	szA2	szA3	szA4
1	百世岁月当代好	1	1	千古江山今朝新	百里江山今朝新	千古江山当代新	新年岁月今朝新
2	春雨丝丝润万物	1	2	红梅点点润江山	红梅点点绣江山	红梅丝丝秀江山	春梅点点绣江山
3	五湖四海皆春色	1	3	万水千山皆得辉	万湖千海尽得辉	万水千山尽得辉	万水千山尽春色
4	一帆风顺吉星到	1	4	万事如意福星到	一帆风顺福临门	万事如意吉临门	万事如意福临门
5	引来曙色随鸡舞	1	1	唤起春风催马驰	唤起春色催马驰	引来春风催马驰	唤起春风催鸡驰
6	四化腾飞天永盛	1	2	四军奋进业方兴	千军奋进业方兴	千军腾飞业方兴	千军奋进业永盛
7	三尺柜台传暖意	1	3	一张笑脸带暖风	三尺长脸带春风	一张笑脸带春风	一张笑脸传暖意
8	万卷古今消永日	1	4	一窗昏晓消流年	万窗昏晓送流年	一窗昏晓送永日	一窗昏晓送流年
9	得一日闲便是福	1	1	作千年计并非愚	作一年计并非愚	得千年闲并非愚	作千年计也是福
10	财如晓日腾云起	1	2	利似春潮腾云来	利似春潮带雨来	利似晓日带雨来	财如春潮带雨来
11	唯求利若源头水	1	3	但得财若锦上花	也求财如锦上花	但得财如锦上花	但得利如锦上花
12	多劳多得人人乐	1	4	多产多收岁岁甜	丰产丰收岁岁乐	丰产丰收人人甜	丰产丰收岁岁甜
13	喜居宝地千年旺	1	1	福照家门万事兴	福照家门千年兴	福照宝地万事兴	喜居家门万事兴
14	博学深思增智慧	1	2	更新除旧增精神	更新除旧见精神	更新除旧见智慧	更新深思见精神
15	生意红火腾腾起	1	3	财运亨通腾腾高	财运亨通步步起	财运亨通步步高	财运红火步步高
16	迎喜迎春迎富贵	1	4	接财接福接富贵	接财接春接平安	接喜接福接平安	接财接福接平安
17	春风化雨芭蕉翠	1	1	骏马登程杨柳青	骏马登程芭蕉青	骏马登程杨柳翠	骏马沐雨杨柳青
18	天增岁月人增肥	1	2	春满乾坤人满门	春满乾坤猪满门	春满乾坤猪贼肥	春增乾坤猪满门
19	百花齐放春光好	1	3	万马奔腾春光新	万花奔腾气象新	万马奔腾气象新	万马齐飞气象新
20	财源不竭长流水	1	4	生意难竭到处春	生意欣逢长伴春	财气欣逢到处春	生意欣逢到处春
21	山色不随春老	1	1	竹枝长向人新	竹枝长向人老	竹枝长随人新	竹色长向人新
22	春色常昭志士	1	2	才华乐昭勤人	才华乐奉勤人	才华常奉勤人	才华乐奉居士
23	喜滋滋迎新年	1	3	美滋滋辞旧岁	笑盈盈辞旧年	笑盈盈辞旧岁	喜盈盈辞旧岁
24	园内桃李年年秀	1	4	树傍红花年年香	树傍桃花朵朵香	树傍红花年年香	树傍红花朵朵香
25	展鸿图年年得意	1	1	创伟业事事顺心	创伟业事事得意	创鸿图事事顺心	展伟业事事顺心
26	顺风顺水顺人意	1	2	得利得水得天时	得利得财得天时	得风得财得天时	得利得财得人和
27	四海来财兴骏业	1	3	九州来财铸辉煌	四海进宝铸辉煌	九州进宝铸辉煌	九州进宝兴辉煌
28	宏图大展振雄风	1	4	伟业大展增锦绣	宏图腾飞增锦绣	伟业腾飞增雄风	伟业腾飞增锦绣
29	张灯结彩迎新春	1	1	欢天喜地庆佳节	欢天喜地迎佳节	欢天喜地庆新春	张灯结彩庆佳节
30	新春福旺鸿运开	1	2	佳节吉祥鸿运来	佳节吉祥如意来	新春吉祥如意来	佳节福旺如意来
31	富贵双全人如意	1	3	财喜两旺人和睦	财喜双旺家和睦	财喜两旺家和睦	富贵两旺家和睦
32	合家欢乐迎富贵	1	4	满堂欣喜永富贵	合家欣喜永平安	满堂欣喜迎平安	满堂欣喜永平安
33	门迎四季平安福	1	1	地聚八方鸿运财	地聚四方鸿运财	地聚八方平安财	地迎八方鸿运财
34	四海来财富盈门	1	2	九州进宝金盈地	九州进宝金铺地	四州进宝金铺地	九州来财金铺地
35	鸿运铺平发财路	1	3	鸿运带来吉祥福	富贵带来吉祥路	富贵带来吉祥福	富贵铺来吉祥福
36	万事如意满门顺	1	4	四季平安满家福	四季如意全家福	万事平安全家福	四季平安全家福
37	喜居宝地财兴旺	1	1	福照家门富生辉	福照家门财生辉	福照宝地富生辉	喜照家门富生辉
38	龙腾虎跃人间景	1	2	鸟语花香人间春	鸟语花香天地春	龙语虎香天地春	鸟语花香天地景
39	全家平安添百福	1	3	满门和顺纳百祥	满门平安纳千祥	满门和顺纳千祥	全家和顺纳千祥
40	百花迎春香满地	1	4	万事如意香临门	百事如意喜临门	万事如意喜满地	万事如意喜临门
