szTimeFrame	nNpcTID	Npc	Name	nMapId	nX	nY	Desc	nDir
OpenLevel39	1966	纳兰潜凛	锁云渊	400	6900	4230	南	49
OpenLevel39	1967	纳兰真	锁云渊	400	14350	8920	北	45
OpenLevel39	1968	独孤剑	锁云渊	400	9400	14960	西北	34
OpenLevel39	1969	张琳心	武夷山	401	13300	7390	东北	49
OpenLevel39	1970	南宫飞云	武夷山	401	4300	13320	西	30
OpenLevel39	1971	燕若雪	武夷山	401	1830	4620	南	41
OpenLevel39	1972	孟知秋	雁荡山	402	2190	2900	西	19
OpenLevel39	1973	月眉儿	雁荡山	402	10220	12040	东	32
OpenLevel39	1974	杨影枫	雁荡山	402	2850	11900	北	23
OpenLevel39	1975	蔷薇	洞庭湖畔	403	14000	4260	东	38
OpenLevel39	1976	张如梦	洞庭湖畔	403	3400	7600	西南	25
OpenLevel39	1977	南宫彩虹	洞庭湖畔	403	13800	12900	北	35
OpenLevel39	1978	卓非凡	苗岭	404	5730	14100	西	36
OpenLevel39	1979	紫轩	苗岭	404	5170	2860	南	40
OpenLevel39	1980	柴嵩	苗岭	404	13700	6070	东	0
OpenLevel39	1981	杨瑛	点苍山	405	6070	11820	西	0
OpenLevel39	1982	胡神医	点苍山	405	14240	5440	东	42
OpenLevel39	1983	秋依水	点苍山	405	14440	14580	北	40
OpenLevel39	1984	万金财	夜郎废墟	409	11390	12730	北	39
OpenLevel39	1985	虞姬	夜郎废墟	409	630	4270	南	50
OpenLevel49	1966	纳兰潜凛	锁云渊	400	6900	4230	南	49
OpenLevel49	1967	纳兰真	锁云渊	400	14350	8920	北	45
OpenLevel49	1968	独孤剑	武夷山	401	13300	7390	东北	49
OpenLevel49	1969	张琳心	武夷山	401	4300	13320	西	30
OpenLevel49	1970	南宫飞云	雁荡山	402	2190	2900	西	19
OpenLevel49	1971	燕若雪	雁荡山	402	10220	12040	东	32
OpenLevel49	1972	孟知秋	洞庭湖畔	403	14000	4260	东	38
OpenLevel49	1973	月眉儿	洞庭湖畔	403	3400	7600	西南	25
OpenLevel49	1974	杨影枫	苗岭	404	5730	14100	西	36
OpenLevel49	1975	蔷薇	苗岭	404	5170	2860	南	40
OpenLevel49	1976	张如梦	点苍山	405	6070	11820	西	0
OpenLevel49	1977	南宫彩虹	点苍山	405	14240	5440	东	0
OpenLevel49	1978	卓非凡	夜郎废墟	409	11390	12730	北	0
OpenLevel49	1979	紫轩	夜郎废墟	409	630	4270	南	0
OpenLevel49	1980	柴嵩	响水洞	406	10450	12250	北	32
OpenLevel49	1981	杨瑛	响水洞	406	7230	630	东南	55
OpenLevel49	1982	胡神医	见性峰	407	5430	4560	南	41
OpenLevel49	1983	秋依水	见性峰	407	14900	5400	东北	48
OpenLevel49	1984	万金财	剑门关	408	2400	10630	西南	39
OpenLevel49	1985	虞姬	剑门关	408	14770	14730	北	39
OpenLevel69	1966	纳兰潜凛	锁云渊	400	14350	8920	北	45
OpenLevel69	1967	纳兰真	武夷山	401	4300	13320	西	30
OpenLevel69	1968	独孤剑	雁荡山	402	10220	12040	东	32
OpenLevel69	1969	张琳心	洞庭湖畔	403	3400	7600	西南	25
OpenLevel69	1970	南宫飞云	苗岭	404	5170	2860	南	40
OpenLevel69	1971	燕若雪	点苍山	405	14240	5440	东	0
OpenLevel69	1972	孟知秋	夜郎废墟	409	630	4270	南	0
OpenLevel69	1973	月眉儿	响水洞	406	10450	12250	北	32
OpenLevel69	1974	杨影枫	响水洞	406	7230	630	东南	55
OpenLevel69	1975	蔷薇	见性峰	407	5430	4560	南	41
OpenLevel69	1976	张如梦	见性峰	407	14900	5400	东北	48
OpenLevel69	1977	南宫彩虹	剑门关	408	2400	10630	西南	39
OpenLevel69	1978	卓非凡	剑门关	408	14770	14730	北	39
OpenLevel69	1979	紫轩	荐菊洞	410	1770	8930	西南	19
OpenLevel69	1980	柴嵩	荐菊洞	410	13400	13480	北	43
OpenLevel69	1981	杨瑛	伏牛山	411	14250	5260	东北	46
OpenLevel69	1982	胡神医	伏牛山	411	4980	14150	西	32
OpenLevel69	1983	秋依水	古战场	412	14666	5600	东北	50
OpenLevel69	1984	万金财	古战场	412	6360	14100	西	31
OpenLevel69	1985	虞姬	风陵渡	419	14630	10560	北	44
OpenLevel89	1966	纳兰潜凛	锁云渊	400	14350	8920	北	45
OpenLevel89	1967	纳兰真	武夷山	401	4300	13320	西	30
OpenLevel89	1968	独孤剑	雁荡山	402	10220	12040	东	32
OpenLevel89	1969	张琳心	洞庭湖畔	403	3400	7600	西南	25
OpenLevel89	1970	南宫飞云	苗岭	404	5170	2860	南	40
OpenLevel89	1971	燕若雪	点苍山	405	14240	5440	东	0
OpenLevel89	1972	孟知秋	夜郎废墟	409	630	4270	南	0
OpenLevel89	1973	月眉儿	响水洞	406	10450	12250	北	32
OpenLevel89	1974	杨影枫	见性峰	407	5430	4560	南	41
OpenLevel89	1975	蔷薇	剑门关	408	2400	10630	西南	39
OpenLevel89	1976	张如梦	荐菊洞	410	1770	8930	西南	16
OpenLevel89	1977	南宫彩虹	伏牛山	411	14250	5260	东北	45
OpenLevel89	1978	卓非凡	古战场	412	14666	5600	东北	50
OpenLevel89	1979	紫轩	风陵渡	419	14630	10560	北	44
OpenLevel89	1980	柴嵩	祁连山	413	16330	9830	北	41
OpenLevel89	1981	杨瑛	祁连山	413	6500	13420	西	35
OpenLevel89	1982	胡神医	沙漠遗迹	414	3060	12980	西	40
OpenLevel89	1983	秋依水	沙漠遗迹	414	13600	2470	东	42
OpenLevel89	1984	万金财	敦煌古城	415	14000	13780	北	40
OpenLevel89	1985	虞姬	敦煌古城	415	5940	2580	南	15
