nIdx	nMapId	nX	nY
1	15	12980	12332
2	15	12161	12356
3	15	11466	11654
4	15	11456	10814
5	15	12164	10140
6	15	12997	10143
7	15	13689	10804
8	15	13696	11657
9	15	11896	11940
10	15	13238	11909
11	15	13186	10639
12	15	12061	10622
13	15	10885	11585
14	15	10850	10910
15	15	8898	11619
16	15	8124	11629
17	15	8129	10939
18	15	8839	10919
19	15	14954	11532
20	15	14948	11041
21	15	15964	11515
22	15	15975	11024
23	15	16940	11538
24	15	16951	11041
25	15	17446	11754
26	15	17440	10746
27	15	18591	11963
28	15	18579	10633
29	15	18960	11689
30	15	18931	10824
31	15	17877	10949
32	15	17883	11599
33	15	12180	8890
34	15	12930	8896
35	15	14569	8249
36	15	14849	7785
37	15	14402	7401
38	15	13560	8180
39	15	13301	7422
40	15	12890	8093
41	15	12905	7467
42	15	12242	8066
43	15	12249	7497
44	15	10830	5397
45	15	12615	4160
46	15	13478	5620
47	15	12157	5547
48	15	11168	4353
49	15	13598	4215
50	15	9606	8704
51	15	9596	8276
52	15	8093	8782
53	15	8894	8756
54	15	7272	8663
55	15	7644	8141
56	15	8191	8157
57	15	7604	6892
58	15	8129	6902
59	15	8892	7106
60	15	9036	6804
61	15	8585	6623
62	15	8497	7023
63	15	7101	7102
64	15	6557	6981
65	15	7241	6609
66	15	7753	6269
67	15	8083	6260
68	15	8941	8207
69	15	10113	8563
70	15	10725	8439
71	15	11849	8638
72	15	11835	8297
73	15	8112	17972
74	15	8857	17980
75	15	8097	16942
76	15	9043	17010
77	15	9079	16251
78	15	8112	16229
79	15	8094	15688
80	15	8892	15667
81	15	8921	15158
82	15	8079	15187
83	15	8115	14575
84	15	8905	14560
85	15	8755	13848
86	15	8213	13853
87	15	8227	13281
88	15	8756	13258
89	15	8238	12576
90	15	8726	12539
91	15	5228	11485
92	15	5250	11061
93	15	5885	11496
94	15	5897	11033
95	15	6575	11518
96	15	6575	11042
97	15	7266	11514
98	15	7262	11042
99	15	10731	16966
100	15	11401	16966
101	15	10761	16306
102	15	11305	16290
103	15	12226	15688
104	15	11024	15338
105	15	12742	15530
106	15	13106	14930
107	15	12198	14840
108	15	12808	14386
109	15	12378	13952
110	15	12780	13507
111	15	9519	11511
112	15	9928	11028
113	15	10311	11516
114	15	6341	14986
115	15	6785	14477
116	15	7196	15019
117	15	5422	16604
118	15	5778	15986
119	15	6746	16779
120	15	8715	10281
121	15	8246	9796
122	15	8731	9374
123	15	3571	11489
124	15	3245	10942
125	15	2372	11489
126	15	1633	11547
127	15	1651	10965
128	15	11353	8361
129	10	11247	16498
130	10	12013	16498
131	10	10451	15727
132	10	10432	15009
133	10	12824	15649
134	10	12785	14985
135	10	11223	14145
136	10	11921	14126
137	10	10859	14562
138	10	10810	16144
139	10	12402	16067
140	10	12503	14567
141	10	13294	15528
142	10	13287	15115
143	10	13764	15528
144	10	13775	15122
145	10	14616	15528
146	10	14616	15118
147	10	15531	15539
148	10	15556	15147
149	10	16094	15553
150	10	16091	15143
151	10	16515	15556
152	10	16547	15133
153	10	14656	13969
154	10	15376	13945
155	10	13388	12983
156	10	13368	12561
157	10	14799	11400
158	10	15503	11424
159	10	16169	12962
160	10	16150	12420
161	10	14010	13362
162	10	14365	11832
163	10	15859	11832
164	10	15833	13341
165	10	11862	13002
166	10	11872	12302
167	10	11306	13002
168	10	11380	12515
169	10	11338	13577
170	10	11895	13601
171	10	11309	11630
172	10	11937	11635
173	10	11148	10418
174	10	12013	10384
175	10	11256	9099
176	10	11983	9099
177	10	9312	11792
178	10	9900	11792
179	10	9662	12687
180	10	8295	13229
181	10	7780	12806
182	10	8176	12557
183	10	14034	15891
184	10	14403	15914
185	10	14047	16483
186	10	14377	16474
187	10	14029	17008
188	10	14506	17052
189	10	15084	17066
190	10	14528	17831
191	10	14492	18142
192	10	16975	19086
193	10	17015	18107
194	10	14683	18672
195	10	15128	18494
196	10	15458	18712
197	10	15769	18463
198	10	16209	18707
199	10	16570	18494
200	10	17339	18583
201	10	14991	17892
202	10	12063	18171
203	10	12060	17853
204	10	12328	18593
205	10	13030	19163
206	10	13254	18827
207	10	12852	18339
208	10	13690	18220
209	10	13690	17860
210	10	13055	17867
211	10	11368	19693
212	10	11930	19665
213	10	11368	19320
214	10	11927	19327
215	10	11368	18971
216	10	11921	18952
217	10	11365	18613
218	10	11921	18608
219	10	11356	18248
220	10	11362	17811
221	10	10625	18337
222	10	10925	18312
223	10	10876	19190
224	10	9188	19233
225	10	9176	18991
226	10	9824	18991
227	10	10197	18994
228	10	9864	17951
229	10	10142	17948
230	10	8959	17074
231	10	8963	16807
232	10	7540	17211
233	10	7807	17182
234	10	7807	16674
235	10	7632	16079
236	10	7940	16304
237	10	7961	16083
238	10	8801	16300
239	10	6987	15559
240	10	6954	15122
241	10	7705	11268
242	10	7697	10656
243	10	8524	10792
244	10	8600	11397
245	10	8853	11393
246	10	8607	12012
247	10	7687	15565
248	10	7692	15121
249	10	8443	15579
250	10	8410	15173
251	10	9090	15183
252	10	9099	15617
253	10	8918	13216
254	10	8280	19303
255	10	7294	18263
256	10	8520	17698
257	10	9298	18300
258	10	10627	12345
259	10	12655	12509
260	10	8866	14158
261	10	8612	14685
262	10	8630	13691
