GroupID	NpcID	Desc	NpcLevel	PosX	PosY	Rate	SoulStoneID	PlayerAwardID	ValueParam	KinItemAwardID	MJSoulStoneID	IsFalse	Mask	OpenTrap	LingPai	CalcValueType	IsRecordDeath	ExtRandomItemID1	ExtRandomItemID2	ExtRandomItemID3	ValueGroupID	NpcMaxLife	LastAwardID	CallEventID
1	115	寒玉鹿王	20	13393	4202	1		1																
1	115	寒玉鹿王	20	12320	4269	1		1																
1	115	寒玉鹿王	20	11142	4449	1		1																
2	115	寒玉鹿王	20	10434	5114	1		1																
2	115	寒玉鹿王	20	8828	4855	1		1																
2	115	寒玉鹿王	20	7753	4287	1		1																
3	115	寒玉鹿王	20	13040	6251	1		1																
3	115	寒玉鹿王	20	12076	7510	1		1																
3	115	寒玉鹿王	20	16091	8227	1		1																
4	115	寒玉鹿王	20	12953	8832	1		1																
4	115	寒玉鹿王	20	12530	10516	1		1																
4	115	寒玉鹿王	20	10868	10841	1		1																
5	115	寒玉鹿王	20	13625	11407	1		1																
5	115	寒玉鹿王	20	11688	13972	1		1																
5	115	寒玉鹿王	20	9850	13252	1		1																
6	115	寒玉鹿王	20	9291	10465	1		1																
6	115	寒玉鹿王	20	7335	12774	1		1																
6	115	寒玉鹿王	20	3874	12250	1		1																
7	115	寒玉鹿王	20	5709	10721	1		1																
7	115	寒玉鹿王	20	2857	9263	1		1																
7	115	寒玉鹿王	20	4608	8165	1		1																
8	115	寒玉鹿王	20	6082	5983	1		1																
8	115	寒玉鹿王	20	4674	3757	1		1																
8	115	寒玉鹿王	20	4610	6214	1		1																
9	116	大地狼王	20	12435	4096	1		2																
9	116	大地狼王	20	13406	4222	1		2																
9	116	大地狼王	20	13173	5953	1		2																
10	116	大地狼王	20	13068	7853	1		2																
10	116	大地狼王	20	12899	9711	1		2																
10	116	大地狼王	20	12097	10576	1		2																
11	116	大地狼王	20	11865	11484	1		2																
11	116	大地狼王	20	12625	12117	1		2																
11	116	大地狼王	20	11189	13383	1		2																
12	116	大地狼王	20	10830	12307	1		2																
12	116	大地狼王	20	9669	10998	1		2																
12	116	大地狼王	20	9479	12054	1		2																
13	116	大地狼王	20	7580	13088	1		2																
13	116	大地狼王	20	5511	12581	1		2																
13	116	大地狼王	20	7094	11336	1		2																
14	116	大地狼王	20	5004	9521	1		2																
14	116	大地狼王	20	5954	9626	1		2																
14	116	大地狼王	20	5490	8254	1		2																
15	116	大地狼王	20	5047	7431	1		2																
15	116	大地狼王	20	7685	7621	1		2																
15	116	大地狼王	20	7706	6460	1		2																
16	116	大地狼王	20	8888	5046	1		2																
16	116	大地狼王	20	6292	4054	1		2																
16	116	大地狼王	20	4730	5489	1		2																
17	1455	白眉猴王	20	14050	4167	1		3																
17	1455	白眉猴王	20	13126	3970	1		3																
17	1455	白眉猴王	20	11662	4291	1		3																
18	1455	白眉猴王	20	12492	5996	1		3																
18	1455	白眉猴王	20	12570	7771	1		3																
18	1455	白眉猴王	20	11380	8747	1		3																
19	1455	白眉猴王	20	12336	9488	1		3																
19	1455	白眉猴王	20	10775	10873	1		3																
19	1455	白眉猴王	20	12823	11380	1		3																
20	1455	白眉猴王	20	11595	12453	1		3																
20	1455	白眉猴王	20	10561	12746	1		3																
20	1455	白眉猴王	20	9215	12668	1		3																
21	1455	白眉猴王	20	8493	11887	1		3																
21	1455	白眉猴王	20	6406	12433	1		3																
21	1455	白眉猴王	20	5431	14150	1		3																
22	1455	白眉猴王	20	3964	11538	1		3																
22	1455	白眉猴王	20	5493	10070	1		3																
22	1455	白眉猴王	20	4943	8969	1		3																
23	1455	白眉猴王	20	6125	7685	1		3																
23	1455	白眉猴王	20	3169	7053	1		3																
23	1455	白眉猴王	20	4474	5810	1		3																
24	1455	白眉猴王	20	5982	4363	1		3																
24	1455	白眉猴王	20	8979	5484	1		3																
24	1455	白眉猴王	20	7776	3527	1		3																
201	115	寒玉鹿王	20	13393	4202	1		4																
201	115	寒玉鹿王	20	12320	4269	1		4																
201	115	寒玉鹿王	20	11142	4449	1		4																
202	115	寒玉鹿王	20	10434	5114	1		4																
202	115	寒玉鹿王	20	8828	4855	1		4																
202	115	寒玉鹿王	20	7753	4287	1		4																
203	115	寒玉鹿王	20	13040	6251	1		4																
203	115	寒玉鹿王	20	12076	7510	1		4																
203	115	寒玉鹿王	20	16091	8227	1		4																
204	115	寒玉鹿王	20	12953	8832	1		4																
204	115	寒玉鹿王	20	12530	10516	1		4																
204	115	寒玉鹿王	20	10868	10841	1		4																
205	115	寒玉鹿王	20	13625	11407	1		4																
205	115	寒玉鹿王	20	11688	13972	1		4																
205	115	寒玉鹿王	20	9850	13252	1		4																
206	115	寒玉鹿王	20	9291	10465	1		4																
206	115	寒玉鹿王	20	7335	12774	1		4																
206	115	寒玉鹿王	20	3874	12250	1		4																
207	115	寒玉鹿王	20	5709	10721	1		4																
207	115	寒玉鹿王	20	2857	9263	1		4																
207	115	寒玉鹿王	20	4608	8165	1		4																
208	115	寒玉鹿王	20	6082	5983	1		4																
208	115	寒玉鹿王	20	4674	3757	1		4																
208	115	寒玉鹿王	20	4610	6214	1		4																
209	116	大地狼王	20	12435	4096	1		5																
209	116	大地狼王	20	13406	4222	1		5																
209	116	大地狼王	20	13173	5953	1		5																
210	116	大地狼王	20	13068	7853	1		5																
210	116	大地狼王	20	12899	9711	1		5																
210	116	大地狼王	20	12097	10576	1		5																
211	116	大地狼王	20	11865	11484	1		5																
211	116	大地狼王	20	12625	12117	1		5																
211	116	大地狼王	20	11189	13383	1		5																
212	116	大地狼王	20	10830	12307	1		5																
212	116	大地狼王	20	9669	10998	1		5																
212	116	大地狼王	20	9479	12054	1		5																
213	116	大地狼王	20	7580	13088	1		5																
213	116	大地狼王	20	5511	12581	1		5																
213	116	大地狼王	20	7094	11336	1		5																
214	116	大地狼王	20	5004	9521	1		5																
214	116	大地狼王	20	5954	9626	1		5																
214	116	大地狼王	20	5490	8254	1		5																
215	116	大地狼王	20	5047	7431	1		5																
215	116	大地狼王	20	7685	7621	1		5																
215	116	大地狼王	20	7706	6460	1		5																
216	116	大地狼王	20	8888	5046	1		5																
216	116	大地狼王	20	6292	4054	1		5																
216	116	大地狼王	20	4730	5489	1		5																
217	1455	白眉猴王	20	14050	4167	1		6																
217	1455	白眉猴王	20	13126	3970	1		6																
217	1455	白眉猴王	20	11662	4291	1		6																
218	1455	白眉猴王	20	12492	5996	1		6																
218	1455	白眉猴王	20	12570	7771	1		6																
218	1455	白眉猴王	20	11380	8747	1		6																
219	1455	白眉猴王	20	12336	9488	1		6																
219	1455	白眉猴王	20	10775	10873	1		6																
219	1455	白眉猴王	20	12823	11380	1		6																
220	1455	白眉猴王	20	11595	12453	1		6																
220	1455	白眉猴王	20	10561	12746	1		6																
220	1455	白眉猴王	20	9215	12668	1		6																
221	1455	白眉猴王	20	8493	11887	1		6																
221	1455	白眉猴王	20	6406	12433	1		6																
221	1455	白眉猴王	20	5431	14150	1		6																
222	1455	白眉猴王	20	3964	11538	1		6																
222	1455	白眉猴王	20	5493	10070	1		6																
222	1455	白眉猴王	20	4943	8969	1		6																
223	1455	白眉猴王	20	6125	7685	1		6																
223	1455	白眉猴王	20	3169	7053	1		6																
223	1455	白眉猴王	20	4474	5810	1		6																
224	1455	白眉猴王	20	5982	4363	1		6																
224	1455	白眉猴王	20	8979	5484	1		6																
224	1455	白眉猴王	20	7776	3527	1		6																
25	118	九尾狐王	40	11946	3914	1		7																
25	118	九尾狐王	40	14095	4738	1		7																
25	118	九尾狐王	40	13916	6189	1		7																
26	118	九尾狐王	40	12519	5920	1		7																
26	118	九尾狐王	40	11193	5437	1		7																
26	118	九尾狐王	40	8291	4165	1		7																
27	118	九尾狐王	40	4727	3448	1		7																
27	118	九尾狐王	40	4010	4863	1		7																
27	118	九尾狐王	40	3133	7031	1		7																
28	118	九尾狐王	40	6790	8199	1		7																
28	118	九尾狐王	40	9513	8558	1		7																
28	118	九尾狐王	40	11208	9454	1		7																
29	118	九尾狐王	40	11012	10693	1		7																
29	118	九尾狐王	40	10116	11622	1		7																
29	118	九尾狐王	40	8893	12649	1		7																
30	118	九尾狐王	40	8111	12030	1		7																
30	118	九尾狐王	40	5763	12209	1		7																
30	118	九尾狐王	40	4329	12079	1		7																
31	118	九尾狐王	40	4068	10367	1		7																
31	118	九尾狐王	40	5731	10546	1		7																
31	118	九尾狐王	40	4753	9422	1		7																
32	118	九尾狐王	40	4345	8770	1		7																
32	118	九尾狐王	40	8535	9666	1		7																
32	118	九尾狐王	40	8828	3162	1		7																
89	1456	双首异兽	40	7481	1253	1		8																
89	1456	双首异兽	40	5734	1534	1		8																
89	1456	双首异兽	40	5937	3094	1		8																
90	1456	双首异兽	40	8121	4373	1		8																
90	1456	双首异兽	40	10211	3749	1		8																
90	1456	双首异兽	40	10711	5496	1		8																
91	1456	双首异兽	40	10243	6682	1		8																
91	1456	双首异兽	40	9247	7714	1		8																
91	1456	双首异兽	40	12496	6972	1		8																
92	1456	双首异兽	40	10082	9126	1		8																
92	1456	双首异兽	40	11568	10537	1		8																
92	1456	双首异兽	40	10268	11298	1		8																
93	1456	双首异兽	40	8337	13266	1		8																
93	1456	双首异兽	40	6350	11149	1		8																
93	1456	双首异兽	40	5403	10035	1		8																
94	1456	双首异兽	40	3008	9961	1		8																
94	1456	双首异兽	40	3119	12004	1		8																
94	1456	双首异兽	40	2822	8346	1		8																
95	1456	双首异兽	40	3973	6099	1		8																
95	1456	双首异兽	40	3231	4910	1		8																
95	1456	双首异兽	40	2748	3926	1		8																
96	1456	双首异兽	40	4011	3276	1		8																
96	1456	双首异兽	40	4883	2292	1		8																
96	1456	双首异兽	40	8337	10555	1		8																
97	117	奔焰豹王	40	4457	13050	1		9																
97	117	奔焰豹王	40	2263	11084	1		9																
97	117	奔焰豹王	40	4934	11231	1		9																
98	117	奔焰豹王	40	6710	12045	1		9																
98	117	奔焰豹王	40	8029	11459	1		9																
98	117	奔焰豹王	40	10823	15116	1		9																
99	117	奔焰豹王	40	16180	11431	1		9																
99	117	奔焰豹王	40	12447	11903	1		9																
99	117	奔焰豹王	40	13504	9497	1		9																
100	117	奔焰豹王	40	10799	10259	1		9																
100	117	奔焰豹王	40	10822	8969	1		9																
100	117	奔焰豹王	40	12135	7956	1		9																
101	117	奔焰豹王	40	11490	6436	1		9																
101	117	奔焰豹王	40	10984	4963	1		9																
101	117	奔焰豹王	40	13885	3857	1		9																
102	117	奔焰豹王	40	12544	5815	1		9																
102	117	奔焰豹王	40	8377	4974	1		9																
102	117	奔焰豹王	40	6017	4114	1		9																
103	117	奔焰豹王	40	6635	6143	1		9																
103	117	奔焰豹王	40	4474	5768	1		9																
103	117	奔焰豹王	40	4937	7708	1		9																
104	117	奔焰豹王	40	9794	11021	1		9																
104	117	奔焰豹王	40	14032	13983	1		9																
104	117	奔焰豹王	40	9531	4213	1		9																
225	118	九尾狐王	40	11946	3914	1		10																
225	118	九尾狐王	40	14095	4738	1		10																
225	118	九尾狐王	40	13916	6189	1		10																
226	118	九尾狐王	40	12519	5920	1		10																
226	118	九尾狐王	40	11193	5437	1		10																
