AwardID	Rank	Award	AwardRate	Rate	AuctionAward	AuctionAwardCount	AuctionAwardRate	Desc
1	1	item|947|4;item|3085|1						寒玉鹿王
1	2	item|947|2;item|3086|1						寒玉鹿王
1	3	item|947|1;item|3087|1						寒玉鹿王
1	4	item|3087|1	item|947|1	50				寒玉鹿王
1	5	item|3087|1	item|947|1	50				寒玉鹿王
1	-1	item|3087|1						
2	1	item|948|4;item|3085|1						大地狼王
2	2	item|948|2;item|3086|1						大地狼王
2	3	item|948|1;item|3087|1						大地狼王
2	4	item|3087|1	item|948|1	50				大地狼王
2	5	item|3087|1	item|948|1	50				大地狼王
2	-1	item|3087|1						
3	1	item|949|4;item|3085|1						白眉猴王
3	2	item|949|2;item|3086|1						白眉猴王
3	3	item|949|1;item|3087|1						白眉猴王
3	4	item|3087|1	item|949|1	50				白眉猴王
3	5	item|3087|1	item|949|1	50				白眉猴王
3	-1	item|3087|1						
4	1	item|947|2;item|3085|1						寒玉鹿王
4	2	item|947|1;item|3086|1	item|947|1	50				寒玉鹿王
4	-1	item|3087|1						
5	1	item|948|2;item|3085|1						大地狼王
5	2	item|948|1;item|3086|1	item|948|1	50				大地狼王
5	-1	item|3087|1						
6	1	item|949|2;item|3085|1						白眉猴王
6	2	item|949|1;item|3086|1	item|949|1	50				白眉猴王
6	-1	item|3087|1						
7	1	item|952|4;item|3085|1						九尾狐王(40)
7	2	item|952|2;item|3086|1						九尾狐王(40)
7	3	item|952|1;item|3087|1						九尾狐王(40)
7	4	item|3087|1	item|952|1	50				九尾狐王(40)
7	5	item|3087|1	item|952|1	50				九尾狐王(40)
7	-1	item|3087|1						
8	1	item|954|4;item|3085|1						双首异兽(40)
8	2	item|954|2;item|3086|1						双首异兽(40)
8	3	item|954|1;item|3087|1						双首异兽(40)
8	4	item|3087|1	item|954|1	50				双首异兽(40)
8	5	item|3087|1	item|954|1	50				双首异兽(40)
8	-1	item|3087|1						
9	1	item|953|4;item|3085|1						奔焰豹王(40)
9	2	item|953|2;item|3086|1						奔焰豹王(40)
9	3	item|953|1;item|3087|1						奔焰豹王(40)
9	4	item|3087|1	item|953|1	50				奔焰豹王(40)
9	5	item|3087|1	item|953|1	50				奔焰豹王(40)
9	-1	item|3087|1						
10	1	item|955|4;item|3085|1						九尾狐王(50)
10	2	item|955|2;item|3086|1						九尾狐王(50)
10	3	item|955|1;item|3087|1						九尾狐王(50)
10	4	item|3087|1	item|955|1	50				九尾狐王(50)
10	5	item|3087|1	item|955|1	50				九尾狐王(50)
10	-1	item|3087|1						
11	1	item|2224|4;item|3085|1						双首异兽(50)
11	2	item|2224|2;item|3086|1						双首异兽(50)
11	3	item|2224|1;item|3087|1						双首异兽(50)
11	4	item|3087|1	item|2224|1	50				双首异兽(50)
11	5	item|3087|1	item|2224|1	50				双首异兽(50)
11	-1	item|3087|1						
12	1	item|956|4;item|3085|1						奔焰豹王(50)
12	2	item|956|2;item|3086|1						奔焰豹王(50)
12	3	item|956|1;item|3087|1						奔焰豹王(50)
12	4	item|3087|1	item|956|1	50				奔焰豹王(50)
12	5	item|3087|1	item|956|1	50				奔焰豹王(50)
12	-1	item|3087|1						
13	1	item|955|2;item|3085|1						九尾狐王(60)
13	2	item|955|1;item|3086|1	item|955|1	50				九尾狐王(60)
13	-1	item|3087|1						
14	1	item|2224|2;item|3085|1						双首异兽(60)
