TimeFrame	Cross	BaoDiMJLingParam	BaoDiItemID1	BaoDiItemParam1	BaoDiItemKinMsg1	BaoDiItemWorldMsg1	BaoDiItemID2	BaoDiItemParam2	BaoDiItemKinMsg2	BaoDiItemWorldMsg2	BaoDiItemID3	BaoDiItemParam3	BaoDiItemKinMsg3	BaoDiItemWorldMsg3	BaoDiItemID4	BaoDiItemParam4	BaoDiItemKinMsg4	BaoDiItemWorldMsg4	RandomSoulParam	RandomMJStoneParam	RandomMJLingParam	ExtRandomItem1Param	RandomSoulParam1	RandomMJStoneParam1	RandomMJLingParam1	ExtRandomItem1Param1	ExtRandomItem2Param1	ExtRandomItem3Param1	RandomSoulParam2	RandomMJStoneParam2	RandomMJLingParam2	ExtRandomItem1Param2	ExtRandomItem2Param2	RandomSoulParam3	RandomMJStoneParam3	RandomMJLingParam3	ExtRandomItem1Param3	ExtRandomItem2Param3	ExtRandomItem3Param3
OpenDay7			1124	1		1													0.166667	0.333333	0.5																		
OpenLevel59		0.25	1125	0.75		1													0.166666	0.416667	0.416667																		
OpenLevel69		0.25	2089	0.375		1	4317	0.375											0.166666	0.416667	0.416667																		
OpenDay52		0.25	2089	0.375		1	4317	0.375											0.166666	0.416667	0.416667		0.25	0.333333	0.416667														
OpenLevel79		0.125	2090	0.5		1	4317	0.375											0.166666	0.416667	0.416667		0.25	0.333333	0.416667														
OpenDay99		0.125	2090	0.5		1	4317	0.125			4318	0.25							0.166666	0.416667	0.416667		0.25	0.333333	0.416667														
OpenLevel89		0.125	2943	0.5		1	4317	0.125			4318	0.25							0.166667	0.5	0.333333		0.333333	0.333333	0.333334														
OpenDay128		0.125	2943	0.5		1	4317	0.125			4318	0.25							0.166667	0.5	0.333333		0.333333	0.333333	0.333334														
OpenLevel99		0.125	2944	0.5		1	4317	0.1			4318	0.275							0.166667	0.5	0.333333		0.333333	0.333333	0.333334														
OpenDay224		0.125	2944	0.5		1	4318	0.125			4319	0.25	1						0.166667	0.5	0.333333		0.333333	0.333333	0.333334														
OpenLevel109		0.125	2945	0.5		1	4318	0.125			4319	0.25	1						0.166667	0.5	0.333333		0.333333	0.333333	0.333334														
OpenLevel119		0.125	3667	0.5		1	4318	0.1			4319	0.275	1						0.166667	0.5	0.333333		0.333333	0.333333	0.333334														
OpenDay353		0.125	3667	0.5		1	4318	0.1			4319	0.275	1						0.166667	0.5	0.333333		0.333333	0.333333	0.333334				0.375	0.375	0.125	0.125							
OpenDay399		0.125	3667	0.5		1	4319	0.125	1		4320	0.25		1					0.166667	0.5	0.333333		0.333333	0.333333	0.333334				0.375	0.375	0.125	0.125							
OpenLevel129		0.125	5761	0.5		1	4319	0.125	1		4320	0.25		1					0.166667	0.5	0.333333		0.333333	0.333333	0.333334				0.375	0.375	0.125	0.125							
OpenLevel139		0.125	5762	0.5		1	4319	0.125	1		4320	0.25		1					0.166667	0.5	0.333333		0.333333	0.333333	0.333334				0.375	0.375	0.125	0.125							
OpenLevel149		0.125	5763	0.5		1	4319	0.125	1		4320	0.25		1					0.166667	0.5	0.333333		0.333333	0.166667	0.166667|0.333333				0.375	0.375		0.125							
OpenLevel159		0.0625	5764	0.3125		1	4319	0.125	1		4320	0.25		1	10983	0.25		1	0.166667	0.5	0.333333		0.333333	0.166667	0.166667|0.333333				0.375	0.375		0.125							
OpenLevel169		0.0625	5765	0.3125		1	4319	0.125	1		4320	0.25		1	10983	0.25		1	0.166667	0.5	0.333333		0.333333	0.166667	0.166667|0.333333				0.375	0.375		0.125							
OpenLevel179		0.0625	10316	0.3125		1	4319	0.125	1		4320	0.25		1	10983	0.25		1	0.166667	0.5	0.333333		0.333333	0.166667	0.166667|0.333333				0.375	0.375		0.125							
OpenLevel189		0.0625	10317	0.3125		1	4319	0.125	1		4320	0.25		1	10983	0.25		1	0.166667	0.5	0.333333		0.333333	0.166667	0.166667|0.333333				0.375	0.375		0.125							
OpenLevel199		0.0625	10318	0.3125		1	4319	0.125	1		4320	0.25		1	10983	0.25		1	0.166667	0.5	0.333333		0.333333	0.166667	0.166667|0.333333				0.375	0.375		0.125							
OpenDay353	1	0.125	3667	0.5		1	4318	0.1			4319	0.275	1										0.333333			0.333333	0.333334				0.125			0.333333			0.333333	0.333334	
OpenDay399	1	0.125	3667	0.5		1	4319	0.125	1		4320	0.25		1									0.333333			0.333333	0.333334				0.125			0.333333			0.333333	0.333334	
OpenLevel129	1	0.125	5761	0.5		1	4319	0.125	1		4320	0.25		1									0.333333			0.333333	0.333334				0.125			0.333333			0.333333	0.333334	
OpenLevel139	1	0.125	5762	0.5		1	4319	0.125	1		4320	0.25		1									0.333333			0.333333	0.333334				0.125			0.333333			0.333333	0.333334	
OpenLevel149	1	0.125	5763	0.5		1	4319	0.125	1		4320	0.25		1									0.333333			0.333333	0.333334				0.05|0.075			0.333333			0.333333	0.333334	
OpenLevel159	1	0.0625	5764	0.3125		1	4319	0.125	1		4320	0.25		1	10983	0.25		1					0.2			0.333334	0.333333	0.133333			0.075			0.2			0.333334	0.333333	0.133333
OpenLevel169	1	0.0625	5765	0.3125		1	4319	0.125	1		4320	0.25		1	10983	0.25		1					0.2			0.333334	0.333333	0.133333			0.075			0.2			0.333334	0.333333	0.133333
OpenLevel179	1	0.0625	10316	0.3125		1	4319	0.125	1		4320	0.25		1	10983	0.25		1					0			0.333334	0.533333	0.133333			0.075			0			0.333334	0.533333	0.133333
OpenLevel189	1	0.0625	10317	0.3125		1	4319	0.125	1		4320	0.25		1	10983	0.25		1					0			0.333334	0.533333	0.133333			0.075			0			0.333334	0.533333	0.133333
OpenLevel199	1	0.0625	10318	0.3125		1	4319	0.125	1		4320	0.25		1	10983	0.25		1					0			0.333334	0.533333	0.133333			0.075			0			0.333334	0.533333	0.133333
