nId	szKey	nLevelMin	nLevelMax	nSort	nStarLevel	szTimeFrameOpen	szActiveTimeFrame	szName	szIconAtlas	szIcon	szTag	szJoinCount	szJoinCountFunc	nTimeGroup	bWeek	szFuncName	szParams	szOpenActivityTip	szWeekIcon	bNotPreview
1	Boss	20		4	5	OpenDay1A		武林盟主	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	wulinmengzhu	Mark_PK			2		OpenUi	BossPanel		UI/Textures/ActivityPicture/wulinmengzhu.jpg	
2	CommerceTask	30		24	3	OpenDay2		商会任务	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	shanghuirenwu	Mark_Single	CommerceTask				DoCommerceTask	CommerceTaskPanel			
3	Battle	24		10	4		StartBattle	宋金战场	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	songjinzhanchang	Mark_PK	Battle		1		OpenUi	BattleEntrance		UI/Textures/ActivityPicture/songjinzhanchang.jpg	
4	CangBaoTu	21		25	4			藏宝图	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	cangbaotu	Mark_Single					CangBaoTu				
6	PunishTask	22		18	3			惩恶任务	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	chengjierenwu	Mark_Team	PunishTask				OpenUi	TeamPanel|TeamActivity|PunishTask|PunishTask			
7	TeamFuben	15		19	3			组队秘境	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	zuduimijing	Mark_Team	TeamFuben				OpenUi	TeamFubenPanel			
8	ExplorationFuben	19	69	17	4			宝藏探索	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	guanqiatansuo	Mark_Single	MapExplore				OpenUi	FubenSectionPanel|ExplorationFuben			
9	Rank	17		23	3			武神殿	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	wushendian	Mark_Single	RankBattle				OpenUi	RankPanel			
10	RandomFuben	30		20	3	OpenDay2		凌绝峰	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	lingjuefeng	Mark_Team	RandomFuben				GoToRandomFuben				
11	QunYingHui	70		6	5	OpenLevel79	QYHCrossStart	群英会	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	qunyinghui	Mark_PK			3		JoinQYHCross	QYHEntrance		UI/Textures/ActivityPicture/qunyinghui.jpg	
12	FieldBoss	30		5	5	OpenDay7		历代名将	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	lidaimingjiang	Mark_PK			4		OpenUi	BossLeaderPanel|Boss	BossLeaderPanel|Boss	UI/Textures/ActivityPicture/lidaimingjiang.jpg	
13	FieldLeader	20		17	4	OpenDay3C		野外首领	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	yewaishouling	Mark_PK			5		OpenUi	BossLeaderPanel|Leader	BossLeaderPanel|Leader	UI/Textures/ActivityPicture/yewaishouling.jpg	
14	ActivityQuestion	23	39	22	3			每日答题	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	meiridati	Mark_Single	ActivityQuestion	ActivityQuestion:GetState			ActivityQuestion	ActivityQuestion			
15	ChuanGong	15		13	5	OpenDay2		家族传功	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	jiazuchuangong	Mark_Famliy	ChuangGong	ChuangGong:GetDegreeInfo			OpenKinMember				
18	KinGather	11		2	5		KinGather	家族烤火	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	jiazujuji	Mark_Famliy			9		BackToKinMap			UI/Textures/ActivityPicture/jiazukaohuo.jpg	
21	AdventureFuben	13		21	3			山贼秘窟	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	shanzeimiku	Mark_Team	AdventureFuben				OpenUi	TeamPanel|TeamActivity|AdventureFuben|AdventureFuben			
23	HeroChallenge	30		16	4	OpenDay3		英雄挑战	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	jiazurenwu	Mark_PK	HeroChallenge				OpenUi	HeroChallenge			
24	KinBattle	999		7	5			家族战	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	jiazuzhan	Mark_Famliy			10	1	OpenUi	KinBattle	KinBattle		
25	WhiteTigerFuben	30		11	4		StartWhiteTiger	白虎堂	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	baihutang	Mark_PK	WhiteTigerFuben		11		JoinWTFuben			UI/Textures/ActivityPicture/baihutang.jpg	
26	TeamBattle	30		9	5		CheckStartTeamBattle	通天塔	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	zhaixinglou	Mark_Team		TeamBattle:GetLastTimes	12	1	OpenUi	TeamBattlePanel	TeamBattlePanel		
27	FactionBattle	30		8	5		StartFactionBattle	门派竞技	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	menpaijingji	Mark_PK			13	1	JoinFactionBattle				
28	KinEscort	30		12	5	OpenDay5		家族运镖	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	yunbiao	Mark_Famliy		KinEscort:GetDegree	14		AutoPath	952|409		UI/Textures/ActivityPicture/jiazuyunbiao.jpg	
29	XiuLian	24		15	5			野外修炼	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	yewaixiulian	Mark_Team					OpenUi	FieldPracticePanel			
30	KinFuben	15		3	5	OpenDay4		家族试炼	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	jiazushilian	Mark_Famliy			15	1	JoinKinTrain				
31	SeriesFuben	20		25	3			江湖试炼	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	qunyinghui	Mark_Single					OpenUi	TrialPanel			
32	FactionMonkey	20		1	5			门派评选	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	toupiao	Mark_Single					OpenUi	FactionMonkeyPanel			
33	DomainBattle	20		1	5	OpenDomainBattle	StartDomainBattle	攻城战	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	lingtuzhan	Mark_Famliy			16	1	OpenUi	KinDetailPanel|DomainBattleMain			
34	CardCollection_1	30		20	3	OpenLevel59		凌绝峰收集	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	lingjuefengshoucang	Mark_Team		CollectionSystem:GetRandomCompletion			GoToRandomFuben				
35	HuaShanLunJian	60		1	5	HuaShanLunJian		华山论剑	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	huashanlunjian	Mark_Team			17		OpenUi	HSLJPanel	HSLJPanel	UI/Textures/ActivityPicture/baihutang.jpg	
36	HuaShanLunJian1	20		1	5	HuaShanLunJian		华山论剑-决赛	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	huashanlunjian	Mark_Team			18		OpenUi	HSLJPanel	HSLJPanel	UI/Textures/ActivityPicture/baihutang.jpg	1
37	ImperialTomb	60		13	5	OpenDay89		秦始皇陵	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	miyinkuangdong	Mark_Team			19		ImperialTomb			UI/Textures/ActivityPicture/qinshihuangling.jpg	
