MinLevel	Scale	RewardType	RewardTemplateId	RewardCount
1	1	BasicExp		30
1	2	BasicExp		30
1	3	BasicExp		30
1	4	BasicExp		30
1	5	BasicExp		30
30	1	BasicExp		30
30	2	BasicExp		30
30	3	BasicExp		30
30	4	BasicExp		30
30	5	BasicExp		30
40	1	BasicExp		30
40	2	BasicExp		30
40	3	BasicExp		30
40	4	BasicExp		30
40	5	BasicExp		30
50	1	BasicExp		30
50	2	BasicExp		30
50	3	BasicExp		30
50	4	BasicExp		30
50	5	BasicExp		30
100	1	BasicExp		30
100	2	BasicExp		30
100	3	BasicExp		30
100	4	BasicExp		30
100	5	BasicExp		30
200	1	BasicExp		30
200	2	BasicExp		30
200	3	BasicExp		30
200	4	BasicExp		30
200	5	BasicExp		30
