nLevel	MapTemplateId	X	Y
1	400	11514	8250
1	400	13838	3015
1	400	8585	1702
1	400	6669	4259
1	400	3447	8558
1	400	3106	11395
1	400	6158	9079
1	400	11413	6573
1	400	11800	2924
1	400	6845	13343
1	400	3287	3985
1	400	11350	9705
1	400	9563	10231
1	400	9302	14867
1	400	13581	10424
1	400	14217	8875
1	400	14009	5381
1	400	13694	4368
1	400	3414	6573
1	401	12820	4035
1	401	3889	3000
1	401	4220	8647
1	401	4356	13201
1	401	11010	7608
1	401	1324	6975
1	401	2027	5058
1	401	10159	9025
1	401	1914	10779
1	401	9581	12382
1	401	10892	12213
1	401	7769	11280
1	401	7837	10138
1	401	7207	6805
1	401	6729	2488
1	401	5384	5579
1	401	6559	4823
1	401	12166	10129
1	401	12303	2333
1	402	12275	8075
1	402	5674	11543
1	402	6117	7219
1	402	3148	11859
1	402	2314	3086
1	402	3433	2437
1	402	5559	3630
1	402	10071	3966
1	402	12431	4757
1	402	10490	5855
1	402	9680	7329
1	402	10138	12149
1	402	7871	9490
1	402	3876	9732
1	402	2426	7772
1	402	4117	7634
1	402	7526	3136
20	403	9557	10756
20	403	11447	12202
20	403	14068	2918
20	403	9190	6980
20	403	8350	4798
20	403	5145	5816
20	403	5813	7867
20	403	3724	13280
20	403	15140	11121
20	403	14209	12950
20	403	11659	8901
20	403	13864	4532
20	403	10887	5230
20	403	3543	5217
20	403	5201	3460
20	403	3823	9932
20	404	6364	3187
20	404	10929	7884
20	404	2849	6952
20	404	7125	7878
20	404	6022	14357
20	404	8444	13811
20	404	13832	11210
20	404	15516	9154
20	404	13753	3013
20	404	14015	3839
20	404	11635	2082
20	404	10108	4909
20	404	8805	3876
20	404	5947	6488
20	405	8545	10068
20	405	7628	6253
20	405	11657	7914
20	405	9276	13797
20	405	11464	13020
20	405	5714	3875
20	405	5104	7943
20	405	2744	9407
20	405	14548	14478
20	405	16421	8481
20	405	14249	5402
20	405	11035	5975
20	405	6185	11783
40	406	13573	6645
40	406	5498	529
40	406	6750	10180
40	406	10020	10553
40	406	9262	1778
40	406	7093	711
40	406	3212	3661
40	406	7650	13786
40	406	10181	12287
40	406	12433	8371
40	406	8899	6819
40	406	578	7954
40	406	4326	10546
40	407	5593	11459
40	407	6224	7998
40	407	8703	2868
40	407	14058	5307
40	407	12831	3352
40	407	8509	12979
40	407	11800	8913
40	407	5034	8226
40	407	7074	9196
40	407	2670	12929
40	407	1483	9934
40	407	13636	12232
40	407	10027	5836
40	407	5555	4276
40	408	2198	10694
40	408	2836	14858
40	408	9166	15386
40	408	10522	12408
40	408	14984	14760
40	408	15532	12697
40	408	15789	9835
40	408	15256	3496
40	408	7110	3681
40	408	2945	3008
40	408	3263	5998
40	408	4799	5510
60	410	2430	8579
60	410	5536	13274
60	410	8497	14907
60	410	13406	13451
60	410	12971	11172
60	410	13946	5380
60	410	10344	3241
60	410	9583	3137
60	410	8773	1938
60	410	5581	3488
60	410	2894	4017
60	410	2810	3324
60	410	8971	6883
60	411	4075	14030
60	411	6843	13980
60	411	9312	14911
60	411	14239	12031
60	411	13724	8246
60	411	2331	8542
60	411	4958	10997
60	411	13962	7504
60	411	14332	5157
60	411	13779	2692
60	411	2298	4924
60	411	10323	9017
60	411	10907	8203
60	411	5940	9200
60	412	3082	10838
60	412	3005	8427
60	412	3176	6496
60	412	7948	2660
60	412	10094	3822
60	412	12291	4727
60	412	10456	9784
60	412	14001	10257
60	412	14448	12560
60	412	13367	13947
60	412	10978	13913
60	412	8308	14638
60	412	6526	13904
60	412	3426	3885
60	412	11711	11305
80	413	6522	13389
80	413	8705	13989
80	413	14427	14447
80	413	16383	9939
80	413	12685	2147
80	413	2562	2800
80	413	2803	5696
80	413	2178	7570
80	413	5412	7858
80	413	9096	4620
80	413	11721	6493
80	413	9427	11767
80	413	4165	15212
80	413	11644	10073
80	413	6780	3048
80	414	2531	8227
80	414	8820	12626
80	414	13497	12521
80	414	9774	10184
80	414	13561	2410
80	414	11390	1659
80	414	8161	2289
80	414	6144	2963
80	414	4834	2415
80	414	2394	2130
80	414	2860	3999
80	414	4680	9199
80	414	2836	13032
80	415	3265	14537
80	415	6189	14453
80	415	8335	14495
80	415	13170	14043
80	415	13298	7589
80	415	15754	3525
80	415	11331	2671
80	415	9317	3531
80	415	6143	2754
80	415	3393	3243
80	415	3399	5906
80	415	8200	7505
80	415	7983	10371
80	415	12371	10512
100	416	1508	13902
100	416	7543	12796
100	416	9765	12860
100	416	13651	14112
100	416	13533	12086
100	416	12064	5627
100	416	13451	1598
100	416	1324	1435
100	416	6439	2201
100	416	4773	3896
100	416	1554	5965
100	416	2396	8204
100	416	9994	8780
100	416	5590	6818
100	416	8525	4348
100	417	2289	16359
100	417	9809	15983
100	417	17799	17694
100	417	15820	13400
100	417	17139	11284
100	417	14086	9051
100	417	15816	3356
100	417	3345	4719
100	417	4514	9537
100	417	8391	9871
100	417	16369	15697
100	417	9389	5706
100	418	1159	15056
100	418	9715	14634
100	418	14084	13344
100	418	1856	2414
100	418	8899	3522
100	418	13148	3131
100	418	11311	7421
100	418	2852	10485
100	418	8810	11752
100	418	5677	14030
100	418	6332	5882
100	418	2618	7145
100	418	5784	4214
