szItemType	nItemId	nProb	nCount
item	1968	1500	1
item	1968	1500	1
item	1968	1500	1
item	1968	1500	1
item	1968	1500	1
item	1968	1500	1
item	1968	1500	1
item	1968	1500	1
item	1968	1500	1
item	1968	1500	1
item	1968	3031	1
item	1968	3031	1
item	1968	3031	1
item	1968	3031	1
item	1968	3031	1
item	1968	3031	1
item	1968	3031	1
item	1968	3031	1
item	1968	3031	1
item	1968	3031	1
item	1968	3030	1
item	1968	3030	1
item	1968	3030	1
item	1968	3030	1
item	1968	3030	1
item	1968	3030	1
item	1968	3030	1
item	1968	3030	1
item	1968	3030	1
item	1968	3030	1
item	1968	3030	1
item	1968	3030	1
item	1968	3030	1
item	1968	3030	1
item	1968	3030	1
item	1968	3030	1
item	1968	3030	1
item	1968	3030	1
item	1968	3030	1
item	1968	3030	1
item	1968	3030	1
item	1968	3030	1
item	1968	3030	1
item	1968	4839	1
item	1968	4839	1
item	1968	4839	1
item	1968	4839	1
item	1968	4839	1
item	1968	4839	1
item	1968	4839	1
item	1968	4839	1
item	1968	4839	1
item	1968	4839	1
item	1968	4839	1
item	1968	4839	1
item	1968	4839	1
item	1968	4839	1
item	1968	4839	1
item	1968	4839	1
item	1968	4839	1
item	1968	4839	1
item	1968	4839	1
item	1968	4839	1
item	1968	4839	1
item	1968	4839	1
item	1968	4838	1
item	1968	4838	1
item	1968	4838	1
item	1968	4838	1
item	1968	4838	1
item	1968	4838	1
item	1968	4838	1
item	1968	4838	1
item	1968	4838	1
item	1968	250000	1
item	1968	240000	1
item	1969	245000	1
