NpcType	ChatID	Faction	Sex	ActionEvent	SoundId	Desc
-1	1	1	1	10016		壮男
-1	1	1	2	10018		萝莉
-1	1	2	2	10017		标女
-1	1	3	2	10018		萝莉
-1	1	4	1	10019		标男
-1	1	4	2	10017		标女
-1	1	5	1	10019		标男
-1	1	5	2	10017		标女
-1	1	6	2	10017		标女
-1	1	7	1	10016		壮男
-1	1	8	2	10017		标女
-1	1	9	1	10019		标男
-1	1	10	1	10016		壮男
-1	1	10	2	10017		标女
-1	1	11	1	10016		壮男
-1	1	11	2	10018		萝莉
-1	1	12	2	10018		萝莉
-1	1	13	1	10019		标男
-1	1	14	2	10017		标女
-1	1	15	1	10019		标男
-1	1	15	2	10017		标女
-1	1	16	1	10016		壮男
-1	1	16	2	10018		萝莉
-1	1	17	1	10019		标男
-1	1	17	2	10017		标女
-1	1	18	1	10019		标男
-1	1	18	2	10017		标女
-1	1	19	1	10019		标男
-1	1	19	2	10018		萝莉
-1	1	20	1	10019		标男
-1	1	20	2	10017		标女
-1	2	1	1	10020		壮男
-1	2	1	2	10020		萝莉
-1	2	2	2	10020		标女
-1	2	3	2	10020		萝莉
-1	2	4	1	10020		标男
-1	2	4	2	10020		标女
-1	2	5	1	10020		标男
-1	2	5	2	10020		标女
-1	2	6	2	10020		标女
-1	2	7	1	10020		壮男
-1	2	8	2	10020		标女
-1	2	9	1	10020		标男
-1	2	10	1	10020		壮男
-1	2	10	2	10020		标女
-1	2	11	1	10020		壮男
-1	2	11	2	10020		萝莉
-1	2	12	2	10020		萝莉
-1	2	13	1	10020		标男
-1	2	14	2	10020		标女
-1	2	15	1	10020		标男
-1	2	15	2	10020		标女
-1	2	16	1	10020		壮男
-1	2	16	2	10020		萝莉
-1	2	17	1	10020		标男
-1	2	17	2	10020		标女
-1	2	18	1	10020		标男
-1	2	18	2	10020		标女
-1	2	19	1	10020		标男
-1	2	19	2	10020		萝莉
-1	2	20	1	10020		标男
-1	2	20	2	10020		标女
-1	3	1	1	10063		壮男
-1	3	1	2	10065		萝莉
-1	3	2	2	10064		标女
-1	3	3	2	10065		萝莉
-1	3	4	1	10063		标男
-1	3	4	2	10064		标女
-1	3	5	1	10063		标男
-1	3	5	2	10064		标女
-1	3	6	2	10064		标女
-1	3	7	1	10063		壮男
-1	3	8	2	10064		标女
-1	3	9	1	10063		标男
-1	3	10	1	10063		壮男
-1	3	10	2	10064		标女
-1	3	11	1	10063		壮男
-1	3	11	2	10065		萝莉
-1	3	12	2	10065		萝莉
-1	3	13	1	10063		标男
-1	3	14	2	10064		标女
-1	3	15	1	10063		标男
-1	3	15	2	10064		标女
-1	3	16	1	10063		壮男
-1	3	16	2	10065		萝莉
-1	3	17	1	10063		标男
-1	3	17	2	10064		标女
-1	3	18	1	10063		标男
-1	3	18	2	10064		标女
-1	3	19	1	10063		标男
-1	3	19	2	10065		萝莉
-1	3	20	1	10063		标男
