nId	nTab	nKind	nSubType	szName	nQuality	nScore	szIconSprite	szIconAtlas	szDesc	nIsBest
1	1		1	井水	2	1	shui	UI/Atlas/Item/Item/Item23.prefab	凿井而出的水，平平无奇，有些清甜\n[64db00]普通食材[-]	
2	1		1	无根水	3	2	shui	UI/Atlas/Item/Item/Item23.prefab	雨过三旬后接到的水，号约“无根水”\n[11adf6]珍品食材[-]	
3	1		1	天山圣水	4	3	shui	UI/Atlas/Item/Item/Item23.prefab	天山山麓的冰雪融水，清冽异常，沁人心脾\n[aa62fc]绝品食材[-]	1
4	1		2	大米	2	1	mi	UI/Atlas/Item/Item/Item23.prefab	民间普通稻田出产的寻常大米，不甚香甜，口感却佳\n[64db00]普通食材[-]	
5	1		2	珍珠米	3	2	mi	UI/Atlas/Item/Item/Item23.prefab	大宋皇室专用贡米，圆润短小，软而有黏性，形如珍珠\n[11adf6]珍品食材[-]	
6	1		2	暹罗香米	4	3	mi	UI/Atlas/Item/Item/Item23.prefab	胡商从海外传入极稀有的米，米身细长匀称，香气浓郁异常\n[aa62fc]绝品食材[-]	1
7	1		3	面粉	2	1	mianfen	UI/Atlas/Item/Item/Item23.prefab	以民间普通工艺将未脱皮的小麦磨成的面粉，面色微黄。\n[64db00]普通食材[-]	
8	1		3	石磨面粉	3	2	mianfen	UI/Atlas/Item/Item/Item23.prefab	小麦脱皮后以石磨低速慢磨出的面粉，口感柔韧，麦香浓郁\n[11adf6]珍品食材[-]	
9	1		3	麦芯香粉	4	3	mianfen	UI/Atlas/Item/Item/Item23.prefab	精选麦粒粉心部分磨成的面粉，面色洁白如雪，做出的面食美味异常\n[aa62fc]绝品食材[-]	1
10	1		4	油	2	1	you	UI/Atlas/Item/Item/Item23.prefab	民间普通工艺榨出的油，色泽较深，有些许杂质\n[64db00]普通食材[-]	
11	1		4	精炼油	3	2	you	UI/Atlas/Item/Item/Item23.prefab	油坊精炼出的油，无味色浅，色泽明亮\n[11adf6]珍品食材[-]	
12	1		4	万里飘香	4	3	you	UI/Atlas/Item/Item/Item23.prefab	天下第一油坊产出的油，色泽鲜亮澄澈，几无杂质\n[aa62fc]绝品食材[-]	1
13	1		5	野菜	2	1	baicai	UI/Atlas/Item/Item/Item23.prefab	路边常见的野菜，食之有益\n[64db00]普通食材[-]	
