nDecorationId	Desc	nType	nMaxPlayerCount	nNpcResAttribId1	nPX1	nPY1	nPZ1	nRX1	nRY1	nRZ1	nExtResId1	nExtPX1	nExtPY1	nExtPZ1	nExtResNpcResAttribId1	nNpcResAttribId2	nPX2	nPY2	nPZ2	nRX2	nRY2	nRZ2	nExtResId2	nExtPX2	nExtPY2	nExtPZ2	nExtResNpcResAttribId2	nNpcResAttribId3	nNpcResAttribId3	nPX3	nPY3	nPZ3	nRX3	nRY3	nRZ3	nExtResId3	nExtPX3	nExtPY3	nExtPZ3	nExtResNpcResAttribId3	nNpcResAttribId4	nPX4	nPY4	nPZ4	nRX4	nRY4	nRZ4	nExtResId4	nExtPX4	nExtPY4	nExtPZ4	nExtResNpcResAttribId4	nNpcResAttribId5	nPX5	nPY5	nPZ5	nRX5	nRY5	nRZ5	nExtResId5	nExtPX5	nExtPY5	nExtPZ5	nExtResNpcResAttribId5	1	100	2	200	3	300	4	400	5	500	6	600	7	700	8	800	9	900	10	1000	11	1100	12	1200	13	1300	14	1400	15	1500	16	1600	17	1700	18	1800	19	1900	20	2000	21	2100
1	松木床		1	20000	1.1		0		0																																																								1	3	2	2	3	3	4	2	1	2	1	2	5	5	2	2	1	1	1	2	1	3	3	3	1	1	2	2	1	2	1	3	1	2	1	2	1	3	1	2	1	2
2	桦木床		2	20001	1.25		0.5		0							20001	1.25		-0.5		0																																												1	3	2	2	3	3	4	2	1	2	1	2	5	5	2	2	1	1	1	2	1	3	3	3	1	1	2	2	1	2	1	3	1	2	1	2	1	3	1	2	1	2
3	江枫渔火		2	20002	1.28		0.5		0							20002	1.28		-0.5		0																																												1	3	2	2	3	3	4	2	1	2	1	2	5	5	2	2	1	1	1	2	1	3	3	3	1	1	2	2	1	2	1	3	1	2	1	2	1	3	1	2	1	2
4	红鸾栖枝		2	20003	1.3		0.46		0							20003	1.3		-0.46		0																																												1	3	2	2	3	3	4	2	1	2	1	2	5	5	2	2	1	1	1	2	1	3	3	3	1	1	2	2	1	2	1	3	1	2	1	2	1	3	1	2	1	2
5	金龙戏珠		2	20004	1.16		0.46		0							20004	1.16		-0.46		0																																												1	3	2	2	3	3	4	2	1	2	1	2	5	5	2	2	1	1	1	2	1	3	3	3	1	1	2	2	1	2	1	3	1	2	1	2	1	3	1	2	1	2
6	罗帐飞阁		2	20005	1.12		0.41		0							20005	1.17		-0.25		0																																												1	3	2	2	3	3	4	2	1	2	1	2	5	5	2	2	1	1	1	2	1	3	3	3	1	1	2	2	1	2	1	3	1	2	1	2	1	3	1	2	1	2
7	有凤来仪		2	20006	0.97		0.49		0							20006	0.97		-0.42		0																																												1	3	2	2	3	3	4	2	1	2	1	2	5	5	2	2	1	1	1	2	1	3	3	3	1	1	2	2	1	2	1	3	1	2	1	2	1	3	1	2	1	2
2001	松木浴盆		2		0		0.1		0								0		-0.04		-178																																												6	8	7	7	8	8	9	7	6	7	6	7	10	10	7	7	6	6	6	7	6	8	8	8	6	6	7	7	6	7	6	8	6	7	6	7	6	8	6	7	6	7
2002	桦木浴盆		2		0		0.1		0								0		-0.1		-178																																												6	8	7	7	8	8	9	7	6	7	6	7	10	10	7	7	6	6	6	7	6	8	8	8	6	6	7	7	6	7	6	8	6	7	6	7	6	8	6	7	6	7
2003	墨香浴盆		2		0		0.1		0								0		-0.1		-178																																												6	8	7	7	8	8	9	7	6	7	6	7	10	10	7	7	6	6	6	7	6	8	8	8	6	6	7	7	6	7	6	8	6	7	6	7	6	8	6	7	6	7
2004	镜花水月		2		0		0.1		0								0		-0.1		-178																																												6	8	7	7	8	8	9	7	6	7	6	7	10	10	7	7	6	6	6	7	6	8	8	8	6	6	7	7	6	7	6	8	6	7	6	7	6	8	6	7	6	7
2005	琼瑶碧落		2		0		0.3		0								0.1		-0.3		-178																																												6	8	7	7	8	8	9	7	6	7	6	7	10	10	7	7	6	6	6	7	6	8	8	8	6	6	7	7	6	7	6	8	6	7	6	7	6	8	6	7	6	7
2006	晴翠扶风		2		-0.38		0.26		0								-0.36		-0.25		-178																																												6	8	7	7	8	8	9	7	6	7	6	7	10	10	7	7	6	6	6	7	6	8	8	8	6	6	7	7	6	7	6	8	6	7	6	7	6	8	6	7	6	7
2007	青龙观月		2		0		0.29		0								0		-0.29		-178																																												6	8	7	7	8	8	9	7	6	7	6	7	10	10	7	7	6	6	6	7	6	8	8	8	6	6	7	7	6	7	6	8	6	7	6	7	6	8	6	7	6	7
10013	婚床1	0	2	20008	1.15	-0.18	0.5		0							20008	1.15	-0.18	-0.5		0																																												1	3	2	2	3	3	4	2	1	2	1	2	5	5	2	2	1	1	1	2	1	3	3	3	1	1	2	2	1	2	1	3	1	2	1	2	1	3	1	2	1	2
10013	婚床1	1	2		1.17	0.65	0.3	63	93	84							1.18	0.65	-0.32	-85	34	-40	11		0.7		20007																																						14	16	15	15	16	16	18	15	14	15	14	15	17	17	15	15	14	14	14	15	14	16	16	16	14	14	15	15	14	15	14	16	14	15	14	15	14	16	14	15	14	15
10013	婚床1	2	2		1.17	0.65	0.3	68	93	84							1.15	0.65	-0.32	66	106	107	12		0.7		20009																																						14	16	15	15	16	16	18	15	14	15	14	15	17	17	15	15	14	14	14	15	14	16	16	16	14	14	15	15	14	15	14	16	14	15	14	15	14	16	14	15	14	15
10013	婚床1	3	2		1.18	0.65	0.34	-80	10	-19							1.18	0.65	-0.34	60	118	110	13		0.7		20010																																						14	16	15	15	16	16	18	15	14	15	14	15	17	17	15	15	14	14	14	15	14	16	16	16	14	14	15	15	14	15	14	16	14	15	14	15	14	16	14	15	14	15
10014	婚床2	0	2	20008	1.15	-0.15	0.5		0							20008	1.15	-0.15	-0.5		0																																												1	3	2	2	3	3	4	2	1	2	1	2	5	5	2	2	1	1	1	2	1	3	3	3	1	1	2	2	1	2	1	3	1	2	1	2	1	3	1	2	1	2
10014	婚床2	1	2		1.17	0.67	0.3	63	93	84							1.18	0.67	-0.32	-85	34	-40	11		0.7		20007																																						14	16	15	15	16	16	18	15	14	15	14	15	17	17	15	15	14	14	14	15	14	16	16	16	14	14	15	15	14	15	14	16	14	15	14	15	14	16	14	15	14	15
10014	婚床2	2	2		1.17	0.67	0.3	68	93	84							1.15	0.67	-0.32	66	106	107	12		0.7		20009																																						14	16	15	15	16	16	18	15	14	15	14	15	17	17	15	15	14	14	14	15	14	16	16	16	14	14	15	15	14	15	14	16	14	15	14	15	14	16	14	15	14	15
10014	婚床2	3	2		1.18	0.67	0.34	-80	10	-19							1.18	0.67	-0.34	60	118	110	13		0.7		20010																																						14	16	15	15	16	16	18	15	14	15	14	15	17	17	15	15	14	14	14	15	14	16	16	16	14	14	15	15	14	15	14	16	14	15	14	15	14	16	14	15	14	15
10015	婚床3	0	2	20008	1	-0.01	0.5		0							20008	1	-0.01	-0.5		0																																												1	3	2	2	3	3	4	2	1	2	1	2	5	5	2	2	1	1	1	2	1	3	3	3	1	1	2	2	1	2	1	3	1	2	1	2	1	3	1	2	1	2
10015	婚床3	1	2		1.05	0.77	0.3	63	93	84							1.05	0.77	-0.32	-85	34	-40	11	-0.1	0.8		20007																																						14	16	15	15	16	16	18	15	14	15	14	15	17	17	15	15	14	14	14	15	14	16	16	16	14	14	15	15	14	15	14	16	14	15	14	15	14	16	14	15	14	15
10015	婚床3	2	2		1.05	0.77	0.3	68	93	84							1.05	0.77	-0.33	66	113	107	12	-0.1	0.8		20009																																						14	16	15	15	16	16	18	15	14	15	14	15	17	17	15	15	14	14	14	15	14	16	16	16	14	14	15	15	14	15	14	16	14	15	14	15	14	16	14	15	14	15
10015	婚床3	3	2		1.05	0.77	0.3	-86	43	-56							1.05	0.77	-0.3	63	126	116	13	-0.1	0.8		20010																																						14	16	15	15	16	16	18	15	14	15	14	15	17	17	15	15	14	14	14	15	14	16	16	16	14	14	15	15	14	15	14	16	14	15	14	15	14	16	14	15	14	15
10016	结婚浴缸1		2		0		0.1		0								0		-0.1		-178																																												6	8	7	7	8	8	9	7	6	7	6	7	10	10	7	7	6	6	6	7	6	8	8	8	6	6	7	7	6	7	6	8	6	7	6	7	6	8	6	7	6	7
10017	结婚浴缸2		2		0		0.1		0								0		-0.1		-178																																												6	8	7	7	8	8	9	7	6	7	6	7	10	10	7	7	6	6	6	7	6	8	8	8	6	6	7	7	6	7	6	8	6	7	6	7	6	8	6	7	6	7
10018	结婚浴缸3		2		0		0.1		0								0		-0.1		-178																																												6	8	7	7	8	8	9	7	6	7	6	7	10	10	7	7	6	6	6	7	6	8	8	8	6	6	7	7	6	7	6	8	6	7	6	7	6	8	6	7	6	7
10038	华清池		5		-0.9	-0.4	1		0								0.3	-0.4	0.1		70									0.4	-0.4	-1.65		130								-1.77	-0.4	-1.15		-130								-3	-0.4	1		-54							6	8	7	7	8	8	9	7	6	7	6	7	10	10	7	7	6	6	6	7	6	8	8	8	6	6	7	7	6	7	6	8	6	7	6	7	6	8	6	7	6	7
