nResId	Desc	szResPath
1	床_标男	Scenes/Meshes/sn_jiayuan/Prefabs/chuang01_biaonan.prefab
2	床_标女	Scenes/Meshes/sn_jiayuan/Prefabs/chuang01_biaonv.prefab
3	床_萝莉	Scenes/Meshes/sn_jiayuan/Prefabs/chuang01_luoli.prefab
4	床_逍遥	Scenes/Meshes/sn_jiayuan/Prefabs/chuang01_xiaoyao.prefab
5	床_少林	Scenes/Meshes/sn_jiayuan/Prefabs/chuang01_shaolin.prefab
6	浴缸_标男	Scenes/Meshes/sn_jiayuan/Prefabs/yupen_biaonan01.prefab
7	浴缸_标女	Scenes/Meshes/sn_jiayuan/Prefabs/yupen_biaonv01.prefab
8	浴缸_萝莉	Scenes/Meshes/sn_jiayuan/Prefabs/yupen_taohua01.prefab
9	浴缸_逍遥	Scenes/Meshes/sn_jiayuan/Prefabs/yupen_xiaoyao01.prefab
10	浴缸_少林	Scenes/Meshes/sn_jiayuan/Prefabs/yupen_shaolin01.prefab
11	双人姿势被单_1	Scenes/Meshes/sn_jiayuan/Prefabs/chuang01_shuangren01.prefab
12	双人姿势被单_2	Scenes/Meshes/sn_jiayuan/Prefabs/chuang01_shuangren02.prefab
13	双人姿势被单_3	Scenes/Meshes/sn_jiayuan/Prefabs/chuang01_shuangren03.prefab
14	双人姿势头_标男	Scenes/Meshes/sn_jiayuan/Prefabs/tou_biaonan01.prefab
15	双人姿势头_标女	Scenes/Meshes/sn_jiayuan/Prefabs/tou_biaonv01.prefab
16	双人姿势头_萝莉	Scenes/Meshes/sn_jiayuan/Prefabs/tou_luoli01.prefab
17	双人姿势头_少林	Scenes/Meshes/sn_jiayuan/Prefabs/tou_shaolin01.prefab
18	双人姿势头_逍遥	Scenes/Meshes/sn_jiayuan/Prefabs/tou_xiaoyao01.prefab
