nTemplateId	szInfo	szType	szSubType	szResPath	nDepth	nWidth	nLength	nHeight	bCanOperation	bHasObstacle	nBarrierType	szLimitRotation	szScale	bShowDir	nAllowRelation	nNpcResAttribID
1	松木床	NormalAddRes	Chuang	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_chuang01s.prefab	1	13	8	80	1	1		90|180				
2	桦木床	NormalAddRes	Chuang	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_chuang02s.prefab	1	16	14	80	1	1		90|180				
3	江枫渔火	NormalAddRes	Chuang	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_chuang03s.prefab	1	16	14	80	1	1		90|180				
4	红鸾栖枝	NormalAddRes	Chuang	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_chuang04s.prefab	1	16	16	65	1	1		90|180				
5	金龙戏珠	NormalAddRes	Chuang	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_chuang05s.prefab	1	19	19	75	1	1		90|180				
6	罗帐飞阁	NormalAddRes	Chuang	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_chuang06.prefab	1	17	15	180	1	1		90|180				
7	有凤来仪	NormalAddRes	Chuang	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_chuang07.prefab	1	18	17	160	1	1		90|180				
501	松木橱柜	DoCmd	GuiZi	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi01_01s.prefab	1	3	6	250	1	1		90|180				
502	桦木橱柜	DoCmd	GuiZi	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi02_01s.prefab	1	3	7	250	1	1		90|180				
503	墨香橱柜	DoCmd	GuiZi	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi03_01s.prefab	1	3	7	250	1	1		90|180				
504	幻彩流光橱柜	DoCmd	GuiZi	Scenes/Meshes/sn_jiayuan/Prefabs/sn_jiayuan_guizi04_01s.prefab	1	3	7	250	1	1		90|180				
