nMapTemplateId	szMapName	nX	nY	szTrapType	szTrapName	szTrapNpcName	nIndex	nToX1	nToY1	nToX2	nToY2	nToX3	nToY3	nToX4	nToY4	nToX5	nToY5
8002	临安外城	5226	4417	ToFight	TrapToFight1		1	5449	5189	5876	4262	6082	3974	5566	4926		
8002	临安外城	5407	9988	ToFight	TrapToFight2		2	5526	9462	6243	10173	6028	9956	5270	9214		
8002	临安外城	3286	4786	ToPeace	TrapToPeace1		1	4923	4973	4995	4663	5269	4004	5511	3670		
8002	临安外城	3286	4786	ToPeace	TrapToPeace2		2	4941	9649	5124	9869	5570	10227	5755	10430		
8002	临安外城	18692	11131	ToKing	TrapToKing	临安王城											
8002	临安外城	13159	7279	ToInner	TrapToInner	临安内城	1										
8002	临安外城	14861	10191	ToInner	TrapToInner	临安内城	2										
8002	临安外城	14863	4967	ToInner	TrapToInner	临安内城	3										
8000	临安王城-营地1	2311	22801	ToOuter	yindi_Outer	临安外城	1										
8000	临安王城-营地2	13909	33752	ToOuter	yindi_Outer	临安外城	2										
8000	临安王城-营地3	22677	33732	ToOuter	yindi_Outer	临安外城	3										
8000	临安王城-营地4	33518	22848	ToOuter	yindi_Outer	临安外城	4										
8000	临安王城-营地5	33511	14091	ToOuter	yindi_Outer	临安外城	5										
8000	临安王城-营地6	22636	3078	ToOuter	yindi_Outer	临安外城	6										
8000	临安王城-营地7	13860	3027	ToOuter	yindi_Outer	临安外城	7										
8000	临安王城-营地8	2375	14025	ToOuter	yindi_Outer	临安外城	8										
8000	临安王城-营地1	5013	22912	ToFight	yindi1_out		1	5356	22888	5368	23306	5354	22475				
8000	临安王城-营地2	13888	31715	ToFight	yindi2_out		2	13480	31427	14353	31427	13910	31423				
8000	临安王城-营地3	22652	31685	ToFight	yindi3_out		3	22178	31401	22663	31391	23089	31405				
8000	临安王城-营地4	31585	22819	ToFight	yindi4_out		4	31291	23258	31280	22830	31288	22355				
8000	临安王城-营地5	31584	14082	ToFight	yindi5_out		5	31288	14467	31291	13628	31290	14056				
8000	临安王城-营地6	22652	5265	ToFight	yindi6_out		6	22271	5567	22669	5556	23076	5560				
8000	临安王城-营地7	13833	5264	ToFight	yindi7_out		7	13452	5560	13818	5557	14178	5558				
8000	临安王城-营地8	4986	14085	ToFight	yindi8_out		8	5333	14435	5341	13638	5355	14082				
8000	临安王城-营地1	2975	33550	ToPeace	yindi1_in		1	4938	23309	4925	22447	4846	22905				
8000	临安王城-营地2	2975	33550	ToPeace	yindi2_in		2	13484	31782	13898	31847	14353	31760				
8000	临安王城-营地3	2975	33550	ToPeace	yindi3_in		3	22659	31828	23031	31743	22189	31751				
8000	临安王城-营地4	2975	33550	ToPeace	yindi4_in		4	31722	22817	31639	23265	31636	22359				
8000	临安王城-营地5	2975	33550	ToPeace	yindi5_in		5	31644	14473	31719	14070	31655	13627				
8000	临安王城-营地6	2975	33550	ToPeace	yindi6_in		6	22278	5218	22649	5141	23084	5220				
8000	临安王城-营地7	2975	33550	ToPeace	yindi7_in		7	13832	5142	14192	5222	13455	5222				
8000	临安王城-营地8	2975	33550	ToPeace	yindi8_in		8	4909	14441	4836	14086	4925	13652				
8001	临安内城-营地1	5013	22912	ToFight	yindi1_out		1	5356	22888	5368	23306	5354	22475				
8001	临安内城-营地3	13833	5264	ToFight	yindi3_out		3	22178	31401	22663	31391	23089	31405				
8001	临安内城-营地5	31584	14082	ToFight	yindi5_out		5	31288	14467	31291	13628	31290	14056				
8001	临安内城-营地7	22652	31685	ToFight	yindi7_out		7	13452	5560	13818	5557	14178	5558				
8001	临安内城-营地1	2975	33550	ToPeace	yindi1_in		1	4938	23309	4925	22447	4846	22905				
8001	临安内城-营地3	2975	33550	ToPeace	yindi3_in		3	22659	31828	23031	31743	22189	31751				
8001	临安内城-营地5	2975	33550	ToPeace	yindi5_in		5	31644	14473	31719	14070	31655	13627				
8001	临安内城-营地7	2975	33550	ToPeace	yindi7_in		7	13832	5142	14192	5222	13455	5222				
