ServerId	RoleId	Count
30047	49291866	3
30024	25169717	7
30033	34613893	4
10031	32519001	5
20005	5262306	1
30042	44042093	2
10002	2097153	3
30001	1105868	3
30002	2097157	3
30008	8388640	4
10005	5270525	7
30007	7357450	10
30062	65026269	4
30049	51383579	4
30048	50344305	4
30001	1095655	12
30010	10496137	15
30065	68178107	10
30001	1056785	14
10104	109065523	2
10072	75498734	2
30011	11547864	3
20108	113248341	9
30052	54531354	2
10003	3150929	4
30092	96471737	2
30033	34607415	4
30020	20972267	3
40049	51385091	3
30006	6301925	9
30078	81794540	4
30034	35663765	2
30034	35663877	8
30002	2099339	7
30072	75518522	9
30095	99624679	4
30004	4194643	3
30003	3146926	9
40038	39846551	1
30007	7357782	9
30010	10488547	3
30079	82848651	1
30002	2111685	9
30007	7357852	4
40002	2136247	11
20001	1048694	3
20001	1107006	4
30080	83901514	3
30101	105912359	2
30067	70267086	3
20001	1107010	9
30001	1048700	3
40045	47192836	4
30001	1087577	5
30019	19926095	3
10100	104857705	4
20001	1107028	4
30065	68181628	7
10066	69217279	2
30018	18878775	2
10067	70257009	4
10001	1051803	2
30059	61867930	4
30037	38801439	4
30033	34607192	9
30077	80741295	4
30002	2128185	2
30009	9445722	4
30092	96492134	4
10015	15747440	4
20001	1060011	2
30080	83893213	6
40008	8398228	3
40042	44060370	4
30023	24129456	2
30090	94377643	4
40010	10513943	3
10001	1050825	3
30009	9450095	4
30079	82851548	5
40025	26241280	10
30005	5246804	4
30019	19931458	3
10006	6298450	8
30101	105922790	3
30008	8406722	2
10003	3147196	4
30022	23074234	2
30084	88086349	4
30006	6306691	14
30002	2128299	14
30066	69206339	3
30008	8390512	4
30021	22023039	10
10002	2097659	7
10002	2097664	4
30089	93338314	4
30001	1049859	3
30060	62914779	14
10002	2099737	3
30060	62919042	2
30073	76570332	4
10019	19928331	3
30039	40908509	4
30101	105906459	4
30001	1048863	3
40038	39852847	2
10047	49305417	2
30038	39848896	8
30008	8390922	4
30077	80753630	3
40073	76555632	2
20005	5247143	4
30054	56634546	1
20006	6294701	3
10001	1051950	4
30036	37762478	8
10018	18885378	2
30001	1061163	3
30003	3149417	7
30091	95432875	4
30027	28313450	3
30021	22032281	13
30037	38798225	2
30017	17829908	10
10050	52428902	3
30034	35664063	3
30023	24135791	3
30018	18889861	4
10001	1048912	4
30054	56639969	3
30002	2128527	12
40033	34616967	2
10004	4199781	4
10021	22032785	4
30023	24127941	7
20098	102760493	3
30036	37756048	4
30104	109062665	4
10001	1053036	3
10091	95436523	2
40036	37776907	11
30083	87044286	4
10011	11554709	3
30018	18886590	4
30015	15744987	9
40054	56625149	11
30073	76557345	2
30024	25172042	3
30046	48240814	4
30057	59780354	14
50001	1069436	4
30003	3147554	4
30002	2106144	13
30063	66065874	2
30006	6295114	3
30088	92292236	3
30035	36701810	4
30005	5255783	1
30015	15728843	4
30074	77614719	9
30059	61871947	3
10077	80757519	2
40057	59772820	10
30009	9455860	2
10059	61872187	7
30076	79706192	8
40026	27271745	3
40049	51380359	3
40058	60832929	14
10042	44055853	8
40001	1049009	13
10080	83897296	8
30046	48238119	3
10015	15733202	7
30007	7359208	3
30030	31458262	3
40025	26224613	10
30059	61869060	2
10126	132138963	3
40005	5247762	5
30001	1058242	12
30033	34612505	3
30001	1050060	3
30005	5260062	3
30077	80764670	7
30021	22034701	2
30094	98569199	3
30085	89145454	4
20005	5243742	3
30104	109053293	4
10056	58727212	3
30061	63973170	14
20007	7342972	12
30003	3149760	7
30001	1059290	7
40064	67110967	3
30067	70265876	2
40001	1049064	3
30040	41958686	4
30037	38812063	8
30093	97519264	3
30001	1056238	4
10011	11539369	8
30003	3160049	3
30006	6291471	7
30018	18892809	4
10028	29360179	3
10016	16785564	7
30079	82855488	3
30011	11547725	8
40006	6291523	2
30057	59772445	4
30073	76546294	13
40077	80740613	4
30006	6303832	8
30004	4204647	6
30080	83895714	2
30032	33555268	3
30092	96470561	3
40006	6307974	3
30035	36702355	2
20005	5244074	4
30077	80762384	7
30006	6299839	7
10001	1054256	3
40028	29369093	4
30065	68171973	3
30003	3147891	2
30050	52432679	2
30058	60821381	9
40046	48238528	3
30060	62916557	3
30004	4213001	6
30089	93326498	3
30088	92275187	2
30001	1059395	10
30068	71324195	3
40050	52433303	3
30051	53497315	3
30101	105922508	4
10006	6291790	10
30099	103811312	4
30041	43001552	3
30023	24136108	3
40001	1056346	8
30007	7343481	7
30003	3145926	13
30036	37751795	7
30023	24132137	4
30059	61866206	12
30076	79694166	8
10086	90186178	3
10003	3145945	6
10016	16779006	3
30044	46145016	4
30021	22020925	4
30037	38828580	3
40025	26219323	1
10107	112202110	2
20003	3154164	4
40035	36705075	3
30005	5260777	2
30006	6296054	3
30024	25176130	3
30012	12588119	13
30073	76570066	3
30108	113258924	2
40048	50336096	3
30024	25176302	4
30001	1062537	3
40050	52439630	11
30090	94379218	3
30052	54539021	2
10002	2098496	11
40025	26215924	2
10001	1077897	12
30001	1102451	7
30001	1084041	4
10001	1056422	11
40001	1089159	9
30013	13644137	12
30002	2112858	4
40005	5248720	3
30078	81790183	4
30058	60825285	3
30015	15739367	2
10003	3148159	2
30001	1055423	8
30076	79712259	3
30038	39862352	4
40002	2141561	4
30072	75519028	8
30001	1084091	3
30058	60818183	2
30001	1051357	4
20141	147855410	4
40048	50338816	3
30032	33569882	3
30009	9437987	3
30111	116395279	2
10031	32510566	2
30033	34613563	8
30077	80750086	4
10001	1049329	6
40001	1053425	6
30018	18888495	8
30008	8402872	14
30096	100679200	2
30007	7356419	2
30077	80764019	6
30023	24122392	3
40025	26238031	1
30038	39860337	1
30028	29364315	3
10006	6308890	3
10008	8407129	4
30086	90181593	4
10001	1049058	4
40006	6311137	4
30074	77605997	4
30035	36701797	3
30032	33567339	7
40042	44049644	3
40042	44046402	3
30075	78660697	4
30047	49283081	7
30053	55586518	2
30034	35653987	4
30001	1052445	1
30001	1105554	2
10006	6291830	3
30093	97530690	4
40030	31459759	14
30002	2123312	2
30004	4209790	3
30077	80741561	4
30073	76552422	3
30066	69222504	13
30042	44047522	3
40001	1070870	12
10006	6309023	2
30003	3151690	9
40002	2106159	4
20079	82848853	2
30006	6300845	4
30010	10486129	12
30002	2123338	14
30003	3162942	4
40002	2101128	3
30023	24135425	3
30042	44049007	4
20001	1050292	8
30017	17830757	6
40001	1048686	3
20006	6301302	4
30036	37750396	3
30003	3158634	3
30036	37764891	2
30003	3152877	3
30016	16794507	4
40037	38798181	2
20001	1050048	11
30080	83886424	3
30003	3154556	7
30009	9450996	8
30077	80741494	7
30034	35663859	3
20005	5243349	2
10001	1049912	13
10004	4197654	4
30044	46143391	4
30030	31470110	3
30003	3147649	4
30042	44056125	8
30076	79704583	14
30099	103814835	4
30007	7350115	7
30059	61874466	3
30007	7356727	3
10075	78649209	3
30003	3173225	11
40053	55577940	3
10001	1105695	2
40038	39859489	4
30007	7341991	4
30017	17842527	4
30001	1049966	3
