Item1	Item2	Item3	Item4	Item5	Award
1791|1					item|2169|1
1807|1					item|2169|1
1808|1					item|2169|1
1809|1					item|2169|1
1810|1					item|2169|1
1811|1					item|2169|1
1812|1					item|2169|1
1813|1					item|2169|1
1814|1					item|2169|1
1817|1					item|2169|1
1821|1					item|2169|1
1826|1					item|2169|1
1827|1					item|2169|1
1828|1					item|2169|1
1829|1					item|2169|1
1830|1					item|2169|1
1831|1					item|2169|1
1840|1					item|2169|1
1841|1					item|2169|1
1842|1					item|2169|1
1843|1					item|2169|1
1844|1					item|2169|1
1845|1					item|2169|1
1846|1					item|2169|1
1848|1					item|2169|1
1847|1					item|2169|1
