GROUP	X	Y
1	7411	7671
1	7768	7671
1	8114	7671
1	8403	7657
1	8652	7652
1	8681	7388
1	8686	7109
1	8691	6772
1	8676	6450
1	8686	6118
1	8471	5810
1	8232	5805
1	7948	5785
1	7665	5781
1	7269	5781
1	7211	6108
1	7191	6455
1	7186	6777
1	7191	7070
1	7206	7446
2	2897	7701
2	3161	7691
2	3512	7701
2	3874	7696
2	4348	7691
2	4382	7275
2	4377	6909
2	4382	6587
2	4406	6225
2	4382	5825
2	4011	5795
2	3610	5771
2	3288	5771
2	2907	5785
2	2872	6132
2	2872	6533
2	2868	6836
2	2877	7168
2	2912	7422
2	3122	5781
3	5090	10231
3	5481	10217
3	5794	10212
3	6297	10221
3	6541	10177
3	6532	9933
3	6536	9596
3	6551	9337
3	6546	9054
3	6527	8692
3	6502	8331
3	6185	8311
3	5774	8297
3	5462	8301
3	5022	8282
3	5012	8565
3	5017	8927
3	4998	9220
3	5012	9591
3	5007	9909
4	5051	5238
4	5437	5243
4	5813	5258
4	6195	5238
4	6551	5243
4	6541	4892
4	6541	4554
4	6541	4217
4	6507	3885
4	6517	3470
4	6238	3323
4	5980	3299
4	5686	3294
4	5369	3299
4	5027	3289
4	5002	3602
4	5012	3968
4	5017	4359
4	4993	4686
4	4998	4965
5	7255	10226
5	7621	10231
5	7953	10241
5	8315	10226
5	8613	10221
5	8667	9831
5	8686	9518
5	8681	9181
5	8686	8834
5	8696	8448
5	8471	8316
5	8154	8302
5	7802	8282
5	7499	8272
5	7167	8287
5	7147	8653
5	7157	8995
5	7181	9313
5	7176	9601
5	7162	9914
6	7206	5229
6	7533	5233
6	7851	5219
6	8163	5229
6	8554	5224
6	8632	4955
6	8657	4623
6	8676	4266
6	8662	3958
6	8667	3616
6	8686	3314
6	8329	3299
6	7963	3304
6	7587	3279
6	7216	3270
6	7152	3548
6	7162	3875
6	7157	4188
6	7176	4564
6	7152	4926
7	2902	10182
7	3219	10197
7	3552	10182
7	3942	10168
7	4358	10153
7	4377	9860
7	4397	9552
7	4411	9191
7	4411	8849
7	4406	8536
7	4402	8302
7	3967	8267
7	3620	8297
7	3283	8292
7	2926	8326
7	2858	8648
7	2882	8951
7	2877	9274
7	2897	9616
7	2892	9879
8	2887	5204
8	3156	5204
8	3537	5194
8	3879	5190
8	4157	5199
8	4411	5199
8	4406	4808
8	4392	4476
8	4397	4115
8	4402	3680
8	4372	3309
8	4094	3279
8	3669	3299
8	3297	3289
8	2892	3270
8	2882	3494
8	2858	3841
8	2872	4203
8	2853	4501
8	2868	4843
9	5149	7701
9	5628	7701
9	6102	7686
9	6497	7647
9	6512	7266
9	6532	6909
9	6532	6587
9	6537	6284
9	6532	5976
9	6238	5790
9	5965	5790
9	5603	5790
9	5227	5795
9	5007	5795
9	4993	6215
9	5017	6533
9	5017	6816
9	5037	7158
9	4998	7422
9	5418	7681
9	5374	7461
9	5222	7305
9	6160	7456
9	6307	7271
9	5178	6826
9	5178	6499
9	5183	6176
9	6380	6069
9	6380	6504
9	6366	6914
