Level	MinIntimacy	MaxIntimacy	SendPhysicalPower	AddExpP
1	1	200	5	0
2	201	400	5	0
3	401	600	5	0
4	601	800	5	0
5	801	1000	5	0
6	1001	1400	5	0
7	1401	1800	5	0
8	1801	2200	5	0
9	2201	2600	5	0
10	2601	3000	6	2
11	3001	3600	6	2
12	3601	4200	6	2
13	4201	4800	6	2
14	4801	5400	6	2
15	5401	6000	6	2
16	6001	7800	6	2
17	7801	9600	6	2
18	9601	11400	6	2
19	11401	13200	6	2
20	13201	15000	7	4
21	15001	18000	7	4
22	18001	21000	7	4
23	21001	24000	7	4
24	24001	27000	7	4
25	27001	30000	7	4
26	30001	36000	7	4
27	36001	42000	7	4
28	42001	48000	7	4
29	48001	54000	7	4
30	54001	60000	8	6
31	60001	72000	8	6
32	72001	84000	8	6
33	84001	96000	8	6
34	96001	108000	8	6
35	108001	120000	8	6
36	120001	144000	8	6
37	144001	168000	8	6
38	168001	192000	8	6
39	192001	216000	8	6
40	216001	240000	9	8
41	240001	288000	9	8
42	288001	336000	9	8
43	336001	384000	9	8
44	384001	432000	9	8
45	432001	480000	9	8
46	480001	576000	9	8
47	576001	672000	9	8
48	672001	768000	9	8
49	768001	864000	9	8
50	864001	999999999	10	10
