ClassName	X	Y
Fuben1_1_1	2384	3268
Fuben1_1_1	3164	2868
Fuben1_1_1	2985	2091
Fuben1_1_1	2059	2048
Fuben1_1_1	1726	2778
Fuben1_1_2	1980	3143
Fuben1_1_2	2910	3132
Fuben1_1_2	3135	2431
Fuben1_1_2	2477	1938
Fuben1_1_2	1776	2345
Fuben1_2_1	2353	3378
Fuben1_2_1	1863	2970
Fuben1_2_1	3080	2904
Fuben1_2_1	2178	1978
Fuben1_2_1	2888	1982
Fuben1_2_2	1565	2766
Fuben1_2_2	1594	2088
Fuben1_2_2	3272	2794
Fuben1_2_2	3210	2043
Fuben1_2_2	2521	3337
Fuben1_2_3	1941	3198
Fuben1_2_3	2998	3182
Fuben1_2_3	3043	2492
Fuben1_2_3	2394	1823
Fuben1_2_3	1635	2427
Fuben1_3_1	2374	3104
Fuben1_3_1	1814	3047
Fuben1_3_1	1516	2598
Fuben1_3_1	1827	2198
Fuben1_3_1	2345	1966
Fuben1_3_1	2741	3386
Fuben1_3_1	2831	2888
Fuben1_3_1	3264	2676
Fuben1_3_1	3088	2227
Fuben1_3_1	2790	1888
Fuben1_3_1	1986	3149
Fuben1_3_1	1945	1953
Fuben1_3_1	1712	2562
Fuben1_3_1	2125	2827
Fuben1_3_1	2092	2325
Fuben1_3_1	2884	2798
Fuben1_3_1	2851	2382
Fuben1_3_1	3198	3153
Fuben1_3_1	3333	2357
Fuben1_3_1	3002	1827
Fuben1_3_2	2385	3428
Fuben1_3_2	1525	2463
Fuben1_3_2	3386	2732
Fuben1_3_2	2848	1804
Fuben1_4_1	2198	3300
Fuben1_4_1	2831	3276
Fuben1_4_1	2978	2680
Fuben1_4_1	3280	2235
Fuben1_4_1	2802	1974
Fuben1_4_1	2284	1851
Fuben1_4_1	1582	2166
Fuben1_4_1	1757	2627
Fuben1_4_1	1827	3145
Fuben1_4_1	1892	1941
Fuben1_4_1	2002	2953
Fuben1_4_1	1994	2206
Fuben1_4_1	1639	2855
Fuben1_4_1	1643	2288
Fuben1_4_1	1892	2549
Fuben1_4_1	2847	3035
Fuben1_4_1	2827	2157
Fuben1_4_1	3259	2900
Fuben1_4_1	3268	2341
Fuben1_4_1	2921	2566
Fuben1_4_1	2018	3264
Fuben1_4_1	3006	3280
Fuben1_4_1	2047	1957
Fuben1_4_1	2957	1900
Fuben1_4_1	2459	2541
Fuben1_5_1	1823	2929
Fuben1_5_1	1818	2161
Fuben1_5_1	2141	3190
Fuben1_5_1	2712	3190
Fuben1_5_1	2990	2966
Fuben1_5_1	3015	2235
Fuben1_5_1	2655	1896
Fuben1_5_1	2174	1835
Fuben1_5_1	1500	2472
Fuben1_5_1	3292	2508
Fuben1_5_1	1990	2880
Fuben1_5_1	2002	2304
Fuben1_5_1	1659	2566
Fuben1_5_1	1757	3125
Fuben1_5_1	1810	1978
Fuben1_5_1	2933	2962
Fuben1_5_1	2917	2125
Fuben1_5_1	3068	2574
Fuben1_5_1	3194	3064
Fuben1_5_1	3345	2035
Fuben1_5_1	2447	2337
Fuben1_5_1	2051	2125
Fuben1_5_1	2761	2117
Fuben1_5_1	2108	1831
Fuben1_5_1	2733	1815
Fuben1_5_1	2419	2945
Fuben1_5_1	1880	3239
Fuben1_5_1	2945	3309
Fuben1_5_1	2080	3345
Fuben1_5_1	2610	3378
Fuben1_5_2	2385	3428
Fuben1_5_2	1525	2463
Fuben1_5_2	3386	2732
Fuben1_5_2	2848	1804
Fuben1_6_1	1823	2929
Fuben1_6_1	1818	2161
Fuben1_6_1	2141	3190
Fuben1_6_1	2712	3190
Fuben1_6_1	2990	2966
Fuben1_6_1	3015	2235
Fuben1_6_1	2655	1896
Fuben1_6_1	2174	1835
Fuben1_6_1	1500	2472
Fuben1_6_1	3292	2508
Fuben1_6_1	1990	2880
Fuben1_6_1	2002	2304
Fuben1_6_1	1659	2566
Fuben1_6_1	1757	3125
Fuben1_6_1	1810	1978
Fuben1_6_1	2933	2962
Fuben1_6_1	2917	2125
Fuben1_6_1	3068	2574
Fuben1_6_1	3194	3064
Fuben1_6_1	3345	2035
Fuben1_6_1	2447	2337
Fuben1_6_1	2051	2125
Fuben1_6_1	2761	2117
Fuben1_6_1	2108	1831
Fuben1_6_1	2733	1815
Fuben1_6_1	2419	2945
Fuben1_6_1	1880	3239
Fuben1_6_1	2945	3309
Fuben1_6_1	2080	3345
Fuben1_6_1	2610	3378
Fuben1_6_2	2451	2559
Fuben_Nuqi	2451	2559
Fuben_Baoxiang	3072	2983
