ClassName	X	Y
Mine1	4004	7204
Mine1	4307	7163
Mine1	4561	6840
Mine1	4299	6631
Mine1	4070	6365
Mine1	3931	6770
Mine1	4233	6881
Mine1	3722	7142
Mine2	2515	7058
Mine2	2625	6744
Mine2	2892	7215
Mine2	2955	6662
Mine2	3530	7183
Mine2	3264	6897
Mine2	3211	7187
Mine2	2982	6942
Mine3	2215	6411
Mine3	2455	6652
Mine3	1895	6407
Mine3	2074	6070
Mine3	2373	5998
Mine3	2499	6275
Mine3	2895	6143
Mine3	2707	6482
Mine4	2982	5256
Mine4	3053	5598
Mine4	3292	5224
Mine4	3358	5564
Mine4	3254	5837
Mine4	2641	5570
Mine4	2575	5872
Mine4	2895	5925
Mine5	3906	5854
Mine5	3830	5558
Mine5	3592	5758
Mine5	3544	5392
Mine5	3895	5329
Mine5	4115	5554
Mine5	4260	5929
Mine5	4081	6101
fire	3440	6479
