ClassName	X	Y
path1	4957	6200
path1	5153	6125
path1	5271	5904
path1	5209	5675
path1	4954	5538
path1	4712	5657
path1	4628	5887
path1	4727	6101
path1	4957	6191
path2	6261	9167
path2	6463	9060
path2	6588	8817
path2	6514	8604
path2	6262	8489
path2	6023	8597
path2	5941	8821
path2	6047	9053
path2	6263	9158
path3	7169	6119
path3	7399	6016
path3	7491	5798
path3	7415	5576
path3	7173	5459
path3	6937	5564
path3	6844	5798
path3	6965	6029
path3	7167	6116
path4	8735	7019
path4	8967	6916
path4	9048	6691
path4	8992	6502
path4	8739	6381
path4	8484	6495
path4	8423	6694
path4	8531	6927
path4	8735	7012
shibei1	3605	8608
shibei2	8164	8620
shibei3	3369	3588
shibei4	9562	4315
xunluo1_1_1	2733	10767
xunluo1_1_1	2346	10340
xunluo1_1_1	3020	10343
xunluo1_1_1	2124	9802
xunluo1_1_1	2713	9947
xunluo1_1_1	3302	9905
xunluo1_1_1	2464	10598
xunluo1_1_1	2324	9577
xunluo1_1_1	2865	10203
xunluo1_1_1	3253	9556
xunluo1_1_1	3015	9975
xunluo1_1_1	3389	10172
xunluo1_1_1	2818	9308
xunluo1_1_1	2497	9389
xunluo1_1_1	2958	9603
xunluo1_1_1	3416	9557
xunluo1_1_1	3157	9227
xunluo1_1_1	2443	9900
xunluo1_1_1	2692	10428
xunluo1_1_1	2491	10867
xunluo1_1_1	2661	9652
xunluo1_1_1	2201	10784
xunluo1_1_2	2346	10340
xunluo1_1_2	3020	10343
xunluo1_1_2	2958	9603
xunluo1_1_2	3416	9557
xunluo1_1_2	3157	9227
xunluo1_1_2	2124	9802
xunluo1_1_2	2443	9900
xunluo1_1_2	2692	10428
xunluo1_1_2	2491	10867
xunluo1_1_2	2865	10203
xunluo1_1_2	3253	9556
xunluo1_1_2	2201	10784
xunluo1_1_2	2713	9947
xunluo1_1_2	3302	9905
xunluo1_1_2	2497	9389
xunluo1_1_2	3015	9975
xunluo1_1_2	3389	10172
xunluo1_1_2	2818	9308
xunluo1_1_2	2661	9652
xunluo1_1_2	2464	10598
xunluo1_1_2	2324	9577
xunluo1_1_2	2733	10767
xunluo1_2_1	3020	10343
xunluo1_2_1	2497	9389
xunluo1_2_1	2958	9603
xunluo1_2_1	3416	9557
xunluo1_2_1	3157	9227
xunluo1_2_1	2443	9900
xunluo1_2_1	2124	9802
xunluo1_2_1	2713	9947
xunluo1_2_1	3302	9905
xunluo1_2_1	2692	10428
xunluo1_2_1	2491	10867
xunluo1_2_1	3015	9975
xunluo1_2_1	2464	10598
xunluo1_2_1	2324	9577
xunluo1_2_1	2865	10203
xunluo1_2_1	3253	9556
xunluo1_2_1	2201	10784
xunluo1_2_1	2733	10767
xunluo1_2_1	3389	10172
xunluo1_2_1	2818	9308
xunluo1_2_1	2661	9652
xunluo1_2_1	2346	10340
xunluo1_3_1	2124	9802
xunluo1_3_1	2958	9603
xunluo1_3_1	3416	9557
xunluo1_3_1	3157	9227
xunluo1_3_1	2443	9900
xunluo1_3_1	2692	10428
xunluo1_3_1	2491	10867
xunluo1_3_1	2713	9947
xunluo1_3_1	3302	9905
xunluo1_3_1	2497	9389
xunluo1_3_1	3015	9975
xunluo1_3_1	3389	10172
xunluo1_3_1	2818	9308
xunluo1_3_1	2865	10203
xunluo1_3_1	3253	9556
xunluo1_3_1	2201	10784
xunluo1_3_1	2661	9652
xunluo1_3_1	2464	10598
xunluo1_3_1	2324	9577
xunluo1_3_1	2733	10767
xunluo1_3_1	2346	10340
xunluo1_3_1	3020	10343
xunluo1_4_1	2713	9947
xunluo1_4_1	3157	9227
xunluo1_4_1	2443	9900
xunluo1_4_1	2692	10428
xunluo1_4_1	2491	10867
xunluo1_4_1	3302	9905
xunluo1_4_1	2497	9389
xunluo1_4_1	2958	9603
xunluo1_4_1	3416	9557
xunluo1_4_1	2464	10598
xunluo1_4_1	2324	9577
xunluo1_4_1	2865	10203
xunluo1_4_1	3253	9556
xunluo1_4_1	3015	9975
xunluo1_4_1	3389	10172
xunluo1_4_1	2818	9308
xunluo1_4_1	2661	9652
xunluo1_4_1	2201	10784
xunluo1_4_1	2733	10767
xunluo1_4_1	2346	10340
xunluo1_4_1	3020	10343
xunluo1_4_1	2124	9802
xunluo2_1_1	9388	9611
xunluo2_1_1	9715	9868
xunluo2_1_1	10244	9781
xunluo2_1_1	9591	10535
xunluo2_1_1	9968	10191
xunluo2_1_1	9287	10187
xunluo2_1_1	8921	9836
xunluo2_1_1	9968	9353
xunluo2_1_1	9613	9071
xunluo2_1_1	9618	10213
xunluo2_1_1	9306	10529
xunluo2_1_1	8906	10225
xunluo2_1_1	9243	9897
xunluo2_1_1	9178	9310
xunluo2_1_1	10686	10207
xunluo2_1_1	10319	10094
xunluo2_1_1	10113	10427
xunluo2_1_1	9034	9590
xunluo2_1_1	9589	9337
xunluo2_1_1	9884	9602
xunluo2_1_1	9481	9974
xunluo2_1_1	9688	9588
xunluo2_1_1	9120	10735
xunluo2_1_1	9462	10728
xunluo2_1_1	9455	10353
xunluo2_1_1	9818	10408
xunluo2_1_1	10138	9597
xunluo2_1_1	9985	9065
xunluo2_1_1	10000	9936
xunluo2_1_1	9368	9118
xunluo2_1_1	10557	9749
xunluo2_1_1	9044	10528
xunluo2_1_2	9968	10191
xunluo2_1_2	9715	9868
xunluo2_1_2	10244	9781
xunluo2_1_2	9968	9353
xunluo2_1_2	9613	9071
xunluo2_1_2	9178	9310
xunluo2_1_2	10686	10207
xunluo2_1_2	9287	10187
xunluo2_1_2	8921	9836
xunluo2_1_2	9388	9611
xunluo2_1_2	10319	10094
xunluo2_1_2	10113	10427
xunluo2_1_2	9243	9897
xunluo2_1_2	9034	9590
xunluo2_1_2	9618	10213
xunluo2_1_2	9306	10529
xunluo2_1_2	8906	10225
xunluo2_1_2	9589	9337
xunluo2_1_2	9884	9602
xunluo2_1_2	9985	9065
xunluo2_1_2	10000	9936
xunluo2_1_2	9120	10735
xunluo2_1_2	10138	9597
xunluo2_1_2	10557	9749
xunluo2_1_2	9044	10528
xunluo2_1_2	9462	10728
xunluo2_1_2	9368	9118
xunluo2_1_2	9481	9974
xunluo2_1_2	9688	9588
xunluo2_1_2	9455	10353
xunluo2_1_2	9818	10408
xunluo2_1_2	9591	10535
xunluo2_2_1	8921	9836
xunluo2_2_1	9388	9611
xunluo2_2_1	9715	9868
xunluo2_2_1	10244	9781
xunluo2_2_1	9968	9353
xunluo2_2_1	9613	9071
xunluo2_2_1	9178	9310
xunluo2_2_1	10686	10207
xunluo2_2_1	10319	10094
xunluo2_2_1	10113	10427
xunluo2_2_1	9618	10213
xunluo2_2_1	9306	10529
xunluo2_2_1	8906	10225
xunluo2_2_1	9243	9897
xunluo2_2_1	9034	9590
xunluo2_2_1	9589	9337
xunluo2_2_1	10113	10427
xunluo2_2_1	9618	10213
xunluo2_2_1	9306	10529
xunluo2_2_1	8906	10225
xunluo2_2_1	9884	9602
xunluo2_2_1	9985	9065
xunluo2_2_1	10000	9936
xunluo2_2_1	9368	9118
xunluo2_2_1	9688	9588
xunluo2_2_1	10138	9597
xunluo2_2_1	9481	9974
xunluo2_2_1	9688	9588
xunluo2_2_1	9120	10735
xunluo2_2_1	9462	10728
xunluo2_2_1	9455	10353
xunluo2_2_1	9818	10408
xunluo2_2_1	9368	9118
xunluo2_2_1	9481	9974
xunluo2_2_1	10557	9749
