ClassName	X	Y
enemy1	10168	11389
enemy2	10227	8031
enemy3	10050	4849
Gate_go1	19478	8105
Gate_go2	19475	8460
Captain_daxiong	15695	8271
Captain_erxiong	15770	5560
Captain_sanxiong	15708	11003
Longzhu_sun	15536	8278
Longzhu_moon	15536	11012
Longzhu_star	15539	5577
store_47_1	16899	6121
store_47_2	17140	6113
store_47_3	16881	5034
store_47_4	18270	5039
store_47_5	16847	7751
store_47_6	17177	7749
store_47_7	17187	8818
store_47_8	16850	8823
store_47_9	17169	10473
store_47_10	16867	10477
store_47_11	17582	5040
store_47_12	17203	5044
store_47_13	17929	5038
store_47_14	16932	11568
store_47_15	17226	11565
store_47_16	17564	11565
store_47_17	17919	11565
store_47_18	18231	11570
store_0_1	18434	5253
store_0_2	18442	7589
store_0_3	18434	9064
store_0_4	18432	11351
store_0_5	18434	11002
store_0_6	18439	10681
store_0_7	17353	9086
store_0_8	17359	10290
store_0_9	17360	7535
store_0_10	17352	6295
store_0_11	17355	6970
store_0_12	17350	7261
store_0_13	17353	9873
store_0_14	17362	9451
store_0_15	18433	9445
store_0_16	18443	9881
store_0_17	18439	10282
store_0_18	17359	6623
store_0_19	17359	6623
store_0_20	18442	6460
store_0_21	18447	6066
store_0_22	18445	5633
store_0_23	18435	7227
store_0_24	18442	6845
shibing_dh	19556	8650
erxiong_enemy	15335	11199
erxiong_enemy	15592	11238
erxiong_enemy	15800	11144
erxiong_enemy	15792	10840
erxiong_enemy	15557	10701
erxiong_enemy	15310	10786
erxiong_enemy	15320	10996
daxiong_enemy	15298	8434
daxiong_enemy	15538	8481
daxiong_enemy	15792	8437
daxiong_enemy	15783	8132
daxiong_enemy	15656	7975
daxiong_enemy	15470	7966
daxiong_enemy	15277	8138
sanxiong_enemy	15321	5715
sanxiong_enemy	15557	5749
sanxiong_enemy	15733	5705
sanxiong_enemy	15717	5435
sanxiong_enemy	15513	5314
sanxiong_enemy	15347	5396
sanxiong_enemy	15309	5517
GateR	12857	11027
GateD	12854	8273
GateL	12856	5611
soldier_pos_r	11837	10871
soldier_pos_d	11786	8058
soldier_pos_l	11682	5427
soldier_r	11876	11083
soldier_r	11686	11041
soldier_r	11575	10845
soldier_r	11653	10643
soldier_r	11891	10622
soldier_r	12102	10661
soldier_r	12135	11032
soldier_r	12081	10844
soldier_d	11424	8295
soldier_d	11767	8356
soldier_d	12069	8283
soldier_d	12061	8008
soldier_d	12008	7756
soldier_d	11775	7752
soldier_d	11462	7768
soldier_d	11439	7985
soldier_l	11310	5651
soldier_l	11694	5725
soldier_l	12014	5638
soldier_l	12010	5375
soldier_l	11971	5120
soldier_l	11682	5107
soldier_l	11314	5154
soldier_l	11271	5409
car_enemy	8827	9124
car_enemy	9102	9182
car_enemy	9439	9067
car_enemy	9360	8716
car_enemy	8762	8781
car_enemy	8891	8917
car_enemy	9100	8686
car_enemy	9337	8884
