ClassName	X	Y
guaiwu_1	1283	1682
guaiwu_1	1038	1792
guaiwu_1	1015	2100
guaiwu_1	1438	2114
guaiwu_1	1210	2334
guaiwu_1	1723	1874
guaiwu_1	2262	1849
guaiwu_1	1887	2122
guaiwu_1	1560	2370
guaiwu_1	1269	2644
guaiwu_1	1430	2929
guaiwu_1	1641	2709
guaiwu_1	1952	2427
guaiwu_1	2380	2057
guaiwu_1	2798	2077
guaiwu_1	3167	2204
guaiwu_1	2493	2540
guaiwu_1	2115	2695
guaiwu_1	1884	2949
guaiwu_1	1749	3166
guaiwu_1	2174	3287
guaiwu_1	2406	2915
guaiwu_1	2874	2802
guaiwu_1	2879	2359
guaiwu_1	2589	3270
guaiwu_2	3173	3169
