ClassName	X	Y
path1	3666	2191
path1	5716	2225
path2	3657	2004
path2	5902	2089
path3	5130	2200
path3	6274	2200
path4	5126	1941
path4	6289	1941
path5	5429	2123
path5	5729	2169
path6	6009	2325
path6	6335	2447
path7	5633	2646
path7	5763	2422
path8	5988	2128
path8	6140	1945
path9	5729	1979
path9	5885	2158
path10	6009	2603
path10	5887	2383
path11	6347	5074
path11	6124	4835
path12	6721	5282
path12	7023	5321
path13	6335	5420
path13	6086	5215
path14	6513	5603
path14	6536	4993
path15	6274	2200
path16	6289	1941
