nFubenLevel	szType	SubType	nItemId	nCount	nAwardLevel	nRate	bCritAward	bFirst	nSpecialRate	bStarAward
1			645	1	2	-1				
1			212	1	1	30000				
1			786	1	1	5000				
1			785	1	1	2500				
1	Coin			100	1	400400				
1			601	1	1	518800				
1			1022	1	1	3330				
1			1032	1	1	3330				
1			1042	1	1	3330				
1			1052	1	1	3330				
1			1062	1	1	3330				
1			1072	1	1	3330				
1			1082	1	1	3330				
1			1092	1	1	3330				
1			1102	1	1	3330				
1			1112	1	1	3330				
1			787	1	1	10000				
1			1112	1		-1				1
2	PartnerFamiliar	100		100		-1	1			
2	PStone0			1	1	240000				
2			212	1	1	22400				
2			786	1	1	3800				
2			785	1	1	1900				
2	Coin			100	1	300000				
2			601	1	1	409500				
2			1023	1	1	1500				
2			1033	1	1	1500				
2			1043	1	1	1500				
2			1053	1	1	1500				
2			1063	1	1	1500				
2			1073	1	1	1500				
2			1083	1	1	1500				
2			1093	1	1	1500				
2			1103	1	1	1500				
2			1113	1	1	1500				
2			787	1	1	7400				
2			1063	1		-1				1
