ClassName	X	Y
men1	1203	4115
men2	2935	664
men3	4086	2849
guaiwu1	1424	5197
guaiwu1	1719	5039
guaiwu1	1230	4948
guaiwu1	1554	4742
guaiwu2	1058	5164
guaiwu2	1851	4693
guaiwu2	1119	4713
guaiwu2	1452	4507
guaiwu3	1339	1357
guaiwu3	1705	1179
guaiwu3	1869	1608
guaiwu3	2063	1495
guaiwu4	1382	1205
guaiwu4	1651	1248
guaiwu4	1944	1304
guaiwu4	2184	1470
guaiwu5	3980	1505
guaiwu5	4388	1650
guaiwu5	3802	1737
guaiwu5	4283	1885
guaiwu6	3705	1509
guaiwu6	4465	1810
guaiwu6	3887	1296
guaiwu6	4548	1588
guaiwu7	4196	4349
guaiwu7	4930	4331
guaiwu7	4245	4693
guaiwu7	4870	4639
guaiwu8	4006	4554
guaiwu8	4249	4792
guaiwu8	4637	4790
guaiwu8	5035	4602
dugujian	5958	5070
zhanglinxin	5859	4906
boss	4770	5520
gourouheshang	5816	5931
path1	5370	5646
path2	5571	5486
path3	5680	5794
path4	4696	5498
