ClassName	X	Y
QingMing_1_ShiBei	4900	8700
QingMing_1_Npc1	4880	8330
QingMing_1_Npc2	4800	8850
QingMing_2_ShiBei	5400	2000
QingMing_2_Npc1	5780	1980
QingMing_2_Npc2	5200	1970
QingMing_3_ShiBei	4580	3150
QingMing_3_Npc1	4300	3400
QingMing_3_Npc2	4780	2950
QingMing_4_ShiBei	8930	9400
QingMing_4_Npc1	8380	8760
QingMing_4_Npc2	9200	9700
QingMing_5_ShiBei	4580	3150
QingMing_5_Npc1	4300	3400
QingMing_5_Npc2	4780	2950
QingMing_6_ShiBei	4010	5440
QingMing_6_Npc1	3860	5280
QingMing_6_Npc2	4500	5020
QingMing_7_ShiBei	2680	7180
QingMing_7_Npc1	2440	6810
QingMing_7_Npc2	2880	7250
QingMing_8_ShiBei	4340	6260
QingMing_8_Npc1	4400	5830
QingMing_8_Npc2	4390	6500
QingMing_9_ShiBei	2620	6240
QingMing_9_Npc1	2480	5670
QingMing_9_Npc2	2230	6340
