szNumType	1	2	3
b_1_time	120	90	999
b_2_time	120	90	999
b_3_time	120	90	999
b_4_time	120	90	999
b_5_time	120	90	999
b_6_time	120	90	999
b_7_time	120	90	999
b_8_time	120	90	999
b_9_time	120	90	999
b_10_time	120	90	999
c_1_time	120	120	90
c_2_time	120	120	90
c_3_time	120	120	90
c_4_time	120	120	90
c_5_time	120	120	90
c_6_time	120	120	90
c_7_time	120	120	90
c_8_time	120	120	90
c_9_time	120	120	90
c_10_time	120	120	90
d_1_time	150	120	120
d_2_time	150	120	120
d_3_time	150	120	120
d_4_time	150	120	120
d_5_time	150	120	120
d_6_time	150	120	120
d_7_time	150	120	120
d_8_time	150	120	120
d_9_time	150	120	120
d_10_time	150	120	120
e_1_time	180	150	120
e_2_time	180	150	120
e_3_time	180	150	120
e_4_time	180	150	120
e_5_time	180	150	120
e_6_time	180	150	120
e_7_time	180	150	120
e_8_time	180	150	120
e_9_time	180	150	120
e_10_time	180	150	120
f_1_time	999	180	150
f_2_time	999	180	150
f_3_time	999	180	150
f_4_time	999	180	150
f_5_time	999	180	150
f_6_time	999	180	150
f_7_time	999	180	150
f_8_time	999	180	150
f_9_time	999	180	150
f_10_time	999	180	150
g_time	999	999	180
b_score_win	14	12	1
c_score_win	16	14	12
d_score_win	20	16	14
e_score_win	24	20	16
f_score_win	1	24	20
g_score_win	1	1	24
b_score_lost	10	8	1
c_score_lost	12	10	8
d_score_lost	16	12	10
e_score_lost	20	16	12
f_score_lost	1	20	16
g_score_lost	1	1	20
