ClassName	X	Y
wall1	2091	6696
wall1	2085	6427
jiguan1	5371	6594
jiguan2	5371	6838
jingying1	3910	9174
jingying1	6836	9158
jingying1	3440	4473
jingying1	6268	4618
guaiwu1	3484	8982
guaiwu1	3890	8965
guaiwu1	4269	8968
guaiwu1	3460	8664
guaiwu1	3883	8667
guaiwu1	4292	8643
guaiwu1	3717	9411
guaiwu1	4100	9384
guaiwu1	3129	4717
guaiwu1	3447	4714
guaiwu1	3786	4714
guaiwu1	3073	5109
guaiwu1	3447	5109
guaiwu1	3753	5112
guaiwu1	2719	4950
guaiwu1	4015	4935
guaiwu1	6546	7931
guaiwu1	7140	7946
guaiwu1	6464	9050
guaiwu1	6461	8806
guaiwu1	6431	8507
guaiwu1	7222	9046
guaiwu1	7233	8725
guaiwu1	7196	8514
guaiwu1	5655	5290
guaiwu1	5663	4946
guaiwu1	5714	4629
guaiwu1	5733	4344
guaiwu1	6974	5286
guaiwu1	6904	4906
guaiwu1	6871	4717
guaiwu1	6808	4315
shouling1	7641	6651
guaiwu2	6313	6996
guaiwu2	6300	6747
guaiwu2	6304	6439
guaiwu2	6558	6136
guaiwu2	6911	6141
guaiwu2	7464	7006
guaiwu2	7486	6240
guaiwu2	7503	6644
xiyou	4926	6713
