ClassName	X	Y
path_xj1	2969	3377
path_xj1	5144	2824
path_xj1	7097	3534
path_xj1	7752	5699
path_xj1	7199	8077
path_xj1	4112	8114
path_xj1	2158	5478
path_xj2	7235	8003
path_xj2	4259	8160
path_xj2	2158	5681
path_xj2	2923	3479
path_xj2	5300	2806
path_xj2	7300	3571
path_xj2	7825	5810
path_xj3	3529	7739
path_xj3	2344	5593
path_xj3	3806	3004
path_xj3	6646	3179
path_xj3	7892	5741
path_xj3	7240	7857
path_xj3	5204	8196
path_xj4	7118	3667
path_xj4	7744	5836
path_xj4	7086	8011
path_xj4	4090	8212
path_xj4	2282	5661
path_xj4	3208	3474
path_xj4	5018	2790
