ClassName	X	Y
wall_1	2702	5364
wall_1	2984	5084
wall_1	3206	4861
wall_1	3483	4582
wall_1	2568	5499
wall_2	3743	4517
wall_3	3371	2526
zhiyin	2689	4865
daxue	2306	4777
lunyu	2494	4526
zhongyong	2086	4928
mengzi	3015	4394
jingshu1_1	2337	5066
jingshu1_2	2802	4451
jingshu1_3	3116	4658
jingshu1_4	2061	4576
jingshu1_5	2368	4369
jingshu1_6	2676	4275
shijing	2337	5066
shangshu	2494	4526
liji	3116	4658
yijing	2061	4576
chunqiu	2368	4369
jingshu2_1	2306	4777
jingshu2_2	2802	4451
jingshu2_3	2086	4928
jingshu2_4	3015	4394
jingshu2_5	2676	4275
li	2337	5066
yue	2306	4777
she	2494	4526
yu	2061	4576
shufa	3015	4394
shuxue	2676	4275
jingshu3_1	2802	4451
jingshu3_2	3116	4658
jingshu3_3	2086	4928
jingshu3_4	2368	4369
daxue_guai	3348	5456
lunyu_guai	3907	5311
zhongyong_guai	3637	4947
mengzi_guai	2908	5399
shijing_guai	4190	5072
shangshu_guai	3712	5192
liji_guai	3405	5135
yijing_guai	3122	5537
chunqiu_guai	3547	5392
li_guai	2915	5619
yue_guai	3229	5368
she_guai	3467	4934
yu_guai	3982	5229
shufa_guai	3832	4997
shuxue_guai	3679	5360
fantan	5104	2222
zhiyu	5342	2902
huanxiang	2195	2473
