ClassName	X	Y
chusheng	1212	2857
chusheng	1083	2509
chusheng	1484	2774
chusheng	1341	2406
qinggong1	7363	6862
qinggong2	2653	4798
jump1	6780	6828
jump1	6468	6810
jump2	1986	5161
jump2	2021	5646
jump2	2358	6395
boss1	8522	2819
boss2	8082	6944
boss3	2845	7562
xiyou	4466	3263
men1	5231	2910
men1	5226	2597
men2	7898	3826
men2	8216	3823
guaiwu1_1	2175	2189
guaiwu1_1	2673	1641
guaiwu1_2	2323	2463
guaiwu1_2	2532	2297
guaiwu1_2	2820	2160
guaiwu1_2	3015	2160
guaiwu1_2	3076	1745
guaiwu1_2	2885	1414
guaiwu1_2	2590	1269
guaiwu1_2	2244	1370
guaiwu1_2	2143	1583
guaiwu1_2	2009	1925
guaiwu2_1	4430	2941
guaiwu2_1	4457	2179
guaiwu2_2	4166	3093
guaiwu2_2	4188	2730
guaiwu2_2	4166	2457
guaiwu2_2	4175	1986
guaiwu2_2	4887	3111
guaiwu2_2	4861	2762
guaiwu2_2	4852	2345
guaiwu2_2	4838	1959
guaiwu2_2	4511	1753
guaiwu2_2	4587	3084
guaiwu3_1	6434	3075
guaiwu3_1	6448	2331
guaiwu3_2	5623	3017
guaiwu3_2	5923	2999
guaiwu3_2	6170	3008
guaiwu3_2	6703	3049
guaiwu3_2	6936	3035
guaiwu3_2	7187	3035
guaiwu3_2	5618	2470
guaiwu3_2	5928	2470
guaiwu3_2	6156	2448
guaiwu3_2	6694	2367
guaiwu3_2	7017	2376
guaiwu3_2	7205	2372
guaiwu4_1	8483	3253
guaiwu4_1	8514	2377
guaiwu4_2	7940	3391
guaiwu4_2	8411	3400
guaiwu4_2	8794	3387
guaiwu4_2	9119	3364
guaiwu4_2	8981	2977
guaiwu4_2	8967	2546
guaiwu4_2	8016	2061
guaiwu4_2	8425	2066
guaiwu4_2	8803	2075
guaiwu4_2	9128	2110
guaiwu5_1	8048	5350
guaiwu5_1	8059	4504
guaiwu5_2	7794	4847
guaiwu5_2	7777	5179
guaiwu5_2	7788	5433
guaiwu5_2	7805	4576
guaiwu5_2	7788	5660
guaiwu5_2	7810	4382
guaiwu5_2	8314	5671
guaiwu5_2	8291	5416
guaiwu5_2	8275	5151
guaiwu5_2	8280	4863
guaiwu5_2	8308	4576
guaiwu5_2	8297	4338
guaiwu6_1	7648	7065
guaiwu6_1	8450	7081
guaiwu6_2	7499	6606
guaiwu6_2	8616	6578
guaiwu6_2	8655	6821
guaiwu6_2	7499	6805
guaiwu6_2	7505	7103
guaiwu6_2	8694	7070
guaiwu6_2	8495	7336
guaiwu6_2	7660	7341
guaiwu6_2	7980	7352
guaiwu6_2	8240	7314
guaiwu7_1	5386	6782
guaiwu7_1	5533	6074
guaiwu7_2	5823	7013
guaiwu7_2	5524	6983
guaiwu7_2	5248	6949
guaiwu7_2	6059	6236
guaiwu7_2	5814	6202
guaiwu7_2	5416	5848
guaiwu7_2	5131	6492
guaiwu7_2	5047	5936
guaiwu7_2	6187	6796
guaiwu7_2	5411	6339
guaiwu8_1	3517	5478
guaiwu8_1	3466	5004
guaiwu8_2	3960	5595
guaiwu8_2	3949	4918
guaiwu8_2	3613	5641
guaiwu8_2	3634	4933
guaiwu8_2	3252	5468
guaiwu8_2	3303	4903
guaiwu8_2	2977	5412
guaiwu8_2	2982	4841
guaiwu8_2	3058	5188
guaiwu8_2	3679	5284
guaiwu9_1	2268	7489
guaiwu9_1	3274	7524
guaiwu9_2	2320	7030
guaiwu9_2	2849	6966
guaiwu9_2	3332	7128
guaiwu9_2	3483	7367
guaiwu9_2	3425	7762
guaiwu9_2	3111	7942
guaiwu9_2	2640	7971
guaiwu9_2	2291	7814
guaiwu9_2	2088	7617
guaiwu9_2	2100	7326
