ClassName	X	Y
wall_1_1	4270	7810
wall_1_1	4277	7459
wall_1_2	5151	8727
wall_1_2	5688	8720
wall_2_1	5842	13928
wall_2_1	6139	13922
wall_2_2	5803	12007
wall_2_2	6111	11993
wall_3_1	15385	10836
wall_3_1	15385	10529
wall_3_2	13734	9214
wall_3_2	14046	9214
wall_4_1	12618	5230
wall_4_1	12626	4852
wall_4_2	13674	6032
wall_4_2	14137	6017
wall_5	7055	10356
wall_5	7062	10005
wall_5	8325	10337
wall_5	8331	10027
wall_6	11519	7864
wall_6	11524	7543
wall_6	12916	7880
wall_6	12916	7544
Lv1_1	2178	8067
Lv1_1	2130	7661
Lv1_1	2102	7116
Lv1_1	2102	6591
Lv1_1	2325	6116
Lv1_1	2871	6039
Lv1_1	3465	5955
Lv1_1	3878	6437
Lv1_1	3906	7067
Lv1_1	3850	7815
Lv1_1	3360	8046
Lv1_1	3535	7479
Lv1_1	3346	6703
Lv1_1	2542	6759
Lv1_1	2612	7626
Lv1_1	2864	8074
Lv1_1	2654	6382
Lv1_1	3346	6284
Lv1_1	3941	8151
Lv1_1	2528	7878
Lv1_2	4992	16460
Lv1_2	5462	16433
Lv1_2	5946	16564
Lv1_2	6568	16543
Lv1_2	6692	16218
Lv1_2	6685	15790
Lv1_2	6264	15762
Lv1_2	6374	15355
Lv1_2	6651	15037
Lv1_2	6679	14608
Lv1_2	5967	14670
Lv1_2	5407	14567
Lv1_2	4985	14788
Lv1_2	4937	15196
Lv1_2	4868	15735
Lv1_2	5379	15631
Lv1_2	5635	15064
Lv1_2	6354	14905
Lv1_2	5842	16094
Lv1_2	5213	16004
Lv1_3	15852	11809
Lv1_3	16089	11404
Lv1_3	16700	11847
Lv1_3	16723	11488
Lv1_3	17563	11809
Lv1_3	17448	11206
Lv1_3	17639	10526
Lv1_3	17540	9885
Lv1_3	16937	9755
Lv1_3	15890	9969
Lv1_3	15776	10801
Lv1_3	15600	11313
Lv1_3	16410	9824
Lv1_3	15638	10297
Lv1_3	16203	10465
Lv1_3	17204	11572
Lv1_3	17219	10328
Lv1_3	16517	10152
Lv1_3	16303	11809
Lv1_3	16333	11076
Lv1_4	10396	5441
Lv1_4	10619	5076
Lv1_4	11081	5485
Lv1_4	11143	5130
Lv1_4	11738	5432
Lv1_4	12192	4988
Lv1_4	12343	5423
Lv1_4	11774	4925
Lv1_4	11907	4348
Lv1_4	12334	4428
Lv1_4	12236	3628
Lv1_4	11774	3877
Lv1_4	11703	3317
Lv1_4	11161	3717
Lv1_4	11116	3325
Lv1_4	10450	3370
Lv1_4	10334	4436
Lv1_4	10556	3832
Lv1_4	10254	4881
Lv1_4	10858	4205
Lv1_1_Boss	2912	7254
Lv1_2_Boss	5898	15548
Lv1_3_Boss	16698	10649
Lv1_4_Boss	11072	4570
Lv2_1	5126	11423
Lv2_1	5739	11538
Lv2_1	6343	11547
Lv2_1	4939	10978
Lv2_1	4992	10365
Lv2_1	5019	9503
Lv2_1	5641	9183
Lv2_1	6441	9316
Lv2_1	6672	10249
Lv2_1	5499	11103
Lv2_1	4761	11263
Lv2_1	4894	9903
Lv2_1	5614	9956
Lv2_1	5392	10676
Lv2_1	6210	11014
Lv2_1	6023	11254
Lv2_1	6805	11458
Lv2_1	6130	9627
Lv2_1	5534	9485
Lv2_1	6654	9707
Lv2_2	13223	8756
Lv2_2	13392	8347
Lv2_2	13827	8747
Lv2_2	13969	8374
Lv2_2	13365	7912
Lv2_2	14369	8658
Lv2_2	14049	7938
Lv2_2	14876	8676
Lv2_2	14778	8010
Lv2_2	14725	7512
Lv2_2	14752	6614
Lv2_2	14005	6534
Lv2_2	13312	6667
Lv2_2	13276	7254
Lv2_2	14041	6934
Lv2_2	14761	7032
Lv2_2	14449	8134
Lv2_2	14654	8925
Lv2_2	13783	7263
Lv2_2	14423	7245
Lv2_1_Boss	5908	10525
Lv2_2_Boss	14049	7583
Lv3	8859	10338
Lv3	9410	10374
Lv3	10512	10312
Lv3	11347	10232
Lv3	11054	9236
Lv3	11019	8205
Lv3	10983	7636
Lv3	10387	7450
Lv3	9650	7476
Lv3	9010	7494
Lv3	8725	8596
Lv3	8734	9254
Lv3	8752	9947
Lv3	8654	7974
Lv3	10974	9903
Lv3	11223	8641
Lv3	8565	7476
Lv3	11170	7272
Lv3	10654	7912
Lv3	9952	10409
Lv3_Boss	9890	8925
