ClassName	X	Y
dushui	3925	4457
dushui	3891	4187
dushui	3841	3877
dushui	3777	3518
dushui	3728	3198
dushui	3650	4624
dushui	3237	4767
dushui	3541	4290
dushui	3517	3970
dushui	3438	3685
dushui	3374	3365
dushui	3040	3543
dushui	3123	3882
dushui	3227	4182
dushui	3291	4511
dushui	3005	4737
dushui	2922	4501
dushui	2833	4177
dushui	2843	3823
dushui	2533	3946
dushui	2587	4354
dushui	2682	2165
dushui	2470	2000
dushui	2217	1812
dushui	1972	1615
dushui	1737	1822
dushui	1991	2118
dushui	2301	2339
dushui	2517	2541
dushui	2743	2705
dushui	2569	2922
dushui	2358	2767
dushui	2188	2626
dushui	1892	2447
dushui	1601	2207
dushui	1399	1977
dushui	1337	2405
dushui	1573	2635
dushui	1873	2809
dushui	2094	2978
dushui	1967	3256
dushui	1746	3114
dushui	1493	2955
dushui	2212	3476
dushui	2245	3806
dushui	2550	3716
wall	4900	4103
zhiyin1_1	2642	1744
zhiyin1_2	2876	1515
zhiyin1_3	3089	1276
zhiyin2_1	4219	4125
zhiyin2_2	4196	3809
zhiyin2_3	4126	3433
boss	4949	5759
SkillNpc	5466	5269
