Level	Layer	EquipPos	StoneId1	StoneId2	StoneId3	StoneId4	StoneId5	StoneId6	StoneId7	desc	desc2
30	1	0	1724	1724	1724					头	3个1级
30	1	1	1698	1698	1698					衣服	3个1级
30	1	2	1707	1707	1707					腰带	3个1级
30	1	5	1714	1714	1714					护腕	3个1级
30	1	4	1708	1708	1708					鞋子	3个1级
30	1	3	1720	1720	1720					武器	3个1级
30	1	8	1694	1694	1694					项链	3个1级
30	1	7	1723	1723	1723					戒指	3个1级
30	1	9	1717	1717	1717					玉佩	3个1级
30	1	6	1699	1699	1699					护身符	3个1级
30	2	0	1802	1802	1710					头	3个2级
30	2	1	1776	1776	1695					衣服	3个2级
30	2	2	1785	1785	1727					腰带	3个2级
30	2	5	1792	1792	1719					护腕	3个2级
30	2	4	1786	1786	1761					鞋子	3个2级
30	2	3	1798	1798	1760					武器	3个2级
30	2	8	1771	1771	1728					项链	3个2级
30	2	7	1801	1801	1722					戒指	3个2级
30	2	9	1795	1795	1725					玉佩	3个2级
30	2	6	1777	1777	1697					护身符	3个2级
30	3	0	1880	1880	1788					头	3个3级
30	3	1	1854	1854	1773					衣服	3个3级
30	3	2	1863	1863	1805					腰带	3个3级
30	3	5	1870	1870	1797					护腕	3个3级
30	3	4	1864	1864	1839					鞋子	3个3级
30	3	3	1876	1876	1838					武器	3个3级
30	3	8	1850	1850	1806					项链	3个3级
30	3	7	1879	1879	1800					戒指	3个3级
30	3	9	1872	1872	1803					玉佩	3个3级
30	3	6	1855	1855	1775					护身符	3个3级
40	1	0	1880	1880	1788					头	3个3级
40	1	1	1854	1854	1773					衣服	3个3级
40	1	2	1863	1863	1805					腰带	3个3级
40	1	5	1870	1870	1797					护腕	3个3级
40	1	4	1864	1864	1839					鞋子	3个3级
40	1	3	1876	1876	1838					武器	3个3级
40	1	8	1850	1850	1806					项链	3个3级
40	1	7	1879	1879	1800					戒指	3个3级
40	1	9	1872	1872	1803					玉佩	3个3级
40	1	6	1855	1855	1775					护身符	3个3级
40	2	0	1880	1880	1788					头	3个3级
40	2	1	1854	1854	1773					衣服	3个3级
40	2	2	1863	1863	1805					腰带	3个3级
40	2	5	1870	1870	1797					护腕	3个3级
40	2	4	1864	1864	1839					鞋子	3个3级
40	2	3	1876	1876	1838					武器	3个3级
40	2	8	1850	1850	1806					项链	3个3级
40	2	7	1879	1879	1800					戒指	3个3级
40	2	9	1872	1872	1803					玉佩	3个3级
40	2	6	1855	1855	1775					护身符	3个3级
40	3	0	1866	1866	1866					头	3个4级
40	3	1	1851	1851	1851					衣服	3个4级
40	3	2	1883	1883	1883					腰带	3个4级
40	3	5	1875	1875	1875					护腕	3个4级
40	3	4	1917	1917	1917					鞋子	3个4级
40	3	3	1916	1916	1916					武器	3个4级
40	3	8	1884	1884	1884					项链	3个4级
40	3	7	1878	1878	1878					戒指	3个4级
40	3	9	1881	1881	1881					玉佩	3个4级
40	3	6	1853	1853	1853					护身符	3个4级
50	1	1	1851	1851	1851					衣服	3个4级
50	1	2	1883	1883	1883					腰带	3个4级
50	1	5	1875	1875	1875					护腕	3个4级
50	1	4	1917	1917	1917					鞋子	3个4级
50	1	3	1916	1916	1916					武器	3个4级
50	1	8	1884	1884	1884					项链	3个4级
50	1	7	1878	1878	1878					戒指	3个4级
50	1	9	1881	1881	1881					玉佩	3个4级
50	1	6	1853	1853	1853					护身符	3个4级
50	2	1	1851	1851	1851					衣服	3个4级
50	2	2	1883	1883	1883					腰带	3个4级
50	2	5	1875	1875	1875					护腕	3个4级
50	2	4	1917	1917	1917					鞋子	3个4级
50	2	3	1916	1916	1916					武器	3个4级
50	2	8	1884	1884	1884					项链	3个4级
50	2	7	1878	1878	1878					戒指	3个4级
50	2	9	1881	1881	1881					玉佩	3个4级
50	2	6	1853	1853	1853					护身符	3个4级
50	3	1	1851	1851	1851	1851				衣服	3个4级
50	3	2	1883	1883	1883	1883				腰带	3个4级
50	3	5	1875	1875	1875	1875				护腕	3个4级
50	3	4	1917	1917	1917	1917				鞋子	3个4级
50	3	3	1916	1916	1916	1916				武器	3个4级
50	3	8	1884	1884	1884	1884				项链	3个4级
50	3	7	1878	1878	1878	1878				戒指	3个4级
50	3	9	1881	1881	1881	1881				玉佩	3个4级
50	3	6	1853	1853	1853	1853				护身符	3个4级
80	1	0	2533	2668	1814	1845				头	4个4级
80	1	1	2529	2825	1791	1810				衣服	4个4级
80	1	2	2535	1812	1846	1860				腰带	4个4级
80	1	5	1813	1842	1754	1755				护腕	4个4级
80	1	4	2532	2672	1844	1847				鞋子	4个4级
80	1	3	2528	1808	1827	1828				武器	4个4级
80	1	8	2531	2674	2824	1821				项链	4个4级
80	1	7	2534	1809	1840	1878				戒指	4个4级
80	1	9	2530	2673	2826	1817				玉佩	4个4级
80	1	6	1756	2536	2696	1807				护身符	4个4级
80	2	0	2533	2668	1814	1845	1866			头	5个4级
80	2	1	2529	2825	1791	1810	1867			衣服	5个4级
80	2	2	2535	1812	1846	1860	1861			腰带	5个4级
80	2	5	1813	1842	1754	1755	1757			护腕	5个4级
80	2	4	2532	2672	1844	1847	1900			鞋子	5个4级
80	2	3	2528	1808	1827	1828	1829			武器	5个4级
80	2	8	2531	2674	2824	1821	1848			项链	5个4级
80	2	7	2534	1809	1809	1840	1878			戒指	5个4级
80	2	9	2530	2673	2826	1817	1841			玉佩	5个4级
80	2	6	1756	2536	2696	1807	1811			护身符	5个4级
80	3	0	2542	2669	1892	1923	1866			头	5个5级
80	3	1	2538	2830	1869	1888	1867			衣服	5个5级
80	3	2	2544	1890	1924	1860	1861			腰带	5个5级
80	3	5	1891	1920	1832	1833	1835			护腕	5个5级
80	3	4	2541	2675	1922	1926	1900			鞋子	5个5级
80	3	3	2537	1886	1905	1906	1907			武器	5个5级
80	3	8	2540	2677	2829	1899	1925			项链	5个5级
80	3	7	2543	1887	1887	1918	1918			戒指	5个5级
80	3	9	2539	2676	2831	1895	1919			玉佩	5个5级
80	3	6	1834	2545	2697	1885	1889			护身符	5个5级
100	1	0	2533	2668	1814	1845	1866			头	5个4级
100	1	1	2529	2825	1791	1810	1867			衣服	5个4级
100	1	2	2535	1812	1846	1860	1861			腰带	5个4级
