szHelpKey	szBigTitle	nHead	nIndex	szTitle	Function	FunParam	szContent
BossHelp	武林盟主须知		1	积分获取			挑战盟主，根据对武林盟主造成的伤害换算成积分，积分比例会跟随盟主血量变化，盟主生命在[FFFE0D] 60% [-]以下获得[FFFE0D] 2倍积分 [-]，[FFFE0D] 30% [-]以下获得[FFFE0D] 3倍积分 [-]\n抢夺积分，击败[FFFE0D] 非好友 [-]和[FFFE0D] 非家族成员 [-]侠士即可抢夺[FFFE0D] 一定比例的积分 [-]。
BossHelp	武林盟主须知		2	抢分规则			每击败对方的一名[FFFE0D] 同伴 [-]获得[FFFE0D] 少量 [-]积分，击败对方[FFFE0D] 角色 [-]获得[FFFE0D] 大量 [-]积分；\n抢夺积分后双方结为仇人，被抢夺的侠士获得保护时间；\n不可挑战头衔高于自身三阶的侠士
BossHelp	武林盟主须知		3	挑战规则			挑战盟主与抢夺积分均有[FFFE0D] 3分钟 [-]的冷却时间，两者的冷却时间分别计算，进入战斗就将开始计算冷却。
BossHelp	武林盟主须知		4	家族奖励			根据[FFFE0D] 家族积分排名 [-]结算，奖励将进行家族拍卖，[FFFE0D]参与者越多 [-]奖励越多；家族积分，即本次获得，所有家族参与成员的[FFFE0D] 积分总和 [-]；\n成员奖励，根据家族最终的[FFFE0D] 总积分排名 [-]给予每名成员额外的贡献；
BossHelp	武林盟主须知		5	个人奖励			个人奖励，根据个人积分最终排名获得[FFFE0D] 贡献 [-] 奖励，排名越高贡献越多；
BossHelp	武林盟主须知		6	跨服场次时间			首次获取资格后的[FFFE0D]每周五中午12:30、晚上19:30[-]，将开启跨服武林盟主（注：未获取资格的家族照旧参加本服武林盟主）
BossHelp	武林盟主须知		7	积分获取规则			对本服武林盟主造成伤害并上榜进入排名的家族进行资格积分统计，根据伤害排名获得各家族对应的积分，排名越靠前积分越高
BossHelp	武林盟主须知		8	跨服资格获取			以[FFFE0D]每周1/2/3/4/6/日[-]的本服武林盟主的争夺结果，进行每周总积分统计后[FFFE0D]排名前5[-]的家族，可获得参与跨服武林盟主的资格
BossHelp	武林盟主须知		9	积分结算规则			资格积分[FFFE0D]每周四晚本服武林盟主结束[-]时进行结算并公布资格获取结果，资格积分每场跨服武林盟主结束后清空重置
RankHelp	武神殿须知		1	挑战规则			挑战次数，每[FFFE0D] 4小时 [-]回复1次挑战次数，最多回复到[FFFE0D] 10次[-]；\n挑战奖励，挑战将获得经验，挑战成功获得的经验值略高于挑战失败。
