Level	FightPower
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	1000
61	2000
62	4000
63	6000
64	8000
65	10000
66	20000
67	30000
68	40000
69	40000
70	50000
71	50000
72	60000
73	60000
74	80000
75	80000
76	100000
77	100000
78	120000
79	120000
80	150000
81	150000
82	150000
83	150000
84	150000
85	180000
86	180000
87	180000
88	180000
89	180000
90	220000
91	220000
92	260000
93	260000
94	300000
95	300000
96	350000
97	350000
98	400000
99	400000
100	500000
101	500000
102	650000
103	650000
104	650000
105	800000
106	800000
107	800000
108	1000000
109	1000000
110	1000000
111	1000000
112	1000000
113	1000000
114	1000000
115	1000000
116	1000000
117	1000000
118	1000000
119	1000000
120	1000000
121	1000000
122	1000000
123	1000000
124	1000000
125	1000000
126	1000000
127	1000000
128	1000000
129	1000000
130	1000000
