Level	FightPower	StLevel_1	StLevel_2	StLevel_3	StLevel_4	StQuality_1	StQuality_2	StQuality_3	StQuality_4	FP_1	FP_2	FP_3	FP_4
70	51705	4				20				51705			
71	51705	4				20				51705			
72	51705	4				20				51705			
73	51705	4				20				51705			
74	51705	4				20				51705			
75	51705	4				20				51705			
76	51705	4				20				51705			
77	51705	4				20				51705			
78	51705	4				20				51705			
79	51705	4				20				51705			
80	140424	4	4			20				51705	88719		
81	140424	4	4			20				51705	88719		
82	140424	4	4			20				51705	88719		
83	140424	4	4			20				51705	88719		
84	140424	4	4			20				51705	88719		
85	140424	4	4			20				51705	88719		
86	140424	4	4			20				51705	88719		
87	140424	4	4			20				51705	88719		
88	140424	4	4			20				51705	88719		
89	140424	4	4			20				51705	88719		
90	267767	4	4	4		20	20	20		51705	88719	127343	
91	267767	4	4	4		20	20	20		51705	88719	127343	
92	267767	4	4	4		20	20	20		51705	88719	127343	
93	267767	4	4	4		20	20	20		51705	88719	127343	
94	267767	4	4	4		20	20	20		51705	88719	127343	
95	267767	4	4	4		20	20	20		51705	88719	127343	
96	267767	4	4	4		20	20	20		51705	88719	127343	
97	267767	4	4	4		20	20	20		51705	88719	127343	
98	267767	4	4	4		20	20	20		51705	88719	127343	
99	267767	4	4	4		20	20	20		51705	88719	127343	
100	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
101	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
102	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
103	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
104	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
105	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
106	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
107	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
108	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
109	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
110	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
111	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
112	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
113	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
114	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
115	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
116	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
117	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
118	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
119	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
120	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
121	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
122	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
123	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
124	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
125	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
126	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
127	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
128	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
129	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
130	417002	4	4	4	4	20	20	20	20	51705	88719	127343	149235
