Level	FightPower	StLevel_1	StLevel_2	StLevel_3	StLevel_4	FP_1	FP_2	FP_3	FP_4
1	85000	2	2	2	3	25000	25000	25000	10000
2	85000	2	2	2	3	25000	25000	25000	10000
3	85000	2	2	2	3	25000	25000	25000	10000
4	85000	2	2	2	3	25000	25000	25000	10000
5	85000	2	2	2	3	25000	25000	25000	10000
6	85000	2	2	2	3	25000	25000	25000	10000
7	85000	2	2	2	3	25000	25000	25000	10000
8	85000	2	2	2	3	25000	25000	25000	10000
9	85000	2	2	2	3	25000	25000	25000	10000
10	85000	2	2	2	3	25000	25000	25000	10000
11	85000	2	2	2	3	25000	25000	25000	10000
12	85000	2	2	2	3	25000	25000	25000	10000
13	85000	2	2	2	3	25000	25000	25000	10000
14	85000	2	2	2	3	25000	25000	25000	10000
15	85000	2	2	2	3	25000	25000	25000	10000
16	85000	2	2	2	3	25000	25000	25000	10000
17	85000	2	2	2	3	25000	25000	25000	10000
18	85000	2	2	2	3	25000	25000	25000	10000
19	85000	2	2	2	3	25000	25000	25000	10000
20	85000	2	2	2	3	25000	25000	25000	10000
21	85000	2	2	2	3	25000	25000	25000	10000
22	85000	2	2	2	3	25000	25000	25000	10000
23	85000	2	2	2	3	25000	25000	25000	10000
24	85000	2	2	2	3	25000	25000	25000	10000
25	85000	2	2	2	3	25000	25000	25000	10000
26	85000	2	2	2	3	25000	25000	25000	10000
27	85000	2	2	2	3	25000	25000	25000	10000
28	85000	2	2	2	3	25000	25000	25000	10000
29	85000	2	2	2	3	25000	25000	25000	10000
30	85000	2	2	2	3	25000	25000	25000	10000
31	85000	2	2	2	3	25000	25000	25000	10000
32	85000	2	2	2	3	25000	25000	25000	10000
33	85000	2	2	2	3	25000	25000	25000	10000
34	85000	2	2	2	3	25000	25000	25000	10000
35	85000	2	2	2	3	25000	25000	25000	10000
36	85000	2	2	2	3	25000	25000	25000	10000
37	85000	2	2	2	3	25000	25000	25000	10000
38	85000	2	2	2	3	25000	25000	25000	10000
39	85000	2	2	2	3	25000	25000	25000	10000
