Level	FightPower
1	600
2	700
3	800
4	900
5	1000
6	1100
7	1200
8	1300
9	1400
10	1500
11	1600
12	1800
13	2000
14	2200
15	2400
16	2600
17	2800
18	3000
19	3200
20	3400
21	3600
22	3900
23	4200
24	4500
25	4800
26	5100
27	5400
28	5700
29	9000
30	9400
31	9800
32	10200
33	10600
34	11100
35	11600
36	12100
37	12600
38	13100
39	13600
40	14100
41	14600
42	15100
43	15600
44	16250
45	16900
46	17550
47	18200
48	18850
49	19500
50	20150
51	20800
52	21450
53	22100
54	22900
55	23700
56	24500
57	25300
58	26100
59	26900
60	32100
61	33100
62	34100
63	35100
64	36100
65	37100
66	38100
67	39100
68	40100
69	41300
70	42500
71	43700
72	44900
73	46100
74	47300
75	48500
76	49700
77	50900
78	52100
79	53600
80	55100
81	56600
82	58100
83	59600
84	61100
85	62600
86	64100
87	65600
88	67100
89	69100
90	71100
91	73100
92	75100
93	77100
94	79100
95	81100
96	83100
97	85100
98	87100
99	90100
100	108100
101	111100
102	114100
103	117100
104	122100
105	127100
106	132100
107	137100
108	142100
109	147100
110	152100
111	157100
112	162100
113	167100
114	172100
115	177100
116	182100
117	187100
118	192100
119	197100
120	202100
121	207100
122	212100
123	217100
124	222100
125	227100
126	232100
127	237100
128	242100
129	247100
130	252100
