Level	FightPower	StLevel_Weapon	StLevel_Armor	StLevel_Necklace	StLevel_Ring	StLevel_Pendant	StLevel_Amulet	StLevel_Helm	StLevel_Cuff	StLevel_Belt	StLevel_Boots	FP_Weapon	FP_Armor	FP_Necklace	FP_Ring	FP_Pendant	FP_Amulet	FP_Helm	FP_Cuff	FP_Belt	FP_Boots
1	500	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
2	500	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
3	500	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
4	500	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
5	500	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
6	500	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
7	500	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
8	500	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
9	500	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
10	500	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
11	500	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
12	500	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
13	500	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
14	500	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
15	500	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
16	500	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
17	500	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
18	500	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
19	500	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
20	1800	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
21	1800	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
22	3100	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
23	3100	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
24	4400	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
25	4400	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
26	5700	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
27	5700	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
28	7000	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
29	7000	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
30	8300	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
31	8300	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
32	9600	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
33	9600	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
34	10900	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
35	10900	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
36	12200	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
37	12200	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
38	13500	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
39	13500	9	9	9	9	9	9	9	9	9	9	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350
40	16200	12	9	9	9	9	9	9	9	9	9	4050	1350	1350	1350	1350	1350	1350	1350	1350	1350
41	18900	12	9	9	9	9	9	12	9	9	9	4050	1350	1350	1350	1350	1350	4050	1350	1350	1350
42	21600	12	9	12	9	9	9	12	9	9	9	4050	1350	4050	1350	1350	1350	4050	1350	1350	1350
43	24300	12	9	12	9	9	9	12	12	9	9	4050	1350	4050	1350	1350	1350	4050	4050	1350	1350
44	27000	12	9	12	12	9	9	12	12	9	9	4050	1350	4050	4050	1350	1350	4050	4050	1350	1350
45	29700	12	12	12	12	9	9	12	12	9	9	4050	4050	4050	4050	1350	1350	4050	4050	1350	1350
46	32400	12	12	12	12	12	9	12	12	9	9	4050	4050	4050	4050	4050	1350	4050	4050	1350	1350
47	35100	12	12	12	12	12	9	12	12	12	9	4050	4050	4050	4050	4050	1350	4050	4050	4050	1350
48	37800	12	12	12	12	12	12	12	12	12	9	4050	4050	4050	4050	4050	4050	4050	4050	4050	1350
49	40500	12	12	12	12	12	12	12	12	12	12	4050	4050	4050	4050	4050	4050	4050	4050	4050	4050
50	41850	16	12	12	12	12	12	12	12	12	12	5400	4050	4050	4050	4050	4050	4050	4050	4050	4050
51	43200	16	12	12	12	12	12	16	12	12	12	5400	4050	4050	4050	4050	4050	5400	4050	4050	4050
52	44550	16	12	16	12	12	12	16	12	12	12	5400	4050	5400	4050	4050	4050	5400	4050	4050	4050
53	45900	16	12	16	12	12	12	16	16	12	12	5400	4050	5400	4050	4050	4050	5400	5400	4050	4050
54	47250	16	12	16	16	12	12	16	16	12	12	5400	4050	5400	5400	4050	4050	5400	5400	4050	4050
55	48600	16	16	16	16	12	12	16	16	12	12	5400	5400	5400	5400	4050	4050	5400	5400	4050	4050
56	49950	16	16	16	16	16	12	16	16	12	12	5400	5400	5400	5400	5400	4050	5400	5400	4050	4050
57	51300	16	16	16	16	16	12	16	16	16	12	5400	5400	5400	5400	5400	4050	5400	5400	5400	4050
58	52650	16	16	16	16	16	16	16	16	16	12	5400	5400	5400	5400	5400	5400	5400	5400	5400	4050
59	54000	16	16	16	16	16	16	16	16	16	16	5400	5400	5400	5400	5400	5400	5400	5400	5400	5400
60	64600	20	16	16	16	16	16	16	16	16	16	16000	5400	5400	5400	5400	5400	5400	5400	5400	5400
61	75200	20	16	16	16	16	16	20	16	16	16	16000	5400	5400	5400	5400	5400	16000	5400	5400	5400
62	85800	20	16	20	16	16	16	20	16	16	16	16000	5400	16000	5400	5400	5400	16000	5400	5400	5400
63	96400	20	16	20	16	16	16	20	20	16	16	16000	5400	16000	5400	5400	5400	16000	16000	5400	5400
64	107000	20	16	20	20	16	16	20	20	16	16	16000	5400	16000	16000	5400	5400	16000	16000	5400	5400
65	117600	20	20	20	20	16	16	20	20	16	16	16000	16000	16000	16000	5400	5400	16000	16000	5400	5400
66	128200	20	20	20	20	20	16	20	20	16	16	16000	16000	16000	16000	16000	5400	16000	16000	5400	5400
67	138800	20	20	20	20	20	16	20	20	20	16	16000	16000	16000	16000	16000	5400	16000	16000	16000	5400
68	149400	20	20	20	20	20	20	20	20	20	16	16000	16000	16000	16000	16000	16000	16000	16000	16000	5400
69	160000	20	20	20	20	20	20	20	20	20	20	16000	16000	16000	16000	16000	16000	16000	16000	16000	16000
70	192000	25	20	20	20	20	20	20	20	20	20	20000	16000	16000	16000	16000	16000	16000	16000	16000	16000
71	224000	25	20	20	20	20	20	25	20	20	20	20000	16000	16000	16000	16000	16000	20000	16000	16000	16000
72	256000	25	20	25	20	20	20	25	20	20	20	20000	16000	20000	16000	16000	16000	20000	16000	16000	16000
73	288000	25	20	25	20	20	20	25	25	20	20	20000	16000	20000	16000	16000	16000	20000	20000	16000	16000
74	320000	25	20	25	25	20	20	25	25	20	20	20000	16000	20000	20000	16000	16000	20000	20000	16000	16000
75	352000	25	25	25	25	20	20	25	25	20	20	20000	20000	20000	20000	16000	16000	20000	20000	16000	16000
76	384000	25	25	25	25	25	20	25	25	20	20	20000	20000	20000	20000	20000	16000	20000	20000	16000	16000
77	416000	25	25	25	25	25	20	25	25	25	20	20000	20000	20000	20000	20000	16000	20000	20000	20000	16000
78	448000	25	25	25	25	25	25	25	25	25	20	20000	20000	20000	20000	20000	20000	20000	20000	20000	16000
79	480000	25	25	25	25	25	25	25	25	25	25	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000
