BaseId	SubId	DetailId	Name	Desc	Icon	IconAtlas	Stars	Level	TimeFrame	Action
1			我要变强							
1		1	装备强化	Strengthen	bq_zhuangbeiqianghua	UI/Atlas/Home/HomeScreenAtlas.prefab		12		Ui:OpenWindow('StrengthenPanel','Strengthen')
1		2	装备镶嵌	Stone	bq_zhuangbeixiangqian	UI/Atlas/Home/HomeScreenAtlas.prefab		20		Ui:OpenWindow('StrengthenPanel','Inset')
1		3	装备基础（洗练与黄金装备）	Refine	bq_zhuangbeixilian	UI/Atlas/Home/HomeScreenAtlas.prefab		6		Ui:OpenWindow('ItemBox', 'TogEquip')
1		4	坐骑	Horse	bq_Zuoqi	UI/Atlas/Home/HomeScreenAtlas2.prefab		20		Ui:OpenWindow('HorsePanel')
1		5	同伴	Partner	bq_tongbanshangzhen	UI/Atlas/Home/HomeScreenAtlas.prefab		9		Ui:OpenWindow('Partner')
1		6	门客	PartnerCard	bq_Menke	UI/Atlas/Home/HomeScreenAtlas2.prefab		90	OpenLevel109	Ui:OpenWindow('Partner', 'PartnerCardPanel')
1		7	真元	ZhenYuan	bq_zhenyuan	UI/Atlas/Home/HomeScreenAtlas.prefab		60	OpenLevel69	House:GotoOwnHouse()
1		8	经脉	JingMai	bq_jingmai	UI/Atlas/Home/HomeScreenAtlas2.prefab		70	OpenLevel79	Ui:OpenWindow('JingMaiPanel')
1		9	阵法	ZhenFa	bq_zhenfa	UI/Atlas/Home/HomeScreenAtlas2.prefab		80	OpenLevel89	Ui:OpenWindow('SkillPanel', 'PracticePanel')
1		10	秘籍	SkillBook	bq_Miji	UI/Atlas/Home/HomeScreenAtlas2.prefab		40	OpenLevel49	Ui:OpenWindow('SkillPanel', 'PublicPanel')
1		11	绝学	JueXue	bq_Juexue	UI/Atlas/Home/HomeScreenAtlas2.prefab		100	OpenDay279	Ui:OpenWindow('SkillPanel', 'LostKnowledgePanel')
1		12	技能	SkillPoint	bq_Jineng	UI/Atlas/Home/HomeScreenAtlas2.prefab		80		Ui:OpenWindow('SkillAuxiliaryPanel')
2			我要经验							
2		1	主/支线任务	完成主/支线任务有机会获得大量经验	guanqiatansuo	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	1		Ui:OpenWindow('Task',Task.TASK_TYPE_MAIN)
2		2	野外修炼	在野外挂机，开启修炼状态可得大量经验	yewaixiulian	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	24		Ui:OpenWindow('ItemBox', 'TogNormal', 1422)
2		3	家族传功	家族成员之间进行传功，可以获得大量经验	jiazuchuangong	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	5	15	OpenDay2	Ui:OpenWindow('CalendarPanel',1,15)
2		4	组队秘境	参与组队秘境，可以获得大量经验	zuduimijing	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	15		Ui:OpenWindow('TeamFubenPanel')
2		5	凌绝峰	挑战凌绝峰，可以获得大量经验	lingjuefeng	UI/Atlas/NewAtlas/Icon/ActivityIcon/ActivityIcon.prefab	4	30	OpenDay2	Ui:OpenWindow('CalendarPanel',1,10)
