nFurnitureTemplateId	Desc	nType	nLevel	nDecorationId	nIsHouse	nTimeLimit
1	松木床	1	1	1	1	
2	桦木床	1	2	2	1	
3	江枫渔火	1	3	3	1	
4	红鸾栖枝	1	4	4	1	
5	金龙戏珠	1	5	5	1	
6	罗帐飞阁	1	6	6	1	
7	有凤来仪	1	7	7	1	
501	松木橱柜	2	1	501	1	
502	桦木橱柜	2	2	502	1	
503	墨香橱柜	2	3	503	1	
504	幻彩流光橱柜	2	4	504	1	
505	紫檀鎏金橱柜	2	5	505	1	
531	墨绿镶金橱柜	2	6	531	1	
532	绛红雕金橱柜	2	7	532	1	
506	松木书架	2	1	506	1	
507	桦木书架	2	2	507	1	
508	墨香书架	2	3	508	1	
509	幻彩流光书架	2	4	509	1	
510	紫檀鎏金书架	2	5	510	1	
533	墨绿镶金书架	2	6	533	1	
534	绛红雕金书架	2	7	534	1	
511	松木博古架	2	1	511	1	
512	桦木博古架	2	2	512	1	
513	墨香博古架	2	3	513	1	
514	幻彩流光博古架	2	4	514	1	
515	紫檀鎏金博古架	2	5	515	1	
535	墨绿镶金博古架	2	6	535	1	
536	绛红雕金博古架	2	7	536	1	
516	松木杂物架	2	1	516	1	
517	桦木杂物架	2	2	517	1	
518	墨香杂物架	2	3	518	1	
519	幻彩流光杂物架	2	4	519	1	
520	紫檀鎏金杂物架	2	5	520	1	
537	墨绿镶金杂物架	2	6	537	1	
538	绛红雕金杂物架	2	7	538	1	
521	松木多宝格	2	1	521	1	
522	桦木多宝格	2	2	522	1	
523	墨香多宝格	2	3	523	1	
524	幻彩流光多宝格	2	4	524	1	
525	紫檀鎏金多宝格	2	5	525	1	
539	墨绿镶金多宝格	2	6	539	1	
540	绛红雕金多宝格	2	7	540	1	
526	松木小方柜	2	1	526	1	
527	桦木小方柜	2	2	527	1	
528	墨香小方柜	2	3	528	1	
529	幻彩流光小方柜	2	4	529	1	
530	紫檀鎏金小方柜	2	5	530	1	
541	墨绿镶金小方柜	2	6	541	1	
542	绛红雕金小方柜	2	7	542	1	
1001	松木方桌	3	1	1001	2	
1002	桦木方桌	3	2	1002	2	
1003	墨香圆桌	3	3	1003	2	
1004	幻彩流光圆桌	3	4	1004	2	
1005	紫檀鎏金圆桌	3	5	1005	2	
1031	墨绿镶金圆桌	3	6	1031	2	
1032	绛红雕金圆桌	3	7	1032	2	
1006	松木案	3	1	1006	1	
1007	桦木案	3	2	1007	1	
1008	墨香案	3	3	1008	1	
1009	幻彩流光案	3	4	1009	1	
1010	紫檀鎏金案	3	5	1010	1	
1033	墨绿镶金案	3	6	1033	1	
