szTimeFrame	nItem1	nRatio1	nItem2	nRatio2	nItem3	nRatio3	nItem4	nRatio4	nItem5	nRatio5
OpenLevel59	4296	500	4297	500						
OpenLevel79	4296	333	4297	667						
OpenDay99	4296	585	4297	264	4298	151				
OpenLevel89	4296	500	4297	300	4298	200				
OpenLevel99	4296	400	4297	360	4298	240				
OpenDay224	4296	585	4297	214	4298	126	4299	75		
OpenLevel109	4296	560	4297	204	4298	136	4299	100		
OpenLevel119	4296	530	4297	192	4298	158	4299	120		
OpenDay399	4296	600	4297	200	4298	100	4299	60	4300	40
OpenLevel159	4297	500	4298	300	4299	120	4300	60	10975	20
