Index	Name	PosX	PosY	Dir	Desc
1	center	4386	29616	1	1-1房间
2	center	9907	29965	1	1-2房间
3	center	15094	29859	1	1-3房间
4	center	19886	29935	1	1-4房间
5	center	25169	29953	1	1-5房间
6	center	30580	29944	1	1-6房间
7	center	4451	24852	1	2-1房间
8	center	9885	24988	1	2-2房间
9	center	14830	25068	1	2-3房间
10	center	20039	25052	1	2-4房间
11	center	25369	25028	1	2-5房间
12	center	30538	24884	1	2-6房间
13	center	4519	19932	1	3-1房间
14	center	9781	20046	1	3-2房间
15	center	14764	20005	1	3-3房间
16	center	20043	20061	1	3-4房间
17	center	25164	20033	1	3-5房间
18	center	30438	19865	1	3-6房间
19	center	4539	14543	1	4-1房间
20	center	9740	14596	1	4-2房间
21	center	14822	14625	1	4-3房间
22	center	20006	14588	1	4-4房间
23	center	25153	14588	1	4-5房间
24	center	30475	14625	1	4-6房间
25	center	4480	9681	1	5-1房间
26	center	9862	9796	1	5-2房间
27	center	14813	9696	1	5-3房间
28	center	19986	9710	1	5-4房间
29	center	25246	9638	1	5-5房间
30	center	30585	9796	1	5-6房间
31	center	4602	4766	1	6-1房间
32	center	9892	4608	1	6-2房间
33	center	15089	4661	1	6-3房间
34	center	20028	4725	1	6-4房间
35	center	25382	4597	1	6-5房间
36	center	30702	4679	1	6-6房间
