row	col	Index	LeftX	LeftY	RightX	RightY	TopX	TopY	BottomX	BottomY	Point1X	Point1Y	Point2X	Point2Y	Point3X	Point3Y	Point4X	Point4Y
1	1	1			7164	29970			4028	27044	3252	29484	3996	30784	5628	29916	4403	28208
1	2	2	7164	29970	12513	30043			9883	27410	8541	29991	9906	31113	11090	29839	9852	28639
1	3	3	12513	30043	17471	30036			14836	27494	13520	29977	15112	30995	16321	30013	14945	28595
1	4	4	17471	30036	22673	29927			20124	27522	18640	30020	19914	31074	21196	29786	20082	28652
1	5	5	22673	29927	27799	29981			25249	27401	23901	29926	25038	31079	26460	29936	25182	28783
1	6	6	27799	29981					30043	27382	29354	29959	30529	31085	31797	29883	30730	28670
2	1	7			7139	24933	4028	27044	4563	22363	3198	24750	4524	26098	5729	25076	4387	23556
2	2	8	7139	24933	12345	25193	9883	27410	9877	22391	8337	24968	9861	26264	11032	25197	9811	23610
2	3	9	12345	25193	17438	25028	14836	27494	14804	22391	13858	24069	13822	26050	15825	26019	15810	24096
2	4	10	17438	25028	22534	25002	20124	27522	19984	22511	19046	24042	19018	26036	21047	26024	21011	24083
2	5	11	22534	25002	28139	24777	25249	27401	25252	22392	23819	24969	25269	26245	26609	24995	25374	23853
2	6	12	28139	24777			30043	27382	30851	22396	29356	24870	30446	26259	31744	25047	30745	23887
3	1	13			7278	20023	4563	22363	4815	17023	3343	19915	4473	21128	5819	20001	4799	18604
3	2	14	7278	20023	12317	20018	9877	22391	9765	17274	8802	19008	8797	21019	10779	20974	10786	19083
3	3	15	12317	20018	17467	20010	14804	22391	14805	17243	13886	19073	13924	20882	15627	20860	15658	19143
3	4	16	17467	20010	22650	19984	19984	22511	20012	17330	19144	19079	19186	20887	20914	20900	20934	19097
3	5	17	22650	19984	27631	19820	25252	22392	25142	17243	24093	18970	24114	20949	26126	20966	26185	18995
3	6	18	27631	19820			30851	22396	30853	17351	29084	19861	30633	21060	31600	19826	30495	18613
4	1	19			7160	14581	4815	17023	4758	12063	3402	14466	4635	15750	5767	14600	4664	13278
4	2	20	7160	14581	12176	14528	9765	17274	9828	12067	8769	13597	8777	15613	10774	15594	10771	13614
4	3	21	12176	14528	17359	14527	14805	17243	14797	12062	13922	13703	13959	15445	15697	15467	15702	13768
4	4	22	17359	14527	22590	14550	20012	17330	19950	12037	19098	13703	19092	15480	20856	15459	20847	13743
4	5	23	22590	14550	27661	14611	25142	17243	25059	12064	24157	13536	24143	15492	26145	15500	26163	13547
4	6	24	27661	14611			30853	17351	30775	12345	29009	14524	30534	16088	31700	14529	30729	13453
5	1	25			7332	9736	4758	12063	4954	7025	3355	9627	4678	10731	5723	9453	4720	8333
5	2	26	7332	9736	12374	9735	9828	12067	9823	7163	8585	9865	9864	10867	11112	9752	9923	8606
5	3	27	12374	9735	17387	9590	14797	12062	14860	7081	13877	8621	13846	10635	15831	10606	15834	8626
5	4	28	17387	9590	22397	9472	19950	12037	20072	7162	18932	8606	18949	10635	20992	10610	20999	8626
5	5	29	22397	9472	27858	9566	25059	12064	25387	6991	23754	9481	25092	10897	26391	9591	25112	8254
5	6	30	27858	9566			30775	12345	31067	7163	29329	9714	30753	11030	31844	9510	30807	8601
6	1	31			7362	4691	4954	7025			3495	4745	4568	6038	5867	4716	4522	3552
6	2	32	7362	4691	12456	4700	9823	7163			8613	4692	9929	5816	11116	4497	10009	3595
6	3	33	12456	4700	17467	4995	14860	7081			13669	4688	14898	5898	16230	4869	15096	3404
6	4	34	17467	4995	22816	4584	20072	7162			18743	4785	19983	5932	21207	4699	19975	3639
6	5	35	22816	4584	28132	4584	25387	6991			23936	4639	25243	5666	26537	4562	25384	3491
6	6	36	28132	4584			31067	7163			29516	4621	30541	5917	31971	4699	30645	3517
