TemplateId	Desc	AttribType1	AttribLevel1	AttribType2	AttribLevel2	AttribType3	AttribLevel3	AttribType4	AttribLevel4	AttribType5	AttribLevel5	AttribType6	AttribLevel6
459	T1头盔（低）	vitality_v	2	energy_v	2	dexterity_v	2	lifemax_p	2	defense_v	2	state_stun_resistrate	2
460	T2头盔（低）	vitality_v	4	energy_v	4	dexterity_v	4	lifemax_p	4	defense_v	4	state_stun_resistrate	4
461	T3头盔（低）	vitality_v	6	energy_v	6	dexterity_v	6	lifemax_p	6	defense_v	6	state_stun_resistrate	6
462	T4头盔（低）	vitality_v	8	energy_v	8	dexterity_v	8	lifemax_p	8	defense_v	8	state_stun_resistrate	8
463	T5头盔（低）	vitality_v	10	energy_v	10	dexterity_v	10	lifemax_p	10	defense_v	10	state_stun_resistrate	10
464	T6头盔（低）	vitality_v	12	energy_v	12	dexterity_v	12	lifemax_p	12	defense_v	12	state_stun_resistrate	12
465	T7头盔（低）	vitality_v	14	energy_v	14	dexterity_v	14	lifemax_p	14	defense_v	14	state_stun_resistrate	14
466	T8头盔（低）	vitality_v	16	energy_v	16	dexterity_v	16	lifemax_p	16	defense_v	16	state_stun_resistrate	16
3824	T9头盔（低）	vitality_v	18	energy_v	18	dexterity_v	18	lifemax_p	18	defense_v	18	state_stun_resistrate	18
3825	T10头盔（低）	vitality_v	20	energy_v	20	dexterity_v	20	lifemax_p	20	defense_v	20	state_stun_resistrate	20
467	T1头盔（中）	vitality_v	3	energy_v	3	dexterity_v	3	lifemax_p	3	defense_v	3	state_stun_resistrate	3
468	T2头盔（中）	vitality_v	5	energy_v	5	dexterity_v	5	lifemax_p	5	defense_v	5	state_stun_resistrate	5
469	T3头盔（中）	vitality_v	7	energy_v	7	dexterity_v	7	lifemax_p	7	defense_v	7	state_stun_resistrate	7
470	T4头盔（中）	vitality_v	9	energy_v	9	dexterity_v	9	lifemax_p	9	defense_v	9	state_stun_resistrate	9
471	T5头盔（中）	vitality_v	11	energy_v	11	dexterity_v	11	lifemax_p	11	defense_v	11	state_stun_resistrate	11
472	T6头盔（中）	vitality_v	14	energy_v	12	dexterity_v	12	lifemax_p	12	defense_v	12	state_stun_resistrate	12
473	T7头盔（中）	vitality_v	15	energy_v	15	dexterity_v	15	lifemax_p	15	defense_v	15	state_stun_resistrate	15
474	T8头盔（中）	vitality_v	17	energy_v	17	dexterity_v	17	lifemax_p	17	defense_v	17	state_stun_resistrate	17
3826	T9头盔（中）	vitality_v	19	energy_v	19	dexterity_v	19	lifemax_p	19	defense_v	19	state_stun_resistrate	19
3827	T10头盔（中）	vitality_v	21	energy_v	21	dexterity_v	21	lifemax_p	21	defense_v	21	state_stun_resistrate	21
475	T1头盔（高）	vitality_v	6	energy_v	6	dexterity_v	6	lifemax_p	6	defense_v	6	state_stun_resistrate	6
476	T2头盔（高）	vitality_v	8	energy_v	8	dexterity_v	8	lifemax_p	8	defense_v	8	state_stun_resistrate	8
477	T3头盔（高）	vitality_v	10	energy_v	10	dexterity_v	10	lifemax_p	10	defense_v	10	state_stun_resistrate	10
478	T4头盔（高）	vitality_v	12	energy_v	12	dexterity_v	12	lifemax_p	12	defense_v	12	state_stun_resistrate	12
479	T5头盔（高）	vitality_v	14	energy_v	14	dexterity_v	14	lifemax_p	14	defense_v	14	state_stun_resistrate	14
480	T6头盔（高）	vitality_v	16	energy_v	16	dexterity_v	16	lifemax_p	16	defense_v	16	state_stun_resistrate	16
481	T7头盔（高）	vitality_v	18	energy_v	18	dexterity_v	18	lifemax_p	18	defense_v	18	state_stun_resistrate	18
482	T8头盔（高）	vitality_v	20	energy_v	20	dexterity_v	20	lifemax_p	20	defense_v	20	state_stun_resistrate	20
3828	T9头盔（高）	vitality_v	22	energy_v	22	dexterity_v	22	lifemax_p	22	defense_v	22	state_stun_resistrate	22
3829	T10头盔（高）	vitality_v	24	energy_v	24	dexterity_v	24	lifemax_p	24	defense_v	24	state_stun_resistrate	24
364	T1衣服（低）	vitality_v	2	dexterity_v	2	all_series_resist_v	2	weaken_deadlystrike_damage_p	2	resist_allseriesstate_rate_v	2	weaken_deadlystrike_v	2
365	T2衣服（低）	vitality_v	4	dexterity_v	4	all_series_resist_v	4	weaken_deadlystrike_damage_p	4	resist_allseriesstate_rate_v	4	weaken_deadlystrike_v	4
366	T3衣服（低）	vitality_v	6	dexterity_v	6	all_series_resist_v	6	weaken_deadlystrike_damage_p	6	resist_allseriesstate_rate_v	6	weaken_deadlystrike_v	6
367	T4衣服（低）	vitality_v	8	dexterity_v	8	all_series_resist_v	8	weaken_deadlystrike_damage_p	8	resist_allseriesstate_rate_v	8	weaken_deadlystrike_v	8
368	T5衣服（低）	vitality_v	10	dexterity_v	10	all_series_resist_v	10	weaken_deadlystrike_damage_p	10	resist_allseriesstate_rate_v	10	weaken_deadlystrike_v	10
369	T6衣服（低）	vitality_v	12	dexterity_v	12	all_series_resist_v	12	weaken_deadlystrike_damage_p	12	resist_allseriesstate_rate_v	12	weaken_deadlystrike_v	12
370	T7衣服（低）	vitality_v	14	dexterity_v	14	all_series_resist_v	14	weaken_deadlystrike_damage_p	14	resist_allseriesstate_rate_v	14	weaken_deadlystrike_v	14
371	T8衣服（低）	vitality_v	16	dexterity_v	16	all_series_resist_v	16	weaken_deadlystrike_damage_p	16	resist_allseriesstate_rate_v	16	weaken_deadlystrike_v	16
3830	T9衣服（低）	vitality_v	18	dexterity_v	18	all_series_resist_v	18	weaken_deadlystrike_damage_p	18	resist_allseriesstate_rate_v	18	weaken_deadlystrike_v	18
3831	T10衣服（低）	vitality_v	20	dexterity_v	20	all_series_resist_v	20	weaken_deadlystrike_damage_p	20	resist_allseriesstate_rate_v	20	weaken_deadlystrike_v	20
372	T1衣服（中）	vitality_v	3	dexterity_v	3	all_series_resist_v	3	weaken_deadlystrike_damage_p	3	resist_allseriesstate_rate_v	3	weaken_deadlystrike_v	3
373	T2衣服（中）	vitality_v	5	dexterity_v	5	all_series_resist_v	5	weaken_deadlystrike_damage_p	5	resist_allseriesstate_rate_v	5	weaken_deadlystrike_v	5
374	T3衣服（中）	vitality_v	7	dexterity_v	7	all_series_resist_v	7	weaken_deadlystrike_damage_p	7	resist_allseriesstate_rate_v	7	weaken_deadlystrike_v	7
375	T4衣服（中）	vitality_v	9	dexterity_v	9	all_series_resist_v	9	weaken_deadlystrike_damage_p	9	resist_allseriesstate_rate_v	9	weaken_deadlystrike_v	9
376	T5衣服（中）	vitality_v	11	dexterity_v	11	all_series_resist_v	11	weaken_deadlystrike_damage_p	11	resist_allseriesstate_rate_v	11	weaken_deadlystrike_v	11
377	T6衣服（中）	vitality_v	14	dexterity_v	12	all_series_resist_v	12	weaken_deadlystrike_damage_p	12	resist_allseriesstate_rate_v	12	weaken_deadlystrike_v	12
378	T7衣服（中）	vitality_v	15	dexterity_v	15	all_series_resist_v	15	weaken_deadlystrike_damage_p	15	resist_allseriesstate_rate_v	15	weaken_deadlystrike_v	15
379	T8衣服（中）	vitality_v	17	dexterity_v	17	all_series_resist_v	17	weaken_deadlystrike_damage_p	17	resist_allseriesstate_rate_v	17	weaken_deadlystrike_v	17
3832	T9衣服（中）	vitality_v	19	dexterity_v	19	all_series_resist_v	19	weaken_deadlystrike_damage_p	19	resist_allseriesstate_rate_v	19	weaken_deadlystrike_v	19
3833	T10衣服（中）	vitality_v	21	dexterity_v	21	all_series_resist_v	21	weaken_deadlystrike_damage_p	21	resist_allseriesstate_rate_v	21	weaken_deadlystrike_v	21
