TemplateId	Name	Kind	ShowType	ItemType	DetailType	Level	RequireLevel	RealLevel	Icon	BigIcon	ObjID	Intro	Price	Quality	ItemValue	Sellable	ClassName	ResEffect	FightPower	Attrib1Type	Attrib1Value1	Attrib1Value2	Attrib1Value3	Attrib2Type	Attrib2Value1	Attrib2Value2	Attrib2Value3	Attrib3Type	Attrib3Value1	Attrib3Value2	Attrib3Value3	Attrib4Type	Attrib4Value1	Attrib4Value2	Attrib4Value3	Attrib5Type	Attrib5Value1	Attrib5Value2	Attrib5Value3	Attrib6Type	Attrib6Value1	Attrib6Value2	Attrib6Value3	Attrib7Type	Attrib7Value1	Attrib7Value2	Attrib7Value3	Attrib8Type	Attrib8Value1	Attrib8Value2	Attrib8Value3	Attrib9Type	Attrib9Value1	Attrib9Value2	Attrib9Value3	Attrib10Type	Attrib10Value1	Attrib10Value2	Attrib10Value3	HoleCount	InsetLevel
71	T1护腕	T1_Cuff_Q1	7101	9	1	1	1	1					5000	1	5000	1	equip		0	attackrate_v	120																																								
72	T2护腕	T2_Cuff_Q1	7102	9	1	2	26	3					10000	2	10000	1	equip		0	attackrate_v	160																																							1	2
73	T3护腕	T3_Cuff_Q1	7103	9	1	3	43	6					20000	3	20000	1	equip		0	attackrate_v	200																																							2	3
74	T4护腕	T4_Cuff_Q1	7104	9	1	4	53	9					40000	4	40000	1	equip		0	attackrate_v	300																																							3	4
75	T5护腕	T5_Cuff_Q1	7105	9	1	5	63	12					80000	5	80000	1	equip		0	attackrate_v	400																																							4	4
76	T6护腕	T6_Cuff_Q1	7106	9	1	6	73	15					160000	6	160000	1	equip		0	attackrate_v	500																																							4	5
77	T7护腕	T7_Cuff_Q1	7107	9	1	7	83	18					320000	7	320000	1	equip		0	attackrate_v	600																																							4	5
78	T8护腕	T8_Cuff_Q1	7108	9	1	8	93	21					450000	7	450000	1	equip		0	attackrate_v	700																																							5	5
79	T9护腕	T9_Cuff_Q1	7109	9	1	9	103	24					600000	7	600000	1	equip		0	attackrate_v	800																																							6	6
80	T10护腕	T10_Cuff_Q1	7110	9	1	10	113	27					800000	7	800000	1	equip		0	attackrate_v	900																																							7	6
4971	T11护腕	T11_Cuff_Q1	7111	9	1	11	123	30					1000000	7	1000000	1	equip		0	attackrate_v	1000																																							7	7
4972	T12护腕	T12_Cuff_Q1	7112	9	1	12	133	33					1200000	7	1200000	1	equip		0	attackrate_v	1100																																							7	7
4973	T13护腕	T13_Cuff_Q1	7113	9	1	13	143	36					1350000	7	1350000	1	equip		0	attackrate_v	1210																																							7	7
4974	T14护腕	T14_Cuff_Q1	7114	9	1	14	153	39					1480000	7	1480000	1	equip		0	attackrate_v	1331																																							7	7
