EquipItem	WaiYiItem	Cost	TimeOut	Desc
61	2570	150000		T1衣服
62	2571	150000		T2衣服
63	2572	150000		T3衣服
64	2573	150000		T4衣服
65	2574	150000		T5衣服
66	2575	150000		T6衣服
67	2576	150000		T7衣服
68	2577	150000		T8衣服
69	2578	150000		T9衣服
70	2579	150000		T10衣服
4961	5269	150000		T11衣服
4962	5273	150000		T12衣服
4963	5277	150000		T13衣服
4964	5281	150000		T14衣服
4965	5285	150000		T15衣服
4966	5289	150000		T16衣服
4967	5293	150000		T17衣服
4968	5297	150000		T18衣服
161	2570	150000		T1【稀有】衣服
162	2571	150000		T2【稀有】衣服
163	2572	150000		T3【稀有】衣服
164	2573	150000		T4【稀有】衣服
165	2574	150000		T5【稀有】衣服
166	2575	150000		T6【稀有】衣服
167	2576	150000		T7【稀有】衣服
168	2577	150000		T8【稀有】衣服
169	2578	150000		T9【稀有】衣服
170	2579	150000		T10【稀有】衣服
5061	5269	150000		T11【稀有】衣服
5062	5273	150000		T12【稀有】衣服
5063	5277	150000		T13【稀有】衣服
5064	5281	150000		T14【稀有】衣服
5065	5285	150000		T15【稀有】衣服
5066	5289	150000		T16【稀有】衣服
5067	5293	150000		T17【稀有】衣服
5068	5297	150000		T18【稀有】衣服
1570	2570	150000		T1【传承】衣服
1571	2571	150000		T2【传承】衣服
1572	2572	150000		T3【传承】衣服
1573	2573	150000		T4【传承】衣服
1574	2574	150000		T5【传承】衣服
1575	2575	150000		T6【传承】衣服
1576	2576	150000		T7【传承】衣服
1577	2577	150000		T8【传承】衣服
3611	2578	150000		T9【传承】衣服
3612	2579	150000		T10【传承】衣服
5161	5269	150000		T11【传承】衣服
5162	5273	150000		T12【传承】衣服
5163	5277	150000		T13【传承】衣服
5164	5281	150000		T14【传承】衣服
5165	5285	150000		T15【传承】衣服
5166	5289	150000		T16【传承】衣服
5167	5293	150000		T17【传承】衣服
5168	5297	150000		T18【传承】衣服
1252	2570	150000		T1衣服（定制）
1529	2570	150000		T1衣服（定制）
2667	2512			T1外装
2681	2516		604800	T1外装，首充赠送
2700	2580			新手装
2706	2702			T2外装
3310	3259			T3外装
3311	3263			T4外装
3864	6288			T5外装
3870	6288			港服-T5时装(黑帮)·颜色1
3871	6289			港服-T5时装(黑帮)·颜色2
3872	6290			港服-T5时装(黑帮)·颜色3
3873	6291			港服-T5时装(黑帮)·颜色4
6873	6288			T5时装全门派（黑帮）
6344	6288			T5时装天王（黑帮）
6345	6288			T5时装峨眉（黑帮）
6346	6288			T5时装桃花（黑帮）
6347	6288			T5时装逍遥（黑帮）
6348	6288			T5时装武当（黑帮）
6349	6288			T5时装天忍（黑帮）
6350	6288			T5时装少林（黑帮）
6351	6288			T5时装翠烟（黑帮）
6352	6288			T5时装唐门（黑帮）
6353	6288			T5时装昆仑（黑帮）
6354	6288			T5时装丐帮（黑帮）
6355	6288			T5时装五毒（黑帮）
6356	6288			T5时装藏剑（黑帮）
6357	6288			T5时装长歌（黑帮）
4508	4243			T6外装天王·华贵
4509	4243			T6外装峨眉·华贵
4510	4243			T6外装桃花·华贵
4511	4243			T6外装逍遥·华贵
4512	4243			T6外装武当·华贵
4513	4243			T6外装天忍·华贵
4514	4243			T6外装少林·华贵
4515	4243			T6外装翠烟·华贵
