ShowType	Name	GroupName	Faction	Sex	ResId	EffectResId	IconId	BigIconId	Desc	Desc2
21	【星玥】万象更新	All_m	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21	1			4803	4803		
21	【星玥】如颖随行	All_f	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21	2			4804	4804		
22	丝路流纱衣服染色谱	m2	1|7|10|11|16	1			66942	66942		
22	丝路流纱衣服染色谱	f2	2|4|5|6|8|10|14|15|17|18|20|21	2			66944	66944		
22	丝路流纱衣服染色谱	f1	1|3|11|12|16|19	2			66943	66943		
22	丝路流纱衣服染色谱	m1	4|5|6|9|13|15|17|18|19|20|21	1			66941	66941		
23	丝路流纱头饰染色谱	m2	1|7|10|11|16	1			66946	66946		
23	丝路流纱头饰染色谱	f2	2|4|5|6|8|10|14|15|17|18|20|21	2			66948	66948		
23	丝路流纱头饰染色谱	f1	1|3|11|12|16|19	2			66947	66947		
23	丝路流纱头饰染色谱	m1	4|5|6|9|13|15|17|18|19|20|21	1			66945	66945		
24	【傲血丹青】外装宝箱	m2	1|7|10|11|16	1			3696	3696		
24	【青灯曳影】外装宝箱	f2	2|4|5|6|8|10|14|15|17|18|20|21	2			3696	3696		
24	【青玉云歌】外装宝箱	f1	1|3|11|12|16|19	2			3696	3696		
24	【千叶森罗】外装宝箱	m1	4|5|6|9|13|15|17|18|19|20|21	1			3696	3696		
25	【铁血龙胆】外装宝箱	m2	1|7|10|11|16	1			3696	3696		
25	【牡丹望月】外装宝箱	f2	2|4|5|6|8|10|14|15|17|18|20|21	2			3696	3696		
25	【樱落长空】外装宝箱	f1	1|3|11|12|16|19	2			3696	3696		
25	【君子如风】外装宝箱	m1	4|5|6|9|13|15|17|18|19|20|21	1			3696	3696		
26	【八方云动】外装宝箱	m2	1|7|10|11|16	1			3696	3696		
26	【傲寒诉雪】外装宝箱	f2	2|4|5|6|8|10|14|15|17|18|20|21	2			3696	3696		
26	【墨芷幽兰】外装宝箱	f1	1|3|11|12|16|19	2			3696	3696		
26	【白玉琅环】外装宝箱	m1	4|5|6|9|13|15|17|18|19|20|21	1			3696	3696		
27	【玄甲铁骑】外装宝箱	m2	1|7|10|11|16	1			3696	3696		
27	【雨落尘殇】外装宝箱	f2	2|4|5|6|8|10|14|15|17|18|20|21	2			3696	3696		
27	【伽蓝听雨】外装宝箱	f1	1|3|11|12|16|19	2			3696	3696		
27	【墨语无尘】外装宝箱	m1	4|5|6|9|13|15|17|18|19|20|21	1			3696	3696		
28	【狂客】外装宝箱	m2	1|7|10|11|16	1			3696	3696		
28	【狷者】外装宝箱	f2	2|4|5|6|8|10|14|15|17|18|20|21	2			3696	3696		
28	【魅灵】外装宝箱	f1	1|3|11|12|16|19	2			3696	3696		
28	【邪侠】外装宝箱	m1	4|5|6|9|13|15|17|18|19|20|21	1			3696	3696		
29	【青竹觅影】外装宝箱	m2	1|7|10|11|16	1			3696	3696		
29	【落花映雪】外装宝箱	f2	2|4|5|6|8|10|14|15|17|18|20|21	2			3696	3696		
29	【落花映雪】外装宝箱	f1	1|3|11|12|16|19	2			3696	3696		
29	【青竹觅影】外装宝箱	m1	4|5|6|9|13|15|17|18|19|20|21	1			3696	3696		
30	【浮光·梦羽】外装宝箱	m2	1|7|10|11|16	1			3696	3696		
30	【浮光·梦蝶】外装宝箱	f2	2|4|5|6|8|10|14|15|17|18|20|21	2			3696	3696		
30	【浮光·梦蝶】外装宝箱	f1	1|3|11|12|16|19	2			3696	3696		
30	【浮光·梦羽】外装宝箱	m1	4|5|6|9|13|15|17|18|19|20|21	1			3696	3696		
31	【风动·苍澜】外装宝箱	m2	1|7|10|11|16	1			3696	3696		
31	【萤舞·花间】外装宝箱	f2	2|4|5|6|8|10|14|15|17|18|20|21	2			3696	3696		
31	【萤舞·花间】外装宝箱	f1	1|3|11|12|16|19	2			3696	3696		
31	【风动·苍澜】外装宝箱	m1	4|5|6|9|13|15|17|18|19|20|21	1			3696	3696		
32	【苍澜】外装宝箱	m2	1|7|10|11|16	1			3696	3696		
32	【花间】外装宝箱	f2	2|4|5|6|8|10|14|15|17|18|20|21	2			3696	3696		
32	【花间】外装宝箱	f1	1|3|11|12|16|19	2			3696	3696		
32	【苍澜】外装宝箱	m1	4|5|6|9|13|15|17|18|19|20|21	1			3696	3696		
33	丝路流纱·流幻金染色谱	m2	1|7|10|11|16	1			66950	66950		
33	丝路流纱·流幻金染色谱	f2	2|4|5|6|8|10|14|15|17|18|20|21	2			66952	66952		
33	丝路流纱·流幻金染色谱	f1	1|3|11|12|16|19	2			66951	66951		
33	丝路流纱·流幻金染色谱	m1	4|5|6|9|13|15|17|18|19|20|21	1			66949	66949		
34	丝路流纱·流幻金染色谱	m2	1|7|10|11|16	1			66954	66954		
34	丝路流纱·流幻金染色谱	f2	2|4|5|6|8|10|14|15|17|18|20|21	2			66956	66956		
34	丝路流纱·流幻金染色谱	f1	1|3|11|12|16|19	2			66955	66955		
34	丝路流纱·流幻金染色谱	m1	4|5|6|9|13|15|17|18|19|20|21	1			66953	66953		
35	风华绝代·浮影金染色谱	m2	1|7|10|11|16	1			66958	66958		
35	风华绝代·水墨白染色谱	f2	2|4|5|6|8|10|14|15|17|18|20|21	2			66960	66960		
35	风华绝代·水墨白染色谱	f1	1|3|11|12|16|19	2			66959	66959		
35	风华绝代·浮影金染色谱	m1	4|5|6|9|13|15|17|18|19|20|21	1			66957	66957		
36	风华绝代·浮影金染色谱	m2	1|7|10|11|16	1			66962	66962		
36	风华绝代·水墨白染色谱	f2	2|4|5|6|8|10|14|15|17|18|20|21	2			66964	66964		
36	风华绝代·水墨白染色谱	f1	1|3|11|12|16|19	2			66963	66963		
36	风华绝代·浮影金染色谱	m1	4|5|6|9|13|15|17|18|19|20|21	1			66961	66961		
101	照夜玉狮子	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		1		1036	1036		
102	枣红马	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		2		1033	1033		
103	乌云踏雪	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		3		1034	1034		
104	逐日	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		4		1035	1035		
105	绝影	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		5		1037	1037		
106	追星逐日	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		6		1038	1038		
107	里飞沙	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		7		1039	1039		
108	寒霜	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		8		3364	3364		
109	寒霜倩影	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		9		3365	3365		
110	小黑	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		10		3366	3366		
111	白羽	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		11		3367	3367		
112	万里烟云照	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		12		3598	3598		
113	圣蹄	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		13		4045	4045		
114	追风呼雷豹	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		14		4046	4046		
115	龙马	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		15		4050	4050		
116	赛龙黑鬃驹	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		16		4051	4051		
117	抱月拥星驹	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		17		4583	4583		
118	紫幽灵鹿	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		18		4865	4865		
119	云魅灵鹿	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		19		4866	4866		
120	星芒·云魅灵鹿	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		20		4868	4868		
121	奔宵	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		21		1036	1036		
122	红骊	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		22		1040	1040		
123	绿踪	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		23		1041	1041		
124	乌骓	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		24		1042	1042		
125	白玉霜羽驹	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		25		4859	4859		
126	流星赶月驹	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		26		5359	5359		
127	福瑞灵鹿	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		27		7154	7154		
128	宝蓝	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		28		7152	7152		
129	炽影	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		29		7153	7153		
130	血瞳·月绝	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		30		7535	7535		
131	螭魅雪狐	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		31		7712	7712		
132	幽炎·螭魅雪狐	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		32		7713	7713		
133	血瞳·啸霜	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		33		8252	8252		
134	血瞳·荒尘	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		34		8253	8253		
135	血瞳·清穹	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		35		8273	8273		
136	众星攒月驹	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		36		8369	8369		
137	汉月碎银	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		37		9598	9598		
138	150级马	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		38		9823	9823		
139	150级城主马	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		39		9824	9824		
140	踢金·蓝湛灵鹿	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		40		40005	40005		
141	炽羽灼心	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		41		10258	10258		
142	凛冬咆哮	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		42		50054	50054		
143	踢金毛犀	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		43		50055	50055		
144	凛冬咆哮	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		44		50054	50054		
145	粉黛掠影	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		45		50064	50064		
146	粉黛掠影	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		46		50066	50066		
147	粉黛掠影	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		47		50065	50065		
148	雷霆怒吼	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		48		50142	50142		
149	冰魂雪魄	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		49		50143	50143		
150	追风	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		50		50167	50167		
151	追风	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		51		50167	50167		
152	昆仑玄影	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		52		50168	50168		
153	昆仑玄影	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		53		50168	50168		
154	幽魂·踏霜	All	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21		54		50173	50173		
201	天王帮信物	tw	1				2424	2424		
201	峨眉派信物	em	2				2425	2425		
201	桃花岛信物	th	3				2427	2427		
201	逍遥派信物	xy	4				2426	2426		
201	武当派信物	wd	5				2428	2428		
201	天忍教信物	tr	6				2429	2429		
201	少林寺信物	sl	7				2430	2430		
201	翠烟派信物	cy	8				2431	2431		
201	唐门信物	tm	9				2432	2432		
201	昆仑派信物	kl	10				2433	2433		
201	丐帮信物	gb	11				3775	3775		
201	五毒教信物	wdu	12				3776	3776		
201	藏剑山庄信物	cj	13				3779	3779		
201	长歌门信物	cg	14				3780	3780		
201	天山派信物	ts	15				3781	3781		
201	霸刀山庄信物	bd	16				3782	3782		
201	华山派信物	hs	17				3783	3783		
201	明教信物	mj	18				3784	3784		
201	段氏信物	ds	19				3785	3785		
201	万花谷信物	wh	20				3786	3786		
201	杨门信物	ym	21				3794	3794		
301	傲血丹青·薄荷绿	m2	1|7|10|11|16	1	7001		11001	11001		
301	青灯曳影·薄荷绿	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	9001		11011	11011		
301	青玉云歌·薄荷绿	f1	1|3|11|12|16|19	2	8001		11021	11021		
301	千叶森罗·薄荷绿	m1	4|5|6|9|13|15|17|18|19|20|21	1	6001		11031	11031		
302	傲血丹青·赤阳红	m2	1|7|10|11|16	1	7002		11002	11002		
302	青灯曳影·熏香紫	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	9002		11012	11012		
302	青玉云歌·绽放橙	f1	1|3|11|12|16|19	2	8002		11022	11022		
302	千叶森罗·海洋蓝	m1	4|5|6|9|13|15|17|18|19|20|21	1	6002		11032	11032		
303	傲血丹青·妖姬蓝	m2	1|7|10|11|16	1	7003		11003	11003		
303	青灯曳影·蝴蝶蓝	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	9003		11013	11013		
303	青玉云歌·玫瑰粉	f1	1|3|11|12|16|19	2	8003		11023	11023		
303	千叶森罗·香墨黑	m1	4|5|6|9|13|15|17|18|19|20|21	1	6003		11033	11033		
304	傲血丹青·香墨黑	m2	1|7|10|11|16	1	7004		11004	11004		
304	青灯曳影·香墨黑	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	9004		11014	11014		
304	青玉云歌·赤阳红	f1	1|3|11|12|16|19	2	8004		11024	11024		
304	千叶森罗·杏笺黄	m1	4|5|6|9|13|15|17|18|19|20|21	1	6004		11034	11034		
305	傲血丹青	m2	1|7|10|11|16	1	7001		11001	11001		
305	青灯曳影	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	9001		11011	11011		
305	青玉云歌	f1	1|3|11|12|16|19	2	8001		11021	11021		
305	千叶森罗	m1	4|5|6|9|13|15|17|18|19|20|21	1	6001		11031	11031		
306	天王6	m2	1|7|10|11|16	1	306		11006	11006		
306	峨眉6	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	316		11016	11016		
306	桃花6	f1	1|3|11|12|16|19	2	326		11026	11026		
306	逍遥6	m1	4|5|6|9|13|15|17|18|19|20|21	1	336		11036	11036		
307	铁血龙胆·落雪白	m2	1|7|10|11|16	1	7005		11005	11005		
307	牡丹望月·百合粉	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	9005		11015	11015		
307	樱落长空·薄荷绿	f1	1|3|11|12|16|19	2	8005		11025	11025		
307	君子如风·蝴蝶蓝	m1	4|5|6|9|13|15|17|18|19|20|21	1	6005		11035	11035		
308	铁血龙胆·赤阳红	m2	1|7|10|11|16	1	7006		11006	11006		
308	牡丹望月·妖姬蓝	f2	2|4|5|6|8|10|14|15|17|18|20|21	2	9006		11016	11016		
