SrcItem	TarItem	CosumeItem1	ConsumeCount1	CosumeItem2	ConsumeCount2	CosumeItem3	ConsumeCount3	CosumeItemBAK1	ConsumeCountBAK1	CosumeItemBAK2	ConsumeCountBAK2	TimeFrame	DESC
2794	2764	2804	120										T6黄金武器
2795	2782	2804	72										T6黄金衣服
2796	2779	2804	24										T6黄金帽子
2797	2788	2804	24										T6黄金腰带
2798	2785	2804	24										T6黄金护腕
2799	2791	2804	24										T6黄金鞋子
2800	2767	2804	48										T6黄金项链
2801	2770	2804	48										T6黄金戒指
2802	2773	2804	48										T6黄金玉佩
2803	2776	2804	48										T6黄金护身符
2400	3012	2527	120									OpenLevel79	乌云踏雪==>绝影
3012	3598	2527	180									OpenLevel99	绝影==>万里烟云照
3598	4046	2527	240									OpenLevel99	万里烟云照==>追风呼雷豹
4046	4051	2527	300									OpenLevel139	130级坐骑
3415	3416	3461	8										2阶缰绳
3417	3418	3468	8										2阶马鞍
3419	3420	3475	8										2阶脚蹬
3416	3445	3462	16										3阶缰绳
3418	3450	3469	16										3阶马鞍
3420	3455	3476	16										3阶脚蹬
3445	3446	3462	20					3445	1			OpenLevel109	4阶缰绳
3450	3451	3469	20					3450	1			OpenLevel109	4阶马鞍
3455	3456	3476	20					3455	1			OpenLevel109	4阶脚蹬
3446	3447	3462	30									OpenLevel129	5阶缰绳
3451	3452	3469	30									OpenLevel129	5阶马鞍
3456	3457	3476	30									OpenLevel129	5阶脚蹬
3447	3448	3462	30									OpenLevel149	6阶缰绳
3452	3453	3469	30									OpenLevel149	6阶马鞍
3457	3458	3476	30									OpenLevel149	6阶脚蹬
3448	3449	3462	30									OpenLevel169	7阶缰绳
3449	11068	3462	30									OpenLevel189	8阶缰绳
3453	3454	3469	30									OpenLevel169	7阶马鞍
3454	11071	3469	30									OpenLevel189	8阶马鞍
3458	3459	3476	30									OpenLevel169	7阶脚蹬
3459	11074	3476	30									OpenLevel189	8阶脚蹬
10004	10016	10014	30										T10白金武器
10005	10104	10014	18										T10白金衣服
10006	10060	10014	6										T10白金帽子
10007	10093	10014	6										T10白金腰带
10008	10071	10014	6										T10白金护腕
10009	10082	10014	6										T10白金鞋子
10010	10049	10014	12										T10白金项链
10011	10027	10014	12										T10白金戒指
10012	10038	10014	12										T10白金玉佩
10013	10115	10014	12										T10白金护身符
4046	4859	2804	40	995388	60							OpenLevel99	追风呼雷豹==>龙鳞凤羽
4051	4859	2527	360									OpenLevel159	150级坐骑
4859	5359	2804	60	995388	80							OpenLevel99	龙鳞凤羽==>大天使之驹
5359	7152	2804	80	995388	100							OpenLevel99	大天使之驹==>宝蓝
7152	999000	2804	100	995388	120							OpenLevel99	宝蓝==>炽天梦魔
999000	7535	2804	120	995388	140							OpenLevel99	炽天梦魔==>绝地战狼
7535	9598	2804	140	995388	160							OpenLevel99	绝地战狼==>大象
9598	999081	2804	160	995388	180							OpenLevel99	大象==>大象Lv1
999081	999082	2804	180	995388	200							OpenLevel99	大象Lv1==>大象Lv2
999082	999083	2804	200	995388	220							OpenLevel99	大象Lv2==>大象Lv3
999043	999044	2804	1100	2527	1100							OpenDay721	真•龙鳞凤羽Lv4
999044	999045	2804	1600	2527	1600							OpenDay721	真•龙鳞凤羽Lv5
999045	999046	2804	2200	2527	2200							OpenDay721	真•龙鳞凤羽Lv6
999046	999047	2804	2900	2527	2900							OpenDay721	真•龙鳞凤羽Lv7
999047	999048	2804	3700	2527	3700							OpenDay721	真•龙鳞凤羽Lv8
999048	999049	2804	4600	2527	4600							OpenDay721	真•龙鳞凤羽Lv9
999049	999050	2804	5600	2527	5600							OpenDay721	真•龙鳞凤羽Lv10
999051	999052	2804	200	2527	480							OpenLevel129	真•大天使之驹Lv1==>真•大天使之驹Lv2
999052	999053	2804	300	2527	600							OpenLevel139	坐骑
999053	999054	2804	1100	2527	1100							OpenDay721	未开放,坐骑
999054	999055	2804	1600	2527	1600							OpenDay721	未开放,坐骑
999055	999056	2804	2200	2527	2200							OpenDay721	未开放,坐骑
999056	999057	2804	2900	2527	2900							OpenDay721	未开放,坐骑
999057	999058	2804	3700	2527	3700							OpenDay721	未开放,坐骑
999058	999059	2804	4600	2527	4600							OpenDay721	未开放,坐骑
999059	999060	2804	5600	2527	5600							OpenDay721	未开放,坐骑
999061	999062	2804	200	2527	480							OpenDay721	未开放,坐骑
999062	999063	2804	300	2527	600							OpenDay721	未开放,坐骑
999063	999064	2804	1100	2527	1100							OpenDay721	未开放,坐骑
999064	999065	2804	1600	2527	1600							OpenDay721	未开放,坐骑
999065	999066	2804	2200	2527	2200							OpenDay721	未开放,坐骑
999066	999067	2804	2900	2527	2900							OpenDay721	未开放,坐骑
999067	999068	2804	3700	2527	3700							OpenDay721	未开放,坐骑
999068	999069	2804	4600	2527	4600							OpenDay721	未开放,坐骑
999069	999070	2804	5600	2527	5600							OpenDay721	未开放,坐骑
