SuitIndex	Level	ItemId	
1	1	2764	T6黄金武器
1	1	2779	T6黄金帽子
1	1	2782	T6黄金衣服
1	1	2788	T6黄金腰带
1	1	2767	T6黄金项链
1	1	2773	T6黄金玉佩
1	1	2765	T7黄金武器
1	1	2780	T7黄金帽子
1	1	2783	T7黄金衣服
1	1	2789	T7黄金腰带
1	1	2768	T7黄金项链
1	1	2774	T7黄金玉佩
1	1	2766	T8黄金武器
1	1	2781	T8黄金帽子
1	1	2784	T8黄金衣服
1	1	2790	T8黄金腰带
1	1	2769	T8黄金项链
1	1	2775	T8黄金玉佩
1	1	3619	T9黄金武器
1	1	3629	T9黄金帽子
1	1	3631	T9黄金衣服
1	1	3635	T9黄金腰带
1	1	3621	T9黄金项链
1	1	3625	T9黄金玉佩
1	1	3620	T10黄金武器
1	1	3630	T10黄金帽子
1	1	3632	T10黄金衣服
1	1	3636	T10黄金腰带
1	1	3622	T10黄金项链
1	1	3626	T10黄金玉佩
1	1	5360	T11黄金武器
1	1	5390	T11黄金帽子
1	1	5385	T11黄金衣服
1	1	5400	T11黄金腰带
1	1	5365	T11黄金项链
1	1	5375	T11黄金玉佩
1	1	5361	T12黄金武器
1	1	5391	T12黄金帽子
1	1	5386	T12黄金衣服
1	1	5401	T12黄金腰带
1	1	5366	T12黄金项链
1	1	5376	T12黄金玉佩
1	1	5362	T13_Weapon_Q4
1	1	5363	T14_Weapon_Q4
1	1	5364	T15_Weapon_Q4
1	1	9729	T16_Weapon_Q4
1	1	9730	T17_Weapon_Q4
1	1	9731	T18_Weapon_Q4
1	1	5387	T13_Helm_Q4
1	1	5388	T14_Helm_Q4
1	1	5389	T15_Helm_Q4
1	1	9754	T16_Helm_Q4
1	1	9755	T17_Helm_Q4
1	1	9756	T18_Helm_Q4
1	1	5392	T13_Armor_Q4
1	1	5393	T14_Armor_Q4
1	1	5394	T15_Armor_Q4
1	1	9759	T16_Armor_Q4
1	1	9760	T17_Armor_Q4
1	1	9761	T18_Armor_Q4
1	1	5402	T13_Belt_Q4
1	1	5403	T14_Belt_Q4
1	1	5404	T15_Belt_Q4
1	1	9764	T16_Belt_Q4
1	1	9765	T17_Belt_Q4
1	1	9766	T18_Belt_Q4
1	1	5367	T13_Necklace_Q4
1	1	5368	T14_Necklace_Q4
1	1	5369	T15_Necklace_Q4
1	1	9734	T16_Necklace_Q4
1	1	9735	T17_Necklace_Q4
1	1	9736	T18_Necklace_Q4
1	1	5377	T13_Pendant_Q4
1	1	5378	T14_Pendant_Q4
1	1	5379	T15_Pendant_Q4
1	1	9744	T16_Pendant_Q4
1	1	9745	T17_Pendant_Q4
1	1	9746	T18_Pendant_Q4
2	1	2770	T6_Ring_Q4
2	1	2771	T7_Ring_Q4
2	1	2772	T8_Ring_Q4
2	1	3623	T9_Ring_Q4
2	1	3624	T10_Ring_Q4
2	1	5370	T11_Ring_Q4
2	1	5371	T12_Ring_Q4
2	1	5372	T13_Ring_Q4
2	1	5373	T14_Ring_Q4
2	1	5374	T15_Ring_Q4
2	1	9739	T16_Ring_Q4
2	1	9740	T17_Ring_Q4
2	1	9741	T18_Ring_Q4
2	1	2785	T6_Cuff_Q4
2	1	2786	T7_Cuff_Q4
2	1	2787	T8_Cuff_Q4
2	1	3633	T9_Cuff_Q4
2	1	3634	T10_Cuff_Q4
2	1	5395	T11_Cuff_Q4
2	1	5396	T12_Cuff_Q4
2	1	5397	T13_Cuff_Q4
2	1	5398	T14_Cuff_Q4
2	1	5399	T15_Cuff_Q4
2	1	9780	T16_Cuff_Q4
2	1	9781	T17_Cuff_Q4
2	1	9782	T18_Cuff_Q4
2	1	2791	T6_Boots_Q4
2	1	2792	T7_Boots_Q4
2	1	2793	T8_Boots_Q4
2	1	3637	T9_Boots_Q4
2	1	3638	T10_Boots_Q4
2	1	5405	T11_Boots_Q4
2	1	5406	T12_Boots_Q4
2	1	5407	T13_Boots_Q4
2	1	5408	T14_Boots_Q4
2	1	5409	T15_Boots_Q4
2	1	9769	T16_Boots_Q4
2	1	9770	T17_Boots_Q4
2	1	9771	T18_Boots_Q4
2	1	2776	T6_Amulet_Q4
2	1	2777	T7_Amulet_Q4
2	1	2778	T8_Amulet_Q4
2	1	3627	T9_Amulet_Q4
2	1	3628	T10_Amulet_Q4
2	1	5380	T11_Amulet_Q4
2	1	5381	T12_Amulet_Q4
2	1	5382	T13_Amulet_Q4
2	1	5383	T14_Amulet_Q4
2	1	5384	T15_Amulet_Q4
2	1	9749	T16_Amulet_Q4
2	1	9750	T17_Amulet_Q4
2	1	9751	T18_Amulet_Q4
1	2	10016	T10_Weapon_Q5
1	2	10017	T11_Weapon_Q5
1	2	10018	T12_Weapon_Q5
1	2	10019	T13_Weapon_Q5
1	2	10020	T14_Weapon_Q5
1	2	10021	T15_Weapon_Q5
1	2	10022	T16_Weapon_Q5
1	2	10023	T17_Weapon_Q5
1	2	10024	T18_Weapon_Q5
1	2	10038	T10_Pendant_Q5
1	2	10039	T11_Pendant_Q5
1	2	10040	T12_Pendant_Q5
1	2	10041	T13_Pendant_Q5
1	2	10042	T14_Pendant_Q5
1	2	10043	T15_Pendant_Q5
1	2	10044	T16_Pendant_Q5
1	2	10045	T17_Pendant_Q5
1	2	10046	T18_Pendant_Q5
1	2	10049	T10_Necklace_Q5
1	2	10050	T11_Necklace_Q5
1	2	10051	T12_Necklace_Q5
1	2	10052	T13_Necklace_Q5
1	2	10053	T14_Necklace_Q5
1	2	10054	T15_Necklace_Q5
1	2	10055	T16_Necklace_Q5
1	2	10056	T17_Necklace_Q5
1	2	10057	T18_Necklace_Q5
1	2	10060	T10_Helm_Q5
1	2	10061	T11_Helm_Q5
1	2	10062	T12_Helm_Q5
1	2	10063	T13_Helm_Q5
1	2	10064	T14_Helm_Q5
1	2	10065	T15_Helm_Q5
1	2	10066	T16_Helm_Q5
1	2	10067	T17_Helm_Q5
1	2	10068	T18_Helm_Q5
1	2	10093	T10_Belt_Q5
1	2	10094	T11_Belt_Q5
1	2	10095	T12_Belt_Q5
1	2	10096	T13_Belt_Q5
1	2	10097	T14_Belt_Q5
1	2	10098	T15_Belt_Q5
1	2	10099	T16_Belt_Q5
1	2	10100	T17_Belt_Q5
1	2	10101	T18_Belt_Q5
1	2	10104	T10_Armor_Q5
1	2	10105	T11_Armor_Q5
1	2	10106	T12_Armor_Q5
1	2	10107	T13_Armor_Q5
1	2	10108	T14_Armor_Q5
1	2	10109	T15_Armor_Q5
1	2	10110	T16_Armor_Q5
1	2	10111	T17_Armor_Q5
1	2	10112	T18_Armor_Q5
2	2	10115	T10_Amulet_Q5
2	2	10116	T11_Amulet_Q5
2	2	10117	T12_Amulet_Q5
2	2	10118	T13_Amulet_Q5
2	2	10119	T14_Amulet_Q5
2	2	10120	T15_Amulet_Q5
2	2	10121	T16_Amulet_Q5
2	2	10122	T17_Amulet_Q5
2	2	10123	T18_Amulet_Q5
2	2	10082	T10_Boots_Q5
2	2	10083	T11_Boots_Q5
2	2	10084	T12_Boots_Q5
2	2	10085	T13_Boots_Q5
2	2	10086	T14_Boots_Q5
2	2	10087	T15_Boots_Q5
2	2	10088	T16_Boots_Q5
2	2	10089	T17_Boots_Q5
2	2	10090	T18_Boots_Q5
2	2	10071	T10_Cuff_Q5
2	2	10072	T11_Cuff_Q5
2	2	10073	T12_Cuff_Q5
2	2	10074	T13_Cuff_Q5
2	2	10075	T14_Cuff_Q5
2	2	10076	T15_Cuff_Q5
2	2	10077	T16_Cuff_Q5
2	2	10078	T17_Cuff_Q5
2	2	10079	T18_Cuff_Q5
2	2	10027	T10_Ring_Q5
2	2	10028	T11_Ring_Q5
2	2	10029	T12_Ring_Q5
2	2	10030	T13_Ring_Q5
2	2	10031	T14_Ring_Q5
2	2	10032	T15_Ring_Q5
2	2	10033	T16_Ring_Q5
2	2	10034	T17_Ring_Q5
2	2	10035	T18_Ring_Q5
