ItemTID	Faction	SoleTag	SkillID	AttribType1	InitValue1	GrowValue1	AttribType2	InitValue2	GrowValue2	AttribType3	InitValue3	GrowValue3	AttribType4	InitValue4	GrowValue4	Desc
7981	0	101	5301	vitality_v	2500	250	dexterity_v	2500	250	strength_v	2500	250	energy_v	2500	250	公用绝学1
7982	0	102	5302	vitality_v	2500	250	dexterity_v	2500	250	strength_v	2500	250	energy_v	2500	250	公用绝学2
7983	0	103	2615	vitality_v	2500	250	dexterity_v	2500	250	strength_v	2500	250	energy_v	2500	250	公用绝学3
7984	0	104	105	vitality_v	2500	250	dexterity_v	2500	250	strength_v	2500	250	energy_v	2500	250	公用绝学4
7985	0	105	105	vitality_v	2500	250	dexterity_v	2500	250	strength_v	2500	250	energy_v	2500	250	公用绝学5
7986	0	106	105	vitality_v	2500	250	dexterity_v	2500	250	strength_v	2500	250	energy_v	2500	250	公用绝学6
7987	0	107	105	vitality_v	2500	250	dexterity_v	2500	250	strength_v	2500	250	energy_v	2500	250	公用绝学7
7988	0	108	105	vitality_v	2500	250	dexterity_v	2500	250	strength_v	2500	250	energy_v	2500	250	公用绝学8
7989	0	109	105	vitality_v	2500	250	dexterity_v	2500	250	strength_v	2500	250	energy_v	2500	250	公用绝学9
7990	0	110	105	vitality_v	2500	250	dexterity_v	2500	250	strength_v	2500	250	energy_v	2500	250	公用绝学10
7991	1	1	5306	vitality_v	3000	300	dexterity_v	3000	300	strength_v	3000	300	energy_v	1000	100	天王绝学1
7992	1	2	5307	vitality_v	3000	300	dexterity_v	3000	300	strength_v	3000	300	energy_v	1000	100	天王绝学2
7993	1	3	5308	vitality_v	3000	300	dexterity_v	3000	300	strength_v	3000	300	energy_v	1000	100	天王绝学3
7994	1	4	105	vitality_v	3000	300	dexterity_v	3000	300	strength_v	3000	300	energy_v	1000	100	天王绝学4
7995	1	5	105	vitality_v	3000	300	dexterity_v	3000	300	strength_v	3000	300	energy_v	1000	100	天王绝学5
7996	1	6	105	vitality_v	3000	300	dexterity_v	3000	300	strength_v	3000	300	energy_v	1000	100	天王绝学6
7997	1	7	105	vitality_v	3000	300	dexterity_v	3000	300	strength_v	3000	300	energy_v	1000	100	天王绝学7
7998	1	8	105	vitality_v	3000	300	dexterity_v	3000	300	strength_v	3000	300	energy_v	1000	100	天王绝学8
7999	1	9	105	vitality_v	3000	300	dexterity_v	3000	300	strength_v	3000	300	energy_v	1000	100	天王绝学9
8000	1	10	105	vitality_v	3000	300	dexterity_v	3000	300	strength_v	3000	300	energy_v	1000	100	天王绝学10
8001	2	1	5309	vitality_v	4000	400	dexterity_v	2000	200	strength_v	2000	200	energy_v	2000	200	峨眉绝学1
8002	2	2	5310	vitality_v	4000	400	dexterity_v	2000	200	strength_v	2000	200	energy_v	2000	200	峨眉绝学2
8003	2	3	5311	vitality_v	4000	400	dexterity_v	2000	200	strength_v	2000	200	energy_v	2000	200	峨眉绝学3
8004	2	4	105	vitality_v	4000	400	dexterity_v	2000	200	strength_v	2000	200	energy_v	2000	200	峨眉绝学4
8005	2	5	105	vitality_v	4000	400	dexterity_v	2000	200	strength_v	2000	200	energy_v	2000	200	峨眉绝学5
8006	2	6	105	vitality_v	4000	400	dexterity_v	2000	200	strength_v	2000	200	energy_v	2000	200	峨眉绝学6
8007	2	7	105	vitality_v	4000	400	dexterity_v	2000	200	strength_v	2000	200	energy_v	2000	200	峨眉绝学7
8008	2	8	105	vitality_v	4000	400	dexterity_v	2000	200	strength_v	2000	200	energy_v	2000	200	峨眉绝学8
8009	2	9	105	vitality_v	4000	400	dexterity_v	2000	200	strength_v	2000	200	energy_v	2000	200	峨眉绝学9
8010	2	10	105	vitality_v	4000	400	dexterity_v	2000	200	strength_v	2000	200	energy_v	2000	200	峨眉绝学10
8011	3	1	5312	vitality_v	2000	200	dexterity_v	2000	200	strength_v	3000	300	energy_v	3000	300	桃花绝学1
8012	3	2	5313	vitality_v	2000	200	dexterity_v	2000	200	strength_v	3000	300	energy_v	3000	300	桃花绝学2
8013	3	3	5314	vitality_v	2000	200	dexterity_v	2000	200	strength_v	3000	300	energy_v	3000	300	桃花绝学3
8014	3	4	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	3000	300	energy_v	3000	300	桃花绝学4
8015	3	5	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	3000	300	energy_v	3000	300	桃花绝学5
8016	3	6	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	3000	300	energy_v	3000	300	桃花绝学6
8017	3	7	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	3000	300	energy_v	3000	300	桃花绝学7
8018	3	8	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	3000	300	energy_v	3000	300	桃花绝学8
8019	3	9	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	3000	300	energy_v	3000	300	桃花绝学9
8020	3	10	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	3000	300	energy_v	3000	300	桃花绝学10
8021	4	1	5315	vitality_v	2000	200	dexterity_v	1000	100	strength_v	4000	400	energy_v	3000	300	逍遥绝学1
8022	4	2	5316	vitality_v	2000	200	dexterity_v	1000	100	strength_v	4000	400	energy_v	3000	300	逍遥绝学2
8023	4	3	5317	vitality_v	2000	200	dexterity_v	1000	100	strength_v	4000	400	energy_v	3000	300	逍遥绝学3
8024	4	4	105	vitality_v	2000	200	dexterity_v	1000	100	strength_v	4000	400	energy_v	3000	300	逍遥绝学4
8025	4	5	105	vitality_v	2000	200	dexterity_v	1000	100	strength_v	4000	400	energy_v	3000	300	逍遥绝学5
8026	4	6	105	vitality_v	2000	200	dexterity_v	1000	100	strength_v	4000	400	energy_v	3000	300	逍遥绝学6
8027	4	7	105	vitality_v	2000	200	dexterity_v	1000	100	strength_v	4000	400	energy_v	3000	300	逍遥绝学7
8028	4	8	105	vitality_v	2000	200	dexterity_v	1000	100	strength_v	4000	400	energy_v	3000	300	逍遥绝学8
8029	4	9	105	vitality_v	2000	200	dexterity_v	1000	100	strength_v	4000	400	energy_v	3000	300	逍遥绝学9
8030	4	10	105	vitality_v	2000	200	dexterity_v	1000	100	strength_v	4000	400	energy_v	3000	300	逍遥绝学10
8031	5	1	5318	vitality_v	2000	200	dexterity_v	3000	300	strength_v	3000	300	energy_v	2000	200	武当绝学1
8032	5	2	5319	vitality_v	2000	200	dexterity_v	3000	300	strength_v	3000	300	energy_v	2000	200	武当绝学2
8033	5	3	5320	vitality_v	2000	200	dexterity_v	3000	300	strength_v	3000	300	energy_v	2000	200	武当绝学3
8034	5	4	105	vitality_v	2000	200	dexterity_v	3000	300	strength_v	3000	300	energy_v	2000	200	武当绝学4
8035	5	5	105	vitality_v	2000	200	dexterity_v	3000	300	strength_v	3000	300	energy_v	2000	200	武当绝学5
8036	5	6	105	vitality_v	2000	200	dexterity_v	3000	300	strength_v	3000	300	energy_v	2000	200	武当绝学6
8037	5	7	105	vitality_v	2000	200	dexterity_v	3000	300	strength_v	3000	300	energy_v	2000	200	武当绝学7
8038	5	8	105	vitality_v	2000	200	dexterity_v	3000	300	strength_v	3000	300	energy_v	2000	200	武当绝学8
8039	5	9	105	vitality_v	2000	200	dexterity_v	3000	300	strength_v	3000	300	energy_v	2000	200	武当绝学9
8040	5	10	105	vitality_v	2000	200	dexterity_v	3000	300	strength_v	3000	300	energy_v	2000	200	武当绝学10
8041	6	1	5321	vitality_v	2000	200	dexterity_v	2000	200	strength_v	2000	200	energy_v	4000	400	天忍绝学1
8042	6	2	5322	vitality_v	2000	200	dexterity_v	2000	200	strength_v	2000	200	energy_v	4000	400	天忍绝学2
8043	6	3	5323	vitality_v	2000	200	dexterity_v	2000	200	strength_v	2000	200	energy_v	4000	400	天忍绝学3
8044	6	4	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	2000	200	energy_v	4000	400	天忍绝学4
8045	6	5	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	2000	200	energy_v	4000	400	天忍绝学5
8046	6	6	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	2000	200	energy_v	4000	400	天忍绝学6
8047	6	7	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	2000	200	energy_v	4000	400	天忍绝学7
8048	6	8	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	2000	200	energy_v	4000	400	天忍绝学8
8049	6	9	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	2000	200	energy_v	4000	400	天忍绝学9
8050	6	10	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	2000	200	energy_v	4000	400	天忍绝学10
8051	7	1	5324	vitality_v	5000	500	dexterity_v	1000	100	strength_v	2000	200	energy_v	2000	200	少林绝学1
8052	7	2	5325	vitality_v	5000	500	dexterity_v	1000	100	strength_v	2000	200	energy_v	2000	200	少林绝学2
8053	7	3	5326	vitality_v	5000	500	dexterity_v	1000	100	strength_v	2000	200	energy_v	2000	200	少林绝学3
8054	7	4	105	vitality_v	5000	500	dexterity_v	1000	100	strength_v	2000	200	energy_v	2000	200	少林绝学4
8055	7	5	105	vitality_v	5000	500	dexterity_v	1000	100	strength_v	2000	200	energy_v	2000	200	少林绝学5
8056	7	6	105	vitality_v	5000	500	dexterity_v	1000	100	strength_v	2000	200	energy_v	2000	200	少林绝学6
8057	7	7	105	vitality_v	5000	500	dexterity_v	1000	100	strength_v	2000	200	energy_v	2000	200	少林绝学7
8058	7	8	105	vitality_v	5000	500	dexterity_v	1000	100	strength_v	2000	200	energy_v	2000	200	少林绝学8
8059	7	9	105	vitality_v	5000	500	dexterity_v	1000	100	strength_v	2000	200	energy_v	2000	200	少林绝学9
8060	7	10	105	vitality_v	5000	500	dexterity_v	1000	100	strength_v	2000	200	energy_v	2000	200	少林绝学10
8061	8	1	5327	vitality_v	3000	300	dexterity_v	3000	300	strength_v	1000	100	energy_v	3000	300	翠烟绝学1
8062	8	2	5328	vitality_v	3000	300	dexterity_v	3000	300	strength_v	1000	100	energy_v	3000	300	翠烟绝学2
8063	8	3	5329	vitality_v	3000	300	dexterity_v	3000	300	strength_v	1000	100	energy_v	3000	300	翠烟绝学3
8064	8	4	105	vitality_v	3000	300	dexterity_v	3000	300	strength_v	1000	100	energy_v	3000	300	翠烟绝学4
8065	8	5	105	vitality_v	3000	300	dexterity_v	3000	300	strength_v	1000	100	energy_v	3000	300	翠烟绝学5
8066	8	6	105	vitality_v	3000	300	dexterity_v	3000	300	strength_v	1000	100	energy_v	3000	300	翠烟绝学6
8067	8	7	105	vitality_v	3000	300	dexterity_v	3000	300	strength_v	1000	100	energy_v	3000	300	翠烟绝学7
8068	8	8	105	vitality_v	3000	300	dexterity_v	3000	300	strength_v	1000	100	energy_v	3000	300	翠烟绝学8
8069	8	9	105	vitality_v	3000	300	dexterity_v	3000	300	strength_v	1000	100	energy_v	3000	300	翠烟绝学9
8070	8	10	105	vitality_v	3000	300	dexterity_v	3000	300	strength_v	1000	100	energy_v	3000	300	翠烟绝学10
8071	9	1	5330	vitality_v	1000	100	dexterity_v	2000	200	strength_v	2000	200	energy_v	5000	500	唐门绝学1
8072	9	2	5331	vitality_v	1000	100	dexterity_v	2000	200	strength_v	2000	200	energy_v	5000	500	唐门绝学2
8073	9	3	5332	vitality_v	1000	100	dexterity_v	2000	200	strength_v	2000	200	energy_v	5000	500	唐门绝学3
8074	9	4	105	vitality_v	1000	100	dexterity_v	2000	200	strength_v	2000	200	energy_v	5000	500	唐门绝学4
8075	9	5	105	vitality_v	1000	100	dexterity_v	2000	200	strength_v	2000	200	energy_v	5000	500	唐门绝学5
8076	9	6	105	vitality_v	1000	100	dexterity_v	2000	200	strength_v	2000	200	energy_v	5000	500	唐门绝学6
8077	9	7	105	vitality_v	1000	100	dexterity_v	2000	200	strength_v	2000	200	energy_v	5000	500	唐门绝学7
8078	9	8	105	vitality_v	1000	100	dexterity_v	2000	200	strength_v	2000	200	energy_v	5000	500	唐门绝学8
8079	9	9	105	vitality_v	1000	100	dexterity_v	2000	200	strength_v	2000	200	energy_v	5000	500	唐门绝学9
8080	9	10	105	vitality_v	1000	100	dexterity_v	2000	200	strength_v	2000	200	energy_v	5000	500	唐门绝学10
8081	10	1	5333	vitality_v	3000	300	dexterity_v	4000	400	strength_v	1000	100	energy_v	2000	200	昆仑绝学1
8082	10	2	5334	vitality_v	3000	300	dexterity_v	4000	400	strength_v	1000	100	energy_v	2000	200	昆仑绝学2
8083	10	3	5335	vitality_v	3000	300	dexterity_v	4000	400	strength_v	1000	100	energy_v	2000	200	昆仑绝学3
8084	10	4	105	vitality_v	3000	300	dexterity_v	4000	400	strength_v	1000	100	energy_v	2000	200	昆仑绝学4
8085	10	5	105	vitality_v	3000	300	dexterity_v	4000	400	strength_v	1000	100	energy_v	2000	200	昆仑绝学5
8086	10	6	105	vitality_v	3000	300	dexterity_v	4000	400	strength_v	1000	100	energy_v	2000	200	昆仑绝学6
8087	10	7	105	vitality_v	3000	300	dexterity_v	4000	400	strength_v	1000	100	energy_v	2000	200	昆仑绝学7
8088	10	8	105	vitality_v	3000	300	dexterity_v	4000	400	strength_v	1000	100	energy_v	2000	200	昆仑绝学8
8089	10	9	105	vitality_v	3000	300	dexterity_v	4000	400	strength_v	1000	100	energy_v	2000	200	昆仑绝学9
8090	10	10	105	vitality_v	3000	300	dexterity_v	4000	400	strength_v	1000	100	energy_v	2000	200	昆仑绝学10
8091	11	1	5336	vitality_v	2000	200	dexterity_v	5000	500	strength_v	2000	200	energy_v	1000	100	丐帮绝学1
8092	11	2	5337	vitality_v	2000	200	dexterity_v	5000	500	strength_v	2000	200	energy_v	1000	100	丐帮绝学2
8093	11	3	5338	vitality_v	2000	200	dexterity_v	5000	500	strength_v	2000	200	energy_v	1000	100	丐帮绝学3
8094	11	4	105	vitality_v	2000	200	dexterity_v	5000	500	strength_v	2000	200	energy_v	1000	100	丐帮绝学4
8095	11	5	105	vitality_v	2000	200	dexterity_v	5000	500	strength_v	2000	200	energy_v	1000	100	丐帮绝学5
8096	11	6	105	vitality_v	2000	200	dexterity_v	5000	500	strength_v	2000	200	energy_v	1000	100	丐帮绝学6
8097	11	7	105	vitality_v	2000	200	dexterity_v	5000	500	strength_v	2000	200	energy_v	1000	100	丐帮绝学7
8098	11	8	105	vitality_v	2000	200	dexterity_v	5000	500	strength_v	2000	200	energy_v	1000	100	丐帮绝学8
8099	11	9	105	vitality_v	2000	200	dexterity_v	5000	500	strength_v	2000	200	energy_v	1000	100	丐帮绝学9
8100	11	10	105	vitality_v	2000	200	dexterity_v	5000	500	strength_v	2000	200	energy_v	1000	100	丐帮绝学10
8101	12	1	5339	vitality_v	1000	100	dexterity_v	2000	200	strength_v	5000	500	energy_v	2000	200	五毒绝学1
8102	12	2	5340	vitality_v	1000	100	dexterity_v	2000	200	strength_v	5000	500	energy_v	2000	200	五毒绝学2
8103	12	3	5341	vitality_v	1000	100	dexterity_v	2000	200	strength_v	5000	500	energy_v	2000	200	五毒绝学3
8104	12	4	105	vitality_v	1000	100	dexterity_v	2000	200	strength_v	5000	500	energy_v	2000	200	五毒绝学4
8105	12	5	105	vitality_v	1000	100	dexterity_v	2000	200	strength_v	5000	500	energy_v	2000	200	五毒绝学5
8106	12	6	105	vitality_v	1000	100	dexterity_v	2000	200	strength_v	5000	500	energy_v	2000	200	五毒绝学6
8107	12	7	105	vitality_v	1000	100	dexterity_v	2000	200	strength_v	5000	500	energy_v	2000	200	五毒绝学7
8108	12	8	105	vitality_v	1000	100	dexterity_v	2000	200	strength_v	5000	500	energy_v	2000	200	五毒绝学8
8109	12	9	105	vitality_v	1000	100	dexterity_v	2000	200	strength_v	5000	500	energy_v	2000	200	五毒绝学9
8110	12	10	105	vitality_v	1000	100	dexterity_v	2000	200	strength_v	5000	500	energy_v	2000	200	五毒绝学10
8111	13	1	5342	vitality_v	2000	200	dexterity_v	2000	200	strength_v	4000	400	energy_v	2000	200	藏剑绝学1
8112	13	2	5343	vitality_v	2000	200	dexterity_v	2000	200	strength_v	4000	400	energy_v	2000	200	藏剑绝学2
8113	13	3	5344	vitality_v	2000	200	dexterity_v	2000	200	strength_v	4000	400	energy_v	2000	200	藏剑绝学3
8114	13	4	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	4000	400	energy_v	2000	200	藏剑绝学4
8115	13	5	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	4000	400	energy_v	2000	200	藏剑绝学5
8116	13	6	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	4000	400	energy_v	2000	200	藏剑绝学6
8117	13	7	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	4000	400	energy_v	2000	200	藏剑绝学7
8118	13	8	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	4000	400	energy_v	2000	200	藏剑绝学8
8119	13	9	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	4000	400	energy_v	2000	200	藏剑绝学9
8120	13	10	105	vitality_v	2000	200	dexterity_v	2000	200	strength_v	4000	400	energy_v	2000	200	藏剑绝学10
8121	14	1	5345	vitality_v	4000	400	dexterity_v	3000	300	strength_v	2000	200	energy_v	1000	100	长歌绝学1
8122	14	2	5346	vitality_v	4000	400	dexterity_v	3000	300	strength_v	2000	200	energy_v	1000	100	长歌绝学2
8123	14	3	5347	vitality_v	4000	400	dexterity_v	3000	300	strength_v	2000	200	energy_v	1000	100	长歌绝学3
8124	14	4	105	vitality_v	4000	400	dexterity_v	3000	300	strength_v	2000	200	energy_v	1000	100	长歌绝学4
