Level	CostExp	FightPower
1	100	0
2	150	10
3	200	25
4	250	45
5	300	70
6	350	100
7	400	135
8	450	175
9	500	220
10	550	270
11	600	325
12	650	385
13	700	450
14	750	520
15	800	595
16	850	675
17	900	760
18	950	850
19	1000	945
20	1050	1045
21	1100	1150
22	1150	1260
23	1200	1375
24	1250	1495
25	1300	1620
26	1350	1750
27	1400	1885
28	1450	2025
29	1500	2170
30	1550	2320
31	1600	2475
32	1650	2635
33	1700	2800
34	1750	2970
35	1800	3145
36	1850	3325
37	1900	3510
38	1950	3700
39	2000	3895
40	2050	4095
41	2100	4300
42	2150	4510
43	2200	4725
44	2250	4945
45	2300	5170
46	2350	5400
47	2400	5635
48	2450	5875
49	2500	6120
50	2550	6370
51	2600	6625
52	2650	6885
53	2700	7150
54	2750	7420
55	2800	7695
56	2850	7975
57	2900	8260
58	2950	8550
59	3000	8845
60	3050	9145
61	3100	9450
62	3150	9760
63	3200	10075
64	3250	10395
65	3300	10720
66	3350	11050
67	3400	11385
68	3450	11725
69	3500	12070
70	3550	12420
71	3600	12775
72	3650	13135
73	3700	13500
74	3750	13870
75	3800	14245
76	3850	14625
77	3900	15010
78	3950	15400
79	4000	15795
80	4050	16195
81	4100	16600
82	4150	17010
83	4200	17425
84	4250	17845
85	4300	18270
86	4350	18700
87	4400	19135
88	4450	19575
89	4500	20020
90	4550	20470
91	4600	20925
92	4650	21385
93	4700	21850
94	4750	22320
95	4800	22795
96	4850	23275
97	4900	23760
98	4950	24250
99	5000	24745
100		25245
