Name	ObjID	PrefabPath
拾取表现	-1	Effect/Prefabs/JueSe/other1/wupin_shiqu.prefab
宝箱	1	Player/Npcs/obj_002/prefab/obj_002.prefab
红宝石	2	Player/critter/prefab/hbs01.prefab
白水晶	3	Player/critter/prefab/bsj01.prefab
铜钱	4	Player/critter/prefab/tq01.prefab
铜钱白	5	Player/critter/prefab/tq02.prefab
同伴魂石	6	Player/critter/prefab/tbhs01.prefab
装备	7	Player/critter/prefab/zjzb01.prefab
银两1	8	Player/critter/prefab/yingliang01.prefab
银两2	9	Player/critter/prefab/yingliang02.prefab
银两3	10	Player/critter/prefab/yingliang03.prefab
宝石01	11	Player/critter/prefab/baoshi01.prefab
宝物袋	12	Player/critter/prefab/baowudai01.prefab
水晶01	13	Player/critter/prefab/shuijin01.prefab
魂石01	14	Player/critter/prefab/tongbanhunshi01.prefab
同伴装备01	15	Player/critter/prefab/tongbanzhuangbei01.prefab
主角装备01	16	Player/critter/prefab/zhujuezhuangbei01.prefab
回血BUFF球	17	Effect/Prefabs/JueSe/BUFF/buffqiu_lv_gai.prefab
心魔幻境_回血	1000	Effect/Prefabs/JueSe/BUFF/buffqiu_lv_gai.prefab
心魔幻境_攻击力	1001	Effect/Prefabs/JueSe/BUFF/buffqiu_hong_gai.prefab
心魔幻境_全抗	1002	Effect/Prefabs/JueSe/BUFF/buffqiu_jin_gai.prefab
心魔幻境_跑速	1003	Effect/Prefabs/JueSe/BUFF/buffqiu_lan_gai.prefab
心魔幻境_会心	1004	Effect/Prefabs/JueSe/BUFF/buffqiu_hong.prefab
心魔幻境_无敌	1005	Effect/Prefabs/JueSe/BUFF/buffqiu_jin.prefab
