TemplateId	Name	Kind	ShowType	ItemType	BigIcon	CDType	ClassName	DetailType	Icon	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10
2088	4阶稀有武器碎片	T4_Weapon_Q2_piece	1704	34			EquipMeterial	99		残缺不全的稀有武器碎片，需要  [FFFE0D]10块[-]才能打造成1把[FFFE0D]4阶【稀有】[-]武器	300000	1	1	300000	6	1		999										
2089	5阶稀有武器碎片	T5_Weapon_Q2_piece	1705	34			EquipMeterial	99		残缺不全的稀有武器碎片，需要  [FFFE0D]10块[-]才能打造成1把[FFFE0D]5阶【稀有】[-]武器	625000	2	1	625000	6	1		999										
2090	6阶稀有武器碎片	T6_Weapon_Q2_piece	1706	34			EquipMeterial	99		残缺不全的稀有武器碎片，需要  [FFFE0D]10块[-]才能打造成1把[FFFE0D]6阶【稀有】[-]武器	750000	3	1	750000	6	1		999										
2943	7阶稀有武器碎片	T7_Weapon_Q2_piece	1707	34			EquipMeterial	99		残缺不全的稀有武器碎片，需要  [FFFE0D]10块[-]才能打造成1把[FFFE0D]7阶【稀有】[-]武器	1000000	4	1	1000000	6	1		999										
2944	8阶稀有武器碎片	T8_Weapon_Q2_piece	1708	34			EquipMeterial	99		残缺不全的稀有武器碎片，需要  [FFFE0D]10块[-]才能打造成1把[FFFE0D]8阶【稀有】[-]武器	1350000	5	1	1350000	6	1		999										
2945	9阶稀有武器碎片	T9_Weapon_Q2_piece	1709	34			EquipMeterial	99		残缺不全的稀有武器碎片，需要  [FFFE0D]10块[-]才能打造成1把[FFFE0D]9阶【稀有】[-]武器	1800000	6	1	1800000	6	1		999										
3667	10阶稀有武器碎片	T10_Weapon_Q2_piece	1710	34			EquipMeterial	99		残缺不全的稀有武器碎片，需要  [FFFE0D]10块[-]才能打造成1把[FFFE0D]10阶【稀有】[-]武器	2250000	7	1	2250000	6	1		999										
5761	11阶稀有武器碎片	T11_Weapon_Q2_piece	1711	34			EquipMeterial	99		残缺不全的稀有武器碎片，需要  [FFFE0D]10块[-]才能打造成1把[FFFE0D]11阶【稀有】[-]武器	2850000	8	1	2850000	6	1		999										
5762	12阶稀有武器碎片	T12_Weapon_Q2_piece	1712	34			EquipMeterial	99		残缺不全的稀有武器碎片，需要  [FFFE0D]10块[-]才能打造成1把[FFFE0D]12阶【稀有】[-]武器	3420000	9	1	3420000	6	1		999										
5763	13阶稀有武器碎片	T13_Weapon_Q2_piece	1713	34			EquipMeterial	99		残缺不全的稀有武器碎片，需要  [FFFE0D]10块[-]才能打造成1把[FFFE0D]13阶【稀有】[-]武器	3560000	10	1	3560000	6	1		999										
5764	14阶稀有武器碎片	T14_Weapon_Q2_piece	1714	34			EquipMeterial	99		残缺不全的稀有武器碎片，需要  [FFFE0D]10块[-]才能打造成1把[FFFE0D]14阶【稀有】[-]武器	3916000	11	1	3916000	6	1		999										
5765	15阶稀有武器碎片	T15_Weapon_Q2_piece	1715	34			EquipMeterial	99		残缺不全的稀有武器碎片，需要  [FFFE0D]10块[-]才能打造成1把[FFFE0D]15阶【稀有】[-]武器	4315000	12	1	4314000	6	1		999										
10316	16阶稀有武器碎片	T16_Weapon_Q2_piece	1716	34			EquipMeterial	99		残缺不全的稀有武器碎片，需要  [FFFE0D]10块[-]才能打造成1把[FFFE0D]16阶【稀有】[-]武器	4750000	13	1	4750000	6	1		999										
10317	17阶稀有武器碎片	T17_Weapon_Q2_piece	1717	34			EquipMeterial	99		残缺不全的稀有武器碎片，需要  [FFFE0D]10块[-]才能打造成1把[FFFE0D]17阶【稀有】[-]武器	5225000	14	1	5225000	6	1		999										
10318	18阶稀有武器碎片	T18_Weapon_Q2_piece	1718	34			EquipMeterial	99		残缺不全的稀有武器碎片，需要  [FFFE0D]10块[-]才能打造成1把[FFFE0D]18阶【稀有】[-]武器	5750000	15	1	5750000	6	1		999										
10319	19阶稀有武器碎片	T19_Weapon_Q2_piece	1719	34			EquipMeterial	99		残缺不全的稀有武器碎片，需要  [FFFE0D]10块[-]才能打造成1把[FFFE0D]19阶【稀有】[-]武器	4315000	16	1	4314000	6	1		999										
10320	20阶稀有武器碎片	T20_Weapon_Q2_piece	1720	34			EquipMeterial	99		残缺不全的稀有武器碎片，需要  [FFFE0D]10块[-]才能打造成1把[FFFE0D]20阶【稀有】[-]武器	4315000	17	1	4314000	6	1		999										
2091	4阶传承武器碎片	T4_Weapon_Q3_piece	1804	34			EquipMeterial	99		残缺不全的传承武器碎片，需要  [FFFE0D]5块[-]才能打造成1把[FFFE0D]4阶【传承】[-]武器	200000	1	1	200000	4	1		999										
2092	5阶传承武器碎片	T5_Weapon_Q3_piece	1805	34			EquipMeterial	99		残缺不全的传承武器碎片，需要  [FFFE0D]5块[-]才能打造成1把[FFFE0D]5阶【传承】[-]武器	450000	2	1	450000	4	1		999										
2093	6阶传承武器碎片	T6_Weapon_Q3_piece	1806	34			EquipMeterial	99		残缺不全的传承武器碎片，需要  [FFFE0D]5块[-]才能打造成1把[FFFE0D]6阶【传承】[-]武器	600000	3	1	600000	4	1		999										
2946	7阶传承武器碎片	T7_Weapon_Q3_piece	1807	34			EquipMeterial	99		残缺不全的传承武器碎片，需要  [FFFE0D]5块[-]才能打造成1把[FFFE0D]7阶【传承】[-]武器	800000	4	1	800000	4	1		999										
2947	8阶传承武器碎片	T8_Weapon_Q3_piece	1808	34			EquipMeterial	99		残缺不全的传承武器碎片，需要  [FFFE0D]5块[-]才能打造成1把[FFFE0D]8阶【传承】[-]武器	1200000	5	1	1200000	4	1		999										
2948	9阶传承武器碎片	T9_Weapon_Q3_piece	1809	34			EquipMeterial	99		残缺不全的传承武器碎片，需要  [FFFE0D]5块[-]才能打造成1把[FFFE0D]9阶【传承】[-]武器	1800000	6	1	1800000	4	1		999										
3668	10阶传承武器碎片	T10_Weapon_Q3_piece	1810	34			EquipMeterial	99		残缺不全的传承武器碎片，需要  [FFFE0D]5块[-]才能打造成1把[FFFE0D]10阶【传承】[-]武器	2400000	7	1	2400000	4	1		999										
5766	11阶传承武器碎片	T11_Weapon_Q3_piece	1811	34			EquipMeterial	99		残缺不全的传承武器碎片，需要  [FFFE0D]5块[-]才能打造成1把[FFFE0D]11阶【传承】[-]武器	3200000	8	1	3200000	4	1		999										
5767	12阶传承武器碎片	T12_Weapon_Q3_piece	1812	34			EquipMeterial	99		残缺不全的传承武器碎片，需要  [FFFE0D]5块[-]才能打造成1把[FFFE0D]12阶【传承】[-]武器	3600000	9	1	3840000	4	1		999										
5768	13阶传承武器碎片	T13_Weapon_Q3_piece	1813	34			EquipMeterial	99		残缺不全的传承武器碎片，需要  [FFFE0D]5块[-]才能打造成1把[FFFE0D]13阶【传承】[-]武器	3960000	10	1	3960000	4	1		999										
5769	14阶传承武器碎片	T14_Weapon_Q3_piece	1814	34			EquipMeterial	99		残缺不全的传承武器碎片，需要  [FFFE0D]5块[-]才能打造成1把[FFFE0D]14阶【传承】[-]武器	4350000	11	1	4350000	4	1		999										
5770	15阶传承武器碎片	T15_Weapon_Q3_piece	1815	34			EquipMeterial	99		残缺不全的传承武器碎片，需要  [FFFE0D]5块[-]才能打造成1把[FFFE0D]15阶【传承】[-]武器	4809000	12	1	4800000	4	1		999										
10321	16阶传承武器碎片	T16_Weapon_Q3_piece	1816	34			EquipMeterial	99		残缺不全的传承武器碎片，需要  [FFFE0D]5块[-]才能打造成1把[FFFE0D]16阶【传承】[-]武器	5300000	13	1	5300000	4	1		999										
10322	17阶传承武器碎片	T17_Weapon_Q3_piece	1817	34			EquipMeterial	99		残缺不全的传承武器碎片，需要  [FFFE0D]5块[-]才能打造成1把[FFFE0D]17阶【传承】[-]武器	5800000	14	1	5800000	4	1		999										
10323	18阶传承武器碎片	T18_Weapon_Q3_piece	1818	34			EquipMeterial	99		残缺不全的传承武器碎片，需要  [FFFE0D]5块[-]才能打造成1把[FFFE0D]18阶【传承】[-]武器	6380000	15	1	6380000	4	1		999										
10324	19阶传承武器碎片	T19_Weapon_Q3_piece	1819	34			EquipMeterial	99		残缺不全的传承武器碎片，需要  [FFFE0D]5块[-]才能打造成1把[FFFE0D]19阶【传承】[-]武器	4809000	16	1	4800000	4	1		999										
10325	20阶传承武器碎片	T20_Weapon_Q3_piece	1820	34			EquipMeterial	99		残缺不全的传承武器碎片，需要  [FFFE0D]5块[-]才能打造成1把[FFFE0D]20阶【传承】[-]武器	4809000	17	1	4800000	4	1		999										
2094	4阶稀有项链碎片	T4_Necklace_Q2_piece		34	14		EquipMeterial	99	14	残缺不全的稀有项链碎片，需要  [FFFE0D]10块[-]才能打造成1条[FFFE0D]4阶【稀有】[-]项链	120000	1	1	120000	6	1		999										
2095	5阶稀有项链碎片	T5_Necklace_Q2_piece		34	15		EquipMeterial	99	15	残缺不全的稀有项链碎片，需要  [FFFE0D]10块[-]才能打造成1条[FFFE0D]5阶【稀有】[-]项链	250000	2	1	250000	6	1		999										
2096	6阶稀有项链碎片	T6_Necklace_Q2_piece		34	16		EquipMeterial	99	16	残缺不全的稀有项链碎片，需要  [FFFE0D]10块[-]才能打造成1条[FFFE0D]6阶【稀有】[-]项链	300000	3	1	300000	6	1		999										
2949	7阶稀有项链碎片	T7_Necklace_Q2_piece		34	17		EquipMeterial	99	17	残缺不全的稀有项链碎片，需要  [FFFE0D]10块[-]才能打造成1条[FFFE0D]7阶【稀有】[-]项链	400000	4	1	400000	6	1		999										
2950	8阶稀有项链碎片	T8_Necklace_Q2_piece		34	18		EquipMeterial	99	18	残缺不全的稀有项链碎片，需要  [FFFE0D]10块[-]才能打造成1条[FFFE0D]8阶【稀有】[-]项链	540000	5	1	600000	6	1		999										
2951	9阶稀有项链碎片	T9_Necklace_Q2_piece		34	19		EquipMeterial	99	19	残缺不全的稀有项链碎片，需要  [FFFE0D]10块[-]才能打造成1条[FFFE0D]9阶【稀有】[-]项链	800000	6	1	800000	6	1		999										
3669	10阶稀有项链碎片	T10_Necklace_Q2_piece		34	20		EquipMeterial	99	20	残缺不全的稀有项链碎片，需要  [FFFE0D]10块[-]才能打造成1条[FFFE0D]10阶【稀有】[-]项链	1000000	7	1	1000000	6	1		999										
