RealLevel	AttribLevel	Probility	Desc
1	3	1800	T1_普通_1
1	2	4089	T1_普通_2
1	1	4111	T1_普通_3
2	4	500	T1_传承_1
2	3	1459	T1_传承_2
2	2	3000	T1_传承_3
2	1	5041	T1_传承_4
3	5	1800	T2_普通_1
3	4	4089	T2_普通_2
3	3	4111	T2_普通_3
4	5	1600	T1_稀有_1
4	4	3467	T1_稀有_2
4	3	4933	T1_稀有_3
5	6	500	T2_传承_1
5	5	1459	T2_传承_2
5	4	3000	T2_传承_3
5	3	5041	T2_传承_4
6	7	1800	T3_普通_1
6	6	4089	T3_普通_2
6	5	4111	T3_普通_3
7	7	1600	T2_稀有_1
7	6	3467	T2_稀有_2
7	5	4933	T2_稀有_3
8	8	500	T3_传承_1
8	7	1459	T3_传承_2
8	6	3000	T3_传承_3
8	5	5041	T3_传承_4
9	9	1500	T4_普通_1
9	8	3889	T4_普通_2
9	7	4611	T4_普通_3
10	9	1800	T3_稀有_1
10	8	4600	T3_稀有_2
10	7	3600	T3_稀有_3
11	10	400	T4_传承_1
11	9	1200	T4_传承_2
11	8	2756	T4_传承_3
11	7	5644	T4_传承_4
12	11	1100	T5_普通_1
12	10	3367	T5_普通_2
12	9	5533	T5_普通_3
13	11	2100	T4_稀有_1
13	10	5100	T4_稀有_2
13	9	2800	T4_稀有_3
14	12	350	T5_传承_1
14	11	1100	T5_传承_2
14	10	2625	T5_传承_3
14	9	5925	T5_传承_4
15	13	1000	T6_普通_1
15	12	3149	T6_普通_2
15	11	5851	T6_普通_3
16	13	1850	T5_稀有_1
16	12	4571	T5_稀有_2
16	11	3579	T5_稀有_3
17	14	300	T6_传承_1
17	13	1175	T6_传承_2
17	12	2700	T6_传承_3
17	11	5825	T6_传承_4
18	15	900	T7_普通_1
18	14	3083	T7_普通_2
18	13	6017	T7_普通_3
19	15	1200	T6_稀有_1
19	14	3515	T6_稀有_2
19	13	5285	T6_稀有_3
20	16	300	T7_传承_1
20	15	1280	T7_传承_2
20	14	2700	T7_传承_3
20	13	5720	T7_传承_4
21	17	800	T8_普通_1
21	16	3000	T8_普通_2
21	15	6200	T8_普通_3
22	17	900	T7_稀有_1
22	16	3000	T7_稀有_2
22	15	6100	T7_稀有_3
23	18	300	T8_传承_1
23	17	1058	T8_传承_2
23	16	2750	T8_传承_3
23	15	5892	T8_传承_4
24	19	700	T9_普通_1
24	18	2578	T9_普通_2
24	17	6722	T9_普通_3
25	19	600	T8_稀有_1
25	18	2073	T8_稀有_2
25	17	7327	T8_稀有_3
26	20	260	T9_传承_1
26	19	1017	T9_传承_2
26	18	3000	T9_传承_3
26	17	5723	T9_传承_4
27	21	700	T10_普通_1
27	20	2765	T10_普通_2
27	19	6535	T10_普通_3
28	21	500	T9_稀有_1
28	20	1556	T9_稀有_2
28	19	7944	T9_稀有_3
29	22	200	T10_传承_1
29	21	1015	T10_传承_2
29	20	3000	T10_传承_3
29	19	5785	T10_传承_4
30	23	700	T11_普通_1
30	22	2210	T11_普通_2
30	21	7090	T11_普通_3
31	23	500	T10_稀有_1
31	22	1597	T10_稀有_2
31	21	7903	T10_稀有_3
32	24	150	T11_传承_1
32	23	497	T11_传承_2
32	22	3536	T11_传承_3
32	21	5817	T11_传承_4
33	25	700	T12_普通_1
33	24	2148	T12_普通_2
33	23	7152	T12_普通_3
34	25	500	T11_稀有_1
34	24	1400	T11_稀有_2
34	23	8100	T11_稀有_3
35	26	150	T12_传承_1
35	25	470	T12_传承_2
35	24	3534	T12_传承_3
35	23	5846	T12_传承_4
36	27	700	T13_普通_1
36	26	1806	T13_普通_2
36	25	7494	T13_普通_3
37	27	500	T12_稀有_1
37	26	1300	T12_稀有_2
37	25	8200	T12_稀有_3
38	28	150	T13_传承_1
38	27	397	T13_传承_2
38	26	3500	T13_传承_3
38	25	5953	T13_传承_4
39	29	700	T14_普通_1
39	28	1570	T14_普通_2
39	27	7730	T14_普通_3
40	29	500	T13_稀有_1
40	28	1000	T13_稀有_2
40	27	8500	T13_稀有_3
41	30	120	T14_传承_1
41	29	410	T14_传承_2
41	28	3500	T14_传承_3
41	27	5970	T14_传承_4
42	31	700	T15_普通_1
42	30	1570	T15_普通_2
42	29	7730	T15_普通_3
43	31	319	T14_稀有_1
43	30	703	T14_稀有_2
43	29	8978	T14_稀有_3
44	32	120	T15_传承_1
44	31	410	T15_传承_2
44	30	3500	T15_传承_3
44	29	5970	T15_传承_4
45	33	700	T16_普通_1
45	32	1570	T16_普通_2
45	31	7730	T16_普通_3
46	33	319	T15_稀有_1
46	32	703	T15_稀有_2
46	31	8978	T15_稀有_3
47	34	120	T16_传承_1
47	33	410	T16_传承_2
47	32	3500	T16_传承_3
47	31	5970	T16_传承_4
48	35	700	T17_普通_1
48	34	1806	T17_普通_2
48	33	7494	T17_普通_3
49	35	319	T16_稀有_1
49	34	703	T16_稀有_2
49	33	8978	T16_稀有_3
50	36	120	T17_传承_1
50	35	410	T17_传承_2
50	34	3500	T17_传承_3
50	33	5970	T17_传承_4
51	37	700	T18_普通_1
51	36	1806	T18_普通_2
51	35	7494	T18_普通_3
52	37	319	T17_稀有_1
52	36	703	T17_稀有_2
52	35	8978	T17_稀有_3
53	38	120	T18_传承_1
53	37	410	T18_传承_2
53	36	3500	T18_传承_3
53	35	5970	T18_传承_4
54	39	700	T19_普通_1
54	38	1806	T19_普通_2
54	37	7494	T19_普通_3
55	39	319	T18_稀有_1
55	38	703	T18_稀有_2
55	37	8978	T18_稀有_3
1001	3	7500	1阶铭文
1001	8	1700	1阶铭文
1001	13	800	1阶铭文
1002	13	7500	2阶铭文
1002	18	1700	2阶铭文
1002	23	800	2阶铭文
1003	23	7500	3阶铭文
1003	28	1700	3阶铭文
1003	33	800	3阶铭文
