AttribType	Level	FightPower	AttribValue	Value1	Value2	Value3	SpecialDesc
vitality_v	1	5	5000	3			
vitality_v	2	7	7500	5			
vitality_v	3	10	10000	8			
vitality_v	4	15	15000	10			
vitality_v	5	20	20000	13			
vitality_v	6	30	30000	15			
vitality_v	7	40	40000	18			
vitality_v	8	60	60000	20			
vitality_v	9	100	100000	23			
vitality_v	10	160	160000	25			
vitality_v	11	250	240000	28			
vitality_v	12	400	360000	30			
vitality_v	13	600	500000	33			
vitality_v	14	1000	800000	35			
vitality_v	15	1600	1000000	38			
vitality_v	16	2400	1200000	40			
vitality_v	17	3500	1500000	43			
vitality_v	18	5000	1800000	45			
vitality_v	19	6000	2400000	48			
vitality_v	20	7500	3000000	50			
vitality_v	21	8000	3600000	53			
vitality_v	22	8500	4200000	55			
vitality_v	23	9000	4800000	58			
vitality_v	24	9500	5400000	60			
vitality_v	25	10000	6000000	63			
vitality_v	26	10500	6600000	65			
vitality_v	27	11000	7200000	68			
vitality_v	28	11500	7800000	70			
vitality_v	29	12000	8400000	73			
vitality_v	30	12500	9000000	75			
vitality_v	31	12700	9300000	78			
vitality_v	32	12900	9600000	82			
vitality_v	33	13100	9900000	86			
vitality_v	34	13300	10200000	90			
vitality_v	35	13500	10500000	95			
vitality_v	36	13700	10800000	99			
vitality_v	37	13900	11100000	104			
vitality_v	38	14100	11400000	109			
vitality_v	39	14300	11700000	115			
vitality_v	40	14500	12000000	120			
vitality_v	41	14700	12300000	126			
vitality_v	42	14900	12600000	132			
vitality_v	43	15100	12900000	139			
vitality_v	44	15300	13200000	146			
vitality_v	45	15500	13500000	153			
vitality_v	46	15700	13800000	160			
vitality_v	47	15900	14100000	0			
vitality_v	48	16100	14400000	0			
vitality_v	49	16300	14700000	0			
vitality_v	50	16500	15000000	0			
vitality_v	51	0	0	0			
vitality_v	52	0	0	0			
vitality_v	53	0	0	0			
vitality_v	54	0	0	0			
vitality_v	55	0	0	0			
vitality_v	56	0	0	0			
vitality_v	57	0	0	0			
vitality_v	58	0	0	0			
vitality_v	59	0	0	0			
vitality_v	60	0	0	0			
energy_v	1	5	5000	3			
energy_v	2	7	7500	5			
energy_v	3	10	10000	8			
energy_v	4	15	15000	10			
energy_v	5	20	20000	13			
energy_v	6	30	30000	15			
energy_v	7	40	40000	18			
energy_v	8	60	60000	20			
energy_v	9	100	100000	23			
energy_v	10	160	160000	25			
energy_v	11	250	240000	28			
energy_v	12	400	360000	30			
energy_v	13	600	500000	33			
energy_v	14	1000	800000	35			
energy_v	15	1600	1000000	38			
energy_v	16	2400	1200000	40			
energy_v	17	3500	1500000	43			
energy_v	18	5000	1800000	45			
energy_v	19	6000	2400000	48			
energy_v	20	7500	3000000	50			
energy_v	21	8000	3600000	53			
energy_v	22	8500	4200000	55			
energy_v	23	9000	4800000	58			
energy_v	24	9500	5400000	60			
energy_v	25	10000	6000000	63			
energy_v	26	10500	6600000	65			
energy_v	27	11000	7200000	68			
energy_v	28	11500	7800000	70			
energy_v	29	12000	8400000	73			
energy_v	30	12500	9000000	75			
energy_v	31	12700	9300000	78			
energy_v	32	12900	9600000	82			
energy_v	33	13100	9900000	86			
energy_v	34	13300	10200000	90			
energy_v	35	13500	10500000	95			
energy_v	36	13700	10800000	99			
energy_v	37	13900	11100000	104			
energy_v	38	14100	11400000	109			
energy_v	39	14300	11700000	115			
energy_v	40	14500	12000000	120			
energy_v	41	14700	12300000	126			
energy_v	42	14900	12600000	132			
energy_v	43	15100	12900000	139			
energy_v	44	15300	13200000	146			
energy_v	45	15500	13500000	153			
energy_v	46	15700	13800000	160			
energy_v	47	15900	14100000	0			
energy_v	48	16100	14400000	0			
energy_v	49	16300	14700000	0			
energy_v	50	16500	15000000	0			
energy_v	51	0	0	0			
energy_v	52	0	0	0			
energy_v	53	0	0	0			
energy_v	54	0	0	0			
energy_v	55	0	0	0			
energy_v	56	0	0	0			
energy_v	57	0	0	0			
energy_v	58	0	0	0			
energy_v	59	0	0	0			
energy_v	60	0	0	0			
strength_v	1	5	5000	3			
strength_v	2	7	7500	5			
strength_v	3	10	10000	8			
strength_v	4	15	15000	10			
strength_v	5	20	20000	13			
strength_v	6	30	30000	15			
strength_v	7	40	40000	18			
strength_v	8	60	60000	20			
strength_v	9	100	100000	23			
strength_v	10	160	160000	25			
strength_v	11	250	240000	28			
strength_v	12	400	360000	30			
strength_v	13	600	500000	33			
strength_v	14	1000	800000	35			
strength_v	15	1600	1000000	38			
strength_v	16	2400	1200000	40			
strength_v	17	3500	1500000	43			
strength_v	18	5000	1800000	45			
strength_v	19	6000	2400000	48			
strength_v	20	7500	3000000	50			
strength_v	21	8000	3600000	53			
strength_v	22	8500	4200000	55			
strength_v	23	9000	4800000	58			
strength_v	24	9500	5400000	60			
strength_v	25	10000	6000000	63			
strength_v	26	10500	6600000	65			
strength_v	27	11000	7200000	68			
strength_v	28	11500	7800000	70			
strength_v	29	12000	8400000	73			
strength_v	30	12500	9000000	75			
strength_v	31	12700	9300000	78			
strength_v	32	12900	9600000	82			
strength_v	33	13100	9900000	86			
strength_v	34	13300	10200000	90			
strength_v	35	13500	10500000	95			
strength_v	36	13700	10800000	99			
strength_v	37	13900	11100000	104			
strength_v	38	14100	11400000	109			
strength_v	39	14300	11700000	115			
strength_v	40	14500	12000000	120			
strength_v	41	14700	12300000	126			
strength_v	42	14900	12600000	132			
strength_v	43	15100	12900000	139			
strength_v	44	15300	13200000	146			
strength_v	45	15500	13500000	153			
strength_v	46	15700	13800000	160			
strength_v	47	15900	14100000	0			
strength_v	48	16100	14400000	0			
