AttribType	Level	FightPower	AttribValue	Value1	Value2	Value3	SpecialDesc
vitality_v	1	10	10000	5			
vitality_v	2	15	15000	10			
vitality_v	3	20	20000	15			
vitality_v	4	30	30000	20			
vitality_v	5	40	40000	25			
vitality_v	6	60	60000	30			
vitality_v	7	80	80000	35			
vitality_v	8	120	120000	40			
vitality_v	9	200	200000	45			
vitality_v	10	320	320000	50			
vitality_v	11	500	480000	55			
vitality_v	12	800	720000	60			
vitality_v	13	1200	1000000	65			
vitality_v	14	2000	1600000	70			
vitality_v	15	3200	2000000	75			
vitality_v	16	4800	2400000	80			
vitality_v	17	7000	3000000	85			
vitality_v	18	10000	3600000	90			
vitality_v	19	12000	4800000	95			
vitality_v	20	15000	6000000	100			
vitality_v	21	16000	7200000	105			
vitality_v	22	17000	8400000	110			
vitality_v	23	18000	9600000	115			
vitality_v	24	19000	10800000	120			
vitality_v	25	20000	12000000	125			
vitality_v	26	21000	13200000	130			
vitality_v	27	22000	14400000	135			
vitality_v	28	23000	15600000	140			
vitality_v	29	24000	16800000	145			
vitality_v	30	25000	18000000	150			
vitality_v	31	25400	18600000	157			
vitality_v	32	25800	19200000	165			
vitality_v	33	26200	19800000	173			
vitality_v	34	26600	20400000	181			
vitality_v	35	27000	21000000	190			
vitality_v	36	27400	21600000	199			
vitality_v	37	27800	22200000	209			
vitality_v	38	28200	22800000	219			
vitality_v	39	28600	23400000	230			
vitality_v	40	29000	24000000	241			
vitality_v	41	29400	24600000	253			
vitality_v	42	29800	25200000	265			
vitality_v	43	30200	25800000	278			
vitality_v	44	30600	26400000	292			
vitality_v	45	31000	27000000	306			
vitality_v	46	31400	27600000	321			
vitality_v	47	31800	28200000	0			
vitality_v	48	32200	28800000	0			
vitality_v	49	32600	29400000	0			
vitality_v	50	33000	30000000	0			
vitality_v	51	0	0	0			
vitality_v	52	0	0	0			
vitality_v	53	0	0	0			
vitality_v	54	0	0	0			
vitality_v	55	0	0	0			
vitality_v	56	0	0	0			
vitality_v	57	0	0	0			
vitality_v	58	0	0	0			
vitality_v	59	0	0	0			
vitality_v	60	0	0	0			
energy_v	1	10	10000	5			
energy_v	2	15	15000	10			
energy_v	3	20	20000	15			
energy_v	4	30	30000	20			
energy_v	5	40	40000	25			
energy_v	6	60	60000	30			
energy_v	7	80	80000	35			
energy_v	8	120	120000	40			
energy_v	9	200	200000	45			
energy_v	10	320	320000	50			
energy_v	11	500	480000	55			
energy_v	12	800	720000	60			
energy_v	13	1200	1000000	65			
energy_v	14	2000	1600000	70			
energy_v	15	3200	2000000	75			
energy_v	16	4800	2400000	80			
energy_v	17	7000	3000000	85			
energy_v	18	10000	3600000	90			
energy_v	19	12000	4800000	95			
energy_v	20	15000	6000000	100			
energy_v	21	16000	7200000	105			
energy_v	22	17000	8400000	110			
energy_v	23	18000	9600000	115			
energy_v	24	19000	10800000	120			
