Level	RandCount	AttribLevel	Probility	Desc
1	1	1	650	
1	1	2	250	
1	1	3	100	
1	1	4	0	
1	1	5	0	
1	1	6	0	
1	2	1	650	
1	2	2	250	
1	2	3	100	
1	2	4	0	
1	2	5	0	
1	2	6	0	
1	3	1	600	
1	3	2	250	
1	3	3	150	
1	3	4	0	
1	3	5	0	
1	3	6	0	
1	4	1	600	
1	4	2	250	
1	4	3	150	
1	4	4	0	
1	4	5	0	
1	4	6	0	
1	5	1	550	
1	5	2	250	
1	5	3	200	
1	5	4	0	
1	5	5	0	
1	5	6	0	
1	6	1	530	
1	6	2	250	
1	6	3	200	
1	6	4	20	
1	6	5	0	
1	6	6	0	
1	7	1	530	
1	7	2	250	
1	7	3	200	
1	7	4	20	
1	7	5	0	
1	7	6	0	
1	8	1	530	
1	8	2	250	
1	8	3	200	
1	8	4	20	
1	8	5	0	
1	8	6	0	
1	9	1	530	
1	9	2	250	
1	9	3	200	
1	9	4	20	
1	9	5	0	
1	9	6	0	
1	10	1	510	
1	10	2	250	
1	10	3	200	
1	10	4	40	
1	10	5	0	
1	10	6	0	
1	11	1	500	
1	11	2	250	
1	11	3	200	
1	11	4	40	
1	11	5	10	
1	11	6	0	
1	12	1	500	
1	12	2	250	
1	12	3	200	
1	12	4	40	
1	12	5	10	
1	12	6	0	
1	13	1	500	
1	13	2	250	
1	13	3	200	
1	13	4	40	
1	13	5	10	
1	13	6	0	
1	14	1	500	
1	14	2	250	
1	14	3	200	
1	14	4	40	
1	14	5	10	
1	14	6	0	
1	15	1	500	
1	15	2	250	
1	15	3	200	
1	15	4	40	
1	15	5	10	
1	15	6	0	
1	16	1	470	
1	16	2	250	
1	16	3	200	
1	16	4	60	
1	16	5	20	
1	16	6	0	
1	17	1	470	
1	17	2	250	
1	17	3	200	
1	17	4	60	
1	17	5	20	
1	17	6	0	
1	18	1	470	
1	18	2	250	
1	18	3	200	
1	18	4	60	
1	18	5	20	
1	18	6	0	
1	19	1	470	
1	19	2	250	
1	19	3	200	
1	19	4	60	
