RealLevel	AttribLevel	Probility	Desc
18	15	10000	T7_普通_1
20	16	10000	T7_传承_1
21	17	10000	T8_普通_1
22	17	10000	T7_卓越_1
23	18	10000	T8_传承_1
24	19	10000	T9_普通_1
25	19	10000	T8_卓越_1
26	20	10000	T9_传承_1
27	21	10000	T10_普通_1
28	21	10000	T9_卓越_1
29	22	10000	T10_传承_1
30	23	10000	T11_普通_1
31	23	10000	T10_卓越_1
32	24	10000	T11_传承_1
33	25	10000	T12_普通_1
34	25	10000	T11_卓越_1
35	26	10000	T12_传承_1
36	27	10000	T13_普通_1
37	27	10000	T12_卓越_1
38	28	10000	T13_传承_1
39	29	10000	T14_普通_1
40	29	10000	T13_卓越_1
41	30	10000	T14_传承_1
42	31	10000	T15_普通_1
43	31	10000	T14_卓越_1
44	32	10000	T15_传承_1
45	33	10000	T16_普通_1
46	33	10000	T15_卓越_1
47	34	10000	T16_传承_1
48	35	10000	T17_普通_1
49	35	10000	T16_卓越_1
50	36	10000	T17_传承_1
51	37	10000	T18_普通_1
52	37	10000	T17_卓越_1
53	38	10000	T18_传承_1
54	39	10000	T19_普通_1
55	39	10000	T18_卓越_1
